word,phonetic,pos,definition,source
abandon,əˈbændən,v.,1. 抛弃，放弃 2. 离弃(家园、船只、飞机等) 3. 遗弃(妻、子女等),CET6_edited
abnormal,æbˈnɔːməl,adj.,不正常的,CET6_edited
abolish,əˈbɒlɪʃ,n.,废除，消除 v. 废除，取消,CET6_edited
abortion,әˈbɒːʃәn,n.,1. 流产，小产，堕胎 2.,CET6_edited
abortion,әˈbɒːʃәn,,(计划、工程等的)中途失败;中止，中辍的计划,CET6_edited
abrupt,əˈbrʌpt,adj.,1. 突然的，出其 不意的 2. 陡峭的  3. 粗鲁的，无礼的,CET6_edited
absence,ˈæbsəns,n.,1. 缺席 2. 缺乏，不存在,CET6_edited
absorb,əbˈsɔːb,v.,1. 吸收(水、热、光等) 2. 吸引(注意)，使专心，使全神贯注,CET6_edited
abstract,ˈæbstrækt,adj.,抽象的 n. 摘要，概括 v. 1. 提取，抽取 2. 摘录…的要点 3. 转移…(注意等),CET6_edited
absurd,əbˈsɜːd,adj.,不合理的，荒谬的，可笑的,CET6_edited
abundance,əˈbʌndəns,n.,丰富，充裕，大量,CET6_edited
abundant,əˈbʌndənt,adj.,"大量的，充裕的，丰富的 || be abundant in,",CET6_edited
abundant,əˈbʌndənt,be,abundant with 有丰富的，有大量的,CET6_edited
abuse,əˈbjuːz,v.,1. 辱骂，咒骂 2. 滥用，妄用 3. 虐待  [əˈbjuːs] n. 1. 辱骂，咒骂 2. 滥用，妄用 3. 虐待 4. 弊病，恶习,CET6_edited
academic,ˌækəˈdemɪk,adj.,1. 学校的，学院的 2. 学者式的，非实用的 3. 学术的,CET6_edited
accelerate,əkˈseləreɪt,,v.,CET6_edited
accelerate,əkˈseləreɪt,,(使)加速,CET6_edited
acceptance,əkˈseptəns,n.,接受，领受,CET6_edited
access,ˈækses,n.,1.,CET6_edited
access,ˈækses,,(接近或进入某地的)方法，通路  2.,CET6_edited
access,ˈækses,,(使用某物或接近某人的)机会或权利  v. 存取(计算机文件),CET6_edited
accessory,əkˈsesərɪ,n.,附属品，附件,CET6_edited
accident,ˈæksɪdənt,n.,意外事件 || by accident偶然地  /without accident平安无事地,CET6_edited
accommodate,əˈkɒmədeɪt,v.,1. 容纳，接纳，提供…住宿  2. 使适应，使适合，调节 3. 帮助解决(困难),CET6_edited
accommodation,əˌkɒməˈdeɪʃən,,n.,CET6_edited
accommodation,əˌkɒməˈdeɪʃən,,(usu pl) 住宿等条件，设施,CET6_edited
accomplish,əˈkʌmplɪʃ,v.,完成，实现，达到(目的),CET6_edited
accord,əˈkɔːd,v.,符合，一致 n. 协调，一致  || of one’s own accord自愿地，自动地,CET6_edited
accordance,əˈkɔːdəns,n.,符合，一致  || in accordance with根据,CET6_edited
account,əˈkaʊnt,n.,1. 账，账目，账户 2. 报道，记载，叙述  3. 原因，理由 || on account of 因为 /take into account考虑，重视,CET6_edited
accumulate,əˈkjʊːmjʊleɪt,v.,积蓄，积累,CET6_edited
accurate,ˈækjʊrət,adj.,准确的，精确的,CET6_edited
accuse,əˈkjuːz,v.,1. 指责，谴责 2. 控诉，控告,CET6_edited
accustomed,әˈkʌstәmd,a.,惯常的，习惯了的,CET6_edited
achievement,əˈtʃiːvmənt,n.,1. 完成，达到 2. 成就，成绩,CET6_edited
acid,ˈæsɪd,adj.,1. 酸味的，苦味的 2. 尖刻的 n. 1. 酸(含氢的化学物质) 2. 迷幻药,CET6_edited
acknowledge,əkˈnɒlɪdʒ,v.,1. 承认 2. 告知收到(信件、礼物等) 3. 表示感谢,CET6_edited
acquaint,əˈkweɪnt,v.,使认识，使了解,CET6_edited
acquaintance,əˈkweɪntəns,n.,1. 相识，了解 2. 相识的人，熟人,CET6_edited
acquire,əˈkwaɪə,v.,1. 取得，获得，习得 2. 学到(知识等),CET6_edited
activate,ˈæktɪveɪt,v.,1. 使活动，使活跃，使积极 2. 刺激，激化,CET6_edited
acute,əˈkjuːt,adj.,1. 尖锐的，锐角的 2. 激烈的，严重的 3. 敏锐的 4.,CET6_edited
acute,əˈkjuːt,,(疾病)急性的，(疼痛)剧烈的,CET6_edited
adapt,əˈdæpt,v.,1. 使适应，适合 2. 改编，改写,CET6_edited
addict,ˈædɪkt; əˈdɪkt,n.,1. 有瘾的人 2. 对某事有强烈兴趣的人,CET6_edited
addition,əˈdɪʃən,n.,加，加法 || in addition (to)另外，除…之外,CET6_edited
additional,əˈdɪʃənəl,adj.,附加的，追加的，另外的,CET6_edited
adequate,ˈædɪkwɪt,adj.,适当的，充分的，足够的,CET6_edited
adhere,ədˈhɪə,v.,1. 粘附， 粘着 2. 坚持，遵循,CET6_edited
adjacent,əˈdʒeɪsənt,adj.,邻近的,CET6_edited
adjoin,əˈdʒɔɪn,v.,贴近，相接,CET6_edited
adjust,əˈdʒʌst,v.,1. 整顿，整理，安排 2. 使适应于(新环境等),CET6_edited
administration,ədˌmɪnɪˈstreɪʃən,n.,1.,CET6_edited
administration,ədˌmɪnɪˈstreɪʃən,,(行政)管理 2.,CET6_edited
administration,ədˌmɪnɪˈstreɪʃən,,(AmE)政府,CET6_edited
admit,ədˈmɪt,v.,1. 允许(人或物)进入 2. 承认，供认，招认 3.,CET6_edited
admit,ədˈmɪt,,(指在一范围内)可容纳(某人或某事) || admit of  …容纳得下，有…的余地,CET6_edited
adolescent,ˌædəˈlesənt,adj.,青少年期的 n. 青少年,CET6_edited
adopt,əˈdɒpt,v.,1. 采用，采纳，采取(态度等) 2. 收养 3. 接受某种习俗 4. 正式通过,CET6_edited
adore,əˈdɔː,v.,1. 敬慕，钟爱，崇拜 2.,CET6_edited
adore,əˈdɔː,,(infml)很喜欢,CET6_edited
advantage,ədˈvɑːntɪdʒ,n.,优势，益处，利益 || take advantage of利用，乘…机 /to one’s advantage对某人有利,CET6_edited
adverse,ˈædvɜːs,adj.,不利的，相反的，敌对的,CET6_edited
advocate,ˈædvəkeɪt,v.,拥护，提倡 [ˈædvəkɪt] n. 提倡者，拥护者,CET6_edited
aerial,ˈeərɪəl,adj.,1. 空气的，大气的 2. 航空的,CET6_edited
aesthetic,iːsˈθetik,a.,美学的，审美的，有美感的,CET6_edited
affection,əˈfekʃən,n.,慈爱，友爱,CET6_edited
affiliate,əˈfɪlɪeɪt,,v.,CET6_edited
affiliate,əˈfɪlɪeɪt,,"(指团体)加入(联合),使隶属，附属于",CET6_edited
affirm,əˈfɜːm,v.,坚称，断言，肯定地说,CET6_edited
afflict,əˈflɪkt,v.,使身体(精神)痛苦，折磨,CET6_edited
aggregate,ˈæɡrɪɡeɪt,n.,总数，合计,CET6_edited
aggressive,əˈɡresɪv,adj.,1. 侵略性的， 攻击性的，爱寻衅的 2. 有进取心的,CET6_edited
agony,ˈæɡənɪ,n.,1. 极度的痛苦 2. 痛苦的挣扎,CET6_edited
agreeable,əˈɡriːəbl,adj.,1. 惬意的，爽快的 2. 易相处的  3. 适宜的，适合的,CET6_edited
