word,phonetic,pos,definition,source
others,,pron.,其他人,COCA_abridged
oh,әu,,interj.,COCA_abridged
oh,әu,,(表示惊讶、恐怖、赞叹)哦,COCA_abridged
according,әˈkɒːdiŋ,a.,"相符的, 根据...而定的 adv. 相应地",COCA_abridged
true,truː,a.,"真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的 n. 真实, 准确 adv. 真实地, 准确地",COCA_abridged
republican,riˈpʌblikәn,n.,"共和主义者, 共和党员 a. 共和政体的, 共和国的, 共和主义的",COCA_abridged
congress,ˈkɒŋgres,n.,"国会, 会议, 讨论会",COCA_abridged
exactly,igˈzæktli,adv.,"确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此",COCA_abridged
OK,ˈәuˈkei,a.,"好, 不错, 可以 adv. 好, 不错, 可以 n. 批准, 认可",COCA_abridged
democrat,ˈdemәkræt,n.,"民主人士, 民主主义者, 民主党党员",COCA_abridged
senate,ˈsenit,n.,"参议院, 立法机构, 评议会",COCA_abridged
directly,"diˈrektli, daiˈrektli",adv.,"径直地, 直率地, 正好地,(非正式)立即, 马上 conj. 一...(就...), 一当...就...",COCA_abridged
completely,kәmˈpliːtli,adv.,"完全地, 十分地, 圆满地",COCA_abridged
African,ˈæfrikәn,n.,"非洲人 a. 非洲的, 非洲人的",COCA_abridged
slowly,ˈslәuli,adv.,"慢慢地, 迟缓地",COCA_abridged
supposed,sәˈpәuzd,a.,"推测的, 想像的, 被信以为真的",COCA_abridged
Soviet,ˈsәuviәt,n.,"代表会议, 苏维埃, 苏联 a. 苏维埃的, 苏联的",COCA_abridged
European,ˌjuәrәˈpiːәn,n.,"欧洲人 a. 欧洲的, 欧洲人的",COCA_abridged
Christian,ˈkristʃәn,n.,"基督徒, 正派人 a. 基督的, 基督教的",COCA_abridged
Christmas,ˈkrismәs,n.,圣诞节,COCA_abridged
hey,hei,,interj. 嗨,COCA_abridged
Indian,ˈindiәn,n.,"印度人, 印第安人, 印第安语 a. 印度的, 印度群岛的, 印第安语的",COCA_abridged
internet,ˈintәnet,n.,"因特网, 国际互连网, 网际网络, 互连网络, 广域网",COCA_abridged
fully,ˈfuli,adv.,"十分地, 完全地, 充分地",COCA_abridged
lots,lɔts,n.,"大量, 许多; 一堆; 命运（lot的复数）",COCA_abridged
Russian,ˈrʌʃәn,n.,"俄国人, 俄语 a. 俄国的, 俄语的",COCA_abridged
carefully,ˈkєәfuli,adv.,"小心地, 谨慎地",COCA_abridged
married,ˈmærid,a.,"已婚的, 婚姻的, 夫妇的",COCA_abridged
supreme,sjuˈpriːm,n.,"至高, 霸权 a. 至高的, 终极的, 极端的, 最大的",COCA_abridged
Iraqi,iˈrɑːki,n.,"伊拉克人, 伊拉克阿拉伯语 a. 伊拉克的, 伊拉克人的",COCA_abridged
thanks,,n.,"感谢, 谢意, 谢忱 interj. 谢谢, 谢谢你",COCA_abridged
anymore,ˈeniˈmɔː,adv.,"再也不, 不再",COCA_abridged
Japanese,ˌdʒæpәˈniːz,n.,"日本人, 日语 a. 日本的, 日语的",COCA_abridged
ought,ɒːt,aux.,"应该, 大概 n. 责任",COCA_abridged
catholic,ˈkæθәlik,n.,"天主教徒 a. 天主教的, 普遍的, 广泛的, 宽宏大量的",COCA_abridged
extremely,ikˈstriːmli,adv.,"极端地, 非常地",COCA_abridged
long-term,,a.,长期的(通常指一年以上),COCA_abridged
English,ˈiŋgliʃ,n.,"英语 a. 英文的, 英国人的",COCA_abridged
Jewish,ˈdʒuːiʃ,a.,"犹太人的, 犹太族的",COCA_abridged
frequently,ˈfriːkwәntli,adv.,"频繁, 经常地",COCA_abridged
producer,prәˈdjuːsә,n.,"生产者, 制作者, 制作人; 发生器; (炉煤气)发生炉; 制气炉; 生产者",COCA_abridged
entirely,inˈtaiәli,adv.,"完全, 全然, 一概",COCA_abridged
bedroom,ˈbedrum,n.,卧室,COCA_abridged
seriously,ˈsiәriәsli,adv.,"严肃地, 认真地, 严重地",COCA_abridged
totally,ˈtәutli,adv.,完全地,COCA_abridged
surprised,sәˈpraizd,a.,感到惊讶的,COCA_abridged
fewer,ˈfjuːә,a.,较少的,COCA_abridged
AIDS,eidz,n.,爱滋病(获得性免疫缺陷综合征),COCA_abridged
Jew,dʒuː,n.,"犹太人, 守财奴, 犹太教信徒 vt. 欺骗, 杀价",COCA_abridged
typically,ˈtipikәli,adv.,代表性地; 作为特色地,COCA_abridged
unusual,ˌʌnˈjuːʒuːl,a.,"不寻常的, 罕见的, 与众不同的",COCA_abridged
closely,ˈklәusli,adv.,接近地,COCA_abridged
Israeli,izˈreili,a.,"以色列的, 以色列人(语)的 n. 以色列人",COCA_abridged
childhood,ˈtʃaildhud,n.,孩童时期,COCA_abridged
prosecutor,ˈprɒsikjuːtә,n.,"原告, 起诉人, 公诉人",COCA_abridged
unable,ʌnˈeibl,a.,"不能的, 不会的, 无资格的, 没有办法的",COCA_abridged
widely,ˈwaidli,adv.,广泛地,COCA_abridged
Spanish,ˈspæniʃ,n.,"西班牙人, 西班牙语 a. 西班牙的",COCA_abridged
essentially,iˈsenʃәli,adv.,"本质上, 本来",COCA_abridged
