word,phonetic,pos,definition,source
daltonism,'dɔ:ltənizəm,,n.[医]色盲(=color blindness),GRE
orthopedics,",ɔrθə'pidɪks",,"n.[医]整形外科, 整形术",GRE
sceptre,'sɛptɚ,,"n.笏, 节杖, 王权(=scepter)",GRE
pericope,pə'rikəpi:,,"n.(从书中选出的)章节, 选段",GRE
sphinx,sfɪŋks,,"n.[希神]斯芬克斯(有翼的狮身女怪, 传说她常叫过路行人猜谜, 猜不出者即遭杀害)",GRE
paysage,peizɑ:ʒ,,[法]乡村景色,GRE
morphemics,mɔr'fimɪks,,"[复]n.[用作单][语]语素学,词素学",GRE
covin,'kovɪŋ,,n.［古］欺诈,GRE
superfuse,",sju:pə'fju:z",,"[罕]倾注, 浇盖",GRE
tar,tɑr,,n.煤油；焦油,GRE
gargoyle,'ɡɑrɡɔɪl,,"n.[建]怪兽状滴水嘴,(突出的)怪兽饰",GRE
switcheroo,",switʃə'ru:",,n.[俚]突然变化,GRE
jiltee,,,[美]被遗弃的人,GRE
mimetism,'mimitizəm,,[生]拟态,GRE
triste,tri:st,,a.<法>悲哀的,GRE
trouvaille,,,n.<法>意外收获,GRE
spartan,,,a.简单的；朴素的；刻苦的,GRE
draconian,drə'kəunjən,,a.严峻的；苛刻的,GRE
antediluvian,",æntɪdɪ'luvɪən",,"a.(《圣经》中所说的)大洪水前的, 上古的, 古风的",GRE
fatidic,fæ'tidik,,"a.(=prophetic)预言的, 预言性的",GRE
shopsoiled,"'ʃɑp,sɔɪld",,a.陈列[搁置]久了的，陈旧的,GRE
paleocrystic,,,"a.(冰、海等)长期冻结的,古结晶的由古结晶冰组成的",GRE
benign,bɪ'naɪn,,"a.(病)良性的, (气候)良好的, 仁慈的, 和蔼的",GRE
felicitous,fə'lɪsɪtəs,,"a.(措辞等)恰当的, 巧妙的, 极为适当的, 可喜的, 善于措词的, [罕]幸福的, 快乐的",GRE
effete,ɪ'fit,,"a.(动植物等)生产力已枯竭的, 衰老的, 疲惫的, 衰微的",GRE
livable,'livəbl,,"a.(房子,气候等)适于居住的, 可住的",GRE
thespian,'θɛspɪən,,"a.(古希腊雅典诗人, 悲剧创始者)泰斯庇斯的, 悲剧的, 戏剧的, 悲剧性的",GRE
choppy,'tʃɑpi,,"a.（海等）波浪起伏的, (指风)不断改变方向的",GRE
introspective,'ɪntrə'spɛktɪv,,"a.(好)内省的, (好)自省的, (好)反省的",GRE
impecunious,",ɪmpɪ'kjunɪəs",,"a.(经常)没有钱的, 身无分文的, 贫穷的",GRE
firsthand,'fə:st'hænd,,"a.(来源, 资料等)直接的, 直接得来的, 直接采购的",GRE
rubicund,'ruːbɪk(ə)nd,,"a.(脸色, 肤色等)红润的, 透红的",GRE
briefless,'bri:flis,,a.(律师等)无人委托诉讼的,GRE
buccal,'bʌkl,,"a.(面)颊的, 口的, 口腔的",GRE
knotty,'nɑti,,"a.(木材等)多结的, 多节的, 多瘤的, 棘手的, 困难多的",GRE
importunate,ɪm'pɔrtʃənət,,"a.(人)缠扰不休的, 胡搅蛮缠的, (事务等)急切的, 讨厌的",GRE
gangling,'ɡæŋɡlɪŋ,,a.(身体)瘦长的,GRE
taut,tɔt,,"a.(绳子)拉紧的, 整洁的, 紧张的",GRE
puissant,'pwɪsənt,,"a.(诗)强大的, 有势力的",GRE
gruff,ɡrʌf,,"a.(说话、态度等) 粗暴的, 生硬的, 脾气坏的, (声音)粗哑的",GRE
eidetic,aɪ'dɛtɪk,,a.(头脑中的印象)异常清晰的,GRE
epideictic,",epi'daiktik",,a.(文体、演讲等)意在表现词藻技巧的富于词藻的,GRE
marmoreal,mɑ:'məuriəl,,"a.(象)大理石的, 冰冷的",GRE
lengthy,'lɛŋθi,,"a.(演说、文章等)冗长的, 过分的",GRE
laconic,lə'kɔnik,,"a.(用词)简洁的, 简明的",GRE
lugubrious,lə'gʊbrɪəs,,"a.（尤指故意装出来的）可怜的, 悲惨的, 悲哀的",GRE
agonal,'æɡənəl,,a.(尤指临死时)痛苦的,GRE
sanitary,'sænə'tɛri,,"a.(有关)卫生的, (保持)清洁的, 清洁卫生的",GRE
kinetic,kɪ'nɛtɪk,,"a.(运)动的, 动力(学)的",GRE
fickle,'fɪkl,,"a.(在感情等方面)变幻无常的, 浮躁的, 薄情的",GRE
laborious,lə'bɔrɪəs,,"a.(指工作)艰苦的, 费力的, (指人)勤劳的",GRE
intrinsic,ɪn'trɪnsɪk,,"a.(指价值、性质)固有的, 内在的, 本质的",GRE
