word,phonetic,pos,definition,source
abase,əˈbeis,v.,降低自己，贬抑，使卑下,GRE_abridged
abash,əˈbæʃ,v.,使害羞，使尴尬,GRE_abridged
aberrant,æˈberənt,a.,越轨的；异常的,GRE_abridged
aberration,ˌæbəˈreiʃən,n.,离开正路，脱离常轨；变形,GRE_abridged
abet,əˈbet,v.,教唆，鼓励，帮助,GRE_abridged
abeyance,əˈbeiəns,n.,中止，搁置,GRE_abridged
abject,ˈæbdʒekt,a.,极可怜的;卑下的,GRE_abridged
abjure,əbˈdʒuə,v.,发誓放弃,GRE_abridged
ablution,əˈbluːʃən,n.,（宗教的）净礼，沐浴,GRE_abridged
abnegate,ˈæbniɡeit,v.,否认，放弃,GRE_abridged
abnegation,ˌæbniˈɡeiʃən,n.,放弃; 自我牺牲,GRE_abridged
abominate,əˈbɔmineit,v.,痛恨；厌恶,GRE_abridged
aboveboard,"əˈbʌv,bɔːd",a./adv.,光明正大的（地）,GRE_abridged
abrade,əˈbreid,v.,磨损，磨小,GRE_abridged
abrasive,əˈbreisiv,a.,磨损的；生硬粗暴的,GRE_abridged
abrogate,ˈæbrəuɡeit,v.,废止，废除,GRE_abridged
abscission,æbˈsiʒən,,n.,GRE_abridged
abscission,æbˈsiʒən,,[医]切除，截去；[植]脱离,GRE_abridged
abscond,əbˈskɔnd,v.,潜逃，逃亡,GRE_abridged
absenteeism,æbsənˈtiːiz（ə）m,n.,旷课，旷工,GRE_abridged
abstemious,æbˈstiːmjəs,a.,有节制的，节俭的（eating & drinking）,GRE_abridged
abstention,æbˈstenʃən,n.,节制,GRE_abridged
abstentious,əbˈstenʃəs,a.,节制的,GRE_abridged
abstinent,ˈæbstinənt,a.,饮食有度的，有节制的，禁欲的,GRE_abridged
abut,əˈbʌt,v.,接界，毗连,GRE_abridged
abysmal,əˈbizməl,a.,极深的；糟透的,GRE_abridged
acarpous,eiˈkɑːpəs,a.,不结果实的,GRE_abridged
accede,ækˈsiːd,v.,同意,GRE_abridged
acclimate,əˈklaimit,v.,使服水土; 使适应,GRE_abridged
accolade,ˈækəleid,n.,推崇；赞扬,GRE_abridged
accommodating,əˈkɔmədeitiŋ,a.,乐于助人的,GRE_abridged
accrete,æˈkriːt,v.,逐渐增长；添加生长；连生,GRE_abridged
accretion,æˈkriːʃən,n.,自然的增加；增加物,GRE_abridged
accrue,əˈkruː,v.,（利息等）增大；增多,GRE_abridged
acerbic,əˈsəːbik,a.,苦涩的；刻薄的,GRE_abridged
acerbity,əˈsəːbiti,n.,涩，酸，刻薄,GRE_abridged
achromatic,ˌækrəuˈmætik,a.,非彩色的，无色的,GRE_abridged
acme,ˈækmi,n.,顶点，极点,GRE_abridged
acolyte,ˈækəlait,n.,（教士的）助手，侍僧,GRE_abridged
acorn,ˈeikɔːn,n.,橡子，橡果,GRE_abridged
acquainted,əˈkweintid,a.,对某事物熟悉的；对某人认识的,GRE_abridged
acquiesce,ˌækwiˈes,v.,勉强同意，默许,GRE_abridged
acquired,əˈkwaiəd,a.,后天习得的,GRE_abridged
acquittal,əˈkwit（ə）l,n.,宣告无罪，开释,GRE_abridged
acrobat,ˈækrəbæt,n.,特技演员，杂技演员,GRE_abridged
acronym,ˈækrənim,n.,首字母缩略词,GRE_abridged
acrophobia,ˌækrəuˈfəubjə,n.,恐高症,GRE_abridged
actuarial,ˌæktjuˈeəriəl,a.,（保险）精算的，保险计算的,GRE_abridged
actuate,ˈæktjueit,v.,驱使，激励,GRE_abridged
acuity,əˈkjuiti,n.,（尤指思想或感官）敏锐,GRE_abridged
adamant,ˈædəmənt,a.,强硬的；固执的,GRE_abridged
addendum,əˈdendəm,n.,补充，附录,GRE_abridged
addle,ˈædl,v.,使腐坏; 使昏乱,GRE_abridged
adduce,əˈdjuːs,v.,给予（理由）; 举出（例证）,GRE_abridged
adjudicate,əˈdʒuːdikeit,v.,充当裁判; 判决,GRE_abridged
adlib,ædˈlib,v.,临时讲话，即兴表演,GRE_abridged
adulate,ˈædjuleit,v.,谄媚，奉承,GRE_abridged
adulterate,əˈdʌltəreit,v.,掺假,GRE_abridged
adumbrate,"ˈædʌm,breit",v.,（对将来事件）预示,GRE_abridged
adventitious,ˌædvenˈtiʃəs,a.,偶然的,GRE_abridged
advert,ədˈvəːt,v.,注意，留意,GRE_abridged
aegis,ˈidʒis,n.,盾；保护，庇护,GRE_abridged
aerate,ˈeiəreit,v.,充气，让空气进入,GRE_abridged
aeronautics,ˌeərəˈnɔːtiks,n.,航空学,GRE_abridged
aesthete,ˈiːsθiːt,n.,审美家,GRE_abridged
affectation,ˌæfekˈteiʃən,n.,做作，虚假,GRE_abridged
affected,əˈfektid,a.,不自然的；假装的,GRE_abridged
affidavit,ˌæfiˈdeivit,n.,宣誓书,GRE_abridged
affliction,əˈflikʃən,n.,悲痛，受难的起因,GRE_abridged
affront,əˈfrʌnt,v.,侮辱，冒犯,GRE_abridged
agape,əˈɡeip,a./adv.,（嘴）大张着的/地,GRE_abridged
agglomerate,əˈɡlɔməreit,v.,凝聚，结块,GRE_abridged
aggrandize,əˈɡrændaiz,v.,增大，扩张；吹棒,GRE_abridged
aggressor,əˈɡresə(r),n.,侵略者，攻击者,GRE_abridged
aggrieve,əˈɡriːv,v.,使受委屈；使痛苦,GRE_abridged
agitated,ˈædʒiteitid,a.,被鼓动的；不安的,GRE_abridged
agnostic,æɡˈnɔstik,a.,不可知论的,GRE_abridged
agog,əˈɡɔɡ,a.,兴奋的，有强烈兴趣的,GRE_abridged
