word,phonetic,pos,definition,source
pharmacy,'fɑrməsi,,n.药房；配药学，药剂学；制药业；一批备用药品,SAT
toilsome,'tɔɪlsəm,,a.辛苦的；劳苦的；费力的,SAT
efface,ɪ'fes,,v.抹去，抹掉；使自己不受人注意,SAT
plastic,'plæstɪk,,a.塑料的；（外科）造型的；可塑的 n.塑料制品；整形；可塑体,SAT
advocacy,'ædvəkəsi,,n.主张；拥护；辩护,SAT
clutter,'klʌtɚ,,n.杂乱，混乱 v.使凌乱；胡乱地填满,SAT
profession,prə'fɛʃən,,n.职业，专业；声明，宣布，表白,SAT
parsimonious,",pɑrsə'monɪəs",,a.吝啬的；过于节俭的；质量差的,SAT
Phosphorus,'fɑsfərəs,,n.磷,SAT
bravo,",brɑ'vo",,n.喝彩；亡命徒 v.喝彩 int.好极了,SAT
alkali,'ælkə'lai,,n.碱；可溶性无机盐 a.碱性的,SAT
augment,ɔɡ'mɛnt,,v.增加；增大 n.增加；增大,SAT
quarrelsome,'kwɔrəlsəm,,a.喜欢吵架的；好争论的,SAT
upheave,ʌp'hi:v,,v.鼓起；举起；使隆起,SAT
unaccountable,'ʌnə'kaʊntəbl,,a.无责任的；莫名其妙的；不可理解的,SAT
surmise,sɝ'maɪz,,v.猜测；推测 n.推测；猜度,SAT
celebrity,sə'lɛbrəti,,n.名人；名声,SAT
laborious,lə'bɔrɪəs,,a.勤劳的；艰苦的；费劲的,SAT
petulant,'pɛtʃələnt,,a.暴躁的；任性的；难以取悦的,SAT
volant,'volənt,,a.迅速的；会飞的；飞行的 n.(Volant)人名；(法)沃朗,SAT
degenerate,dɪ'dʒɛnəret,,v.使退化；恶化 a.退化的；堕落的 n.堕落的人,SAT
chimerical,kai'miərikəl,,a.空想的，妄想的；荒唐的,SAT
slope,slop,,n.斜坡；倾斜；斜率；扛枪姿势 v.倾斜；逃走,SAT
scathe,skeið,,vt.损伤；损害 n.损伤；危害；损害,SAT
