word,phonetic,pos,definition,source
abashed,ə'bæʃt,adj.,不安的；窘迫的；尴尬的,TOEFL_abridged
abate,ə'beit,vt.,"缓和,减弱,减少,废除 vi. 缓和,减弱,减少",TOEFL_abridged
abdicate,æbdi'keit,vt.,放弃 vi. 逊位,TOEFL_abridged
abduct,æb'dʌkt,vt.,"诱拐,绑走",TOEFL_abridged
abhorrent,əb'hɔrənt,a.,"令人憎恨的,可恶的,不一致的,相反的,厌恶的",TOEFL_abridged
ablaze,ə'bleiz,a.,"着火的,闪亮的,激昂的 ad. 着火,闪耀",TOEFL_abridged
aboriginal,æbə'ridʒənl,a.,"原始的,土著的 n. 土著居民,土生生物",TOEFL_abridged
abortive,ə'bɔrtiv,a.,"流产的,堕胎的,失败的",TOEFL_abridged
abound,ə'baund,,vi.,TOEFL_abridged
abound,ə'baund,,(in)富于; 大量存在; 充满,TOEFL_abridged
abrasion,ə'breiʒn,n.,表面磨损,TOEFL_abridged
abridge,ə'bridʒ,vt.,"删节,缩短,剥夺",TOEFL_abridged
absolve,əb'zɔlv,vt.,"宣告……无罪,赦免,免除",TOEFL_abridged
absorbing,əb'sɔ:biŋ,a.,"吸引人的,非常有趣的",TOEFL_abridged
abstain,əb'stein,vi.,"自制,戒绝,弃权,避免",TOEFL_abridged
abstinence,'æbstinəns,n.,"节制,禁欲,戒酒",TOEFL_abridged
abstraction,æb'strækʃən,n.,"抽象化,心不在焉,提炼,抽象派作品",TOEFL_abridged
abstruse,æb'stru:s,a.,"难解的,深奥的",TOEFL_abridged
accentuate,æk'sentʃueit,vt.,"以重音念,强调,重读",TOEFL_abridged
accomplice,ə'kɔmplis,n.,"共犯,同谋",TOEFL_abridged
accost,ə'kɔst,vt.,"招呼,搭讪,勾引",TOEFL_abridged
acoustic,ə'ku:stik,a.,非电声乐器的; 听觉的,TOEFL_abridged
acquisitive,ə'kwizitiv,a.,"想获得的,贪得的",TOEFL_abridged
acquit,ə'kwit,vt.,"开释,释放,完成,表现",TOEFL_abridged
acrid,'ækrid,a.,"苦味的,辛辣的,尖刻的",TOEFL_abridged
acrimonious,ækri'mouniəs,a.,"严厉的,辛辣的,刻毒的",TOEFL_abridged
acrimony,'ækrə'məuni,n.,"严厉,辛辣,刻毒",TOEFL_abridged
acumen,ə'kju:mən,n.,"敏锐,聪明",TOEFL_abridged
adage,'ædidʒ,n.,"格言,谚语",TOEFL_abridged
adaptable,ə'dæptəbl,a.,"能适应的,可修改的",TOEFL_abridged
additive,'æditiv,a.,添加的; 加法的 n. 添加剂,TOEFL_abridged
adept,ə'dept,a.,"熟练的,老练的 n. 名手,专家",TOEFL_abridged
adherent,əd'hiərənt,a.,"附着的,固守的 n. 党徒",TOEFL_abridged
adhesive,əd'hi:siv,a.,"粘着的,有粘性的 n. 粘合剂",TOEFL_abridged
adjoin,ə'dʒɔin,,vt.,TOEFL_abridged
adjoin,ə'dʒɔin,vi.,"邻接,毗连",TOEFL_abridged
adjourn,ə'dʒə:n,vi.,"延期,休会,换地方 vt. 使中止",TOEFL_abridged
adjunct,'ædʒʌŋkt,n.,附加物，附件,TOEFL_abridged
admonish,əd'mɔniʃ,vt.,"劝告,训诫,告诫",TOEFL_abridged
adobe,ə'dəubi,n.,泥砖，土坯,TOEFL_abridged
adorn,ə'dɔ:n,vt.,装饰，装扮,TOEFL_abridged
adroit,ə'drɔit,a.,"熟练的,敏捷的",TOEFL_abridged
aerobic,eə'rəubik,a.,增氧健身法的 n. 有氧运动,TOEFL_abridged
affable,'æfəbl,a.,"和蔼可亲的,友善的,殷勤的",TOEFL_abridged
affinity,ə'finiti,n.,"密切关系,强烈的吸引力",TOEFL_abridged
afflict,ə'flikt,vt.,"使痛苦,折磨",TOEFL_abridged
aghast,ə'ga:st,a.,"惊骇的,吓呆的",TOEFL_abridged
agile,'ædʒail,a.,"敏捷的,灵活的,轻快的",TOEFL_abridged
agility,ə'dʒiləti,n.,"敏捷,灵活,轻快",TOEFL_abridged
agonize,'ægənaiz,vt.,"使苦恼,折磨 vi. 感到痛苦",TOEFL_abridged
agrarian,ə'grεəriən,a.,"有关土地的,耕地的",TOEFL_abridged
alchemist,'ælkəmist,n.,炼金术士,TOEFL_abridged
alga,'ælgə,,n.,TOEFL_abridged
alga,'ælgə,,[pl.,TOEFL_abridged
alga,'ælgə,,algae]藻类，海藻,TOEFL_abridged
alkali,'ælkəlai,n.,碱,TOEFL_abridged
allay,ə'lei,vt.,减轻，减少,TOEFL_abridged
allegiance,ə'li:dʒəns,n.,"忠贞,效忠",TOEFL_abridged
allegory,'æligɔri,n.,寓言,TOEFL_abridged
altruism,'æltru'izəm,n.,"利他主义,利他",TOEFL_abridged
alumnus,ə'lʌmnəs,n.,"男毕业生,男校友",TOEFL_abridged
amalgamate,ə'mælgəmeit,,vt.,TOEFL_abridged
amalgamate,ə'mælgəmeit,vi.,"使与汞混合,合并",TOEFL_abridged
amazed,ə'meizd,a.,"吃惊的,惊奇的",TOEFL_abridged
amenable,ə'mi:nəbl,a.,"应服从的,会接纳的,肯服从的,有义务的",TOEFL_abridged
amino,ə'mi:nəu,a.,氨基的,TOEFL_abridged
ammonia,ə'məuniə,n.,氨，氨水,TOEFL_abridged
annihilate,ə'naiəleit,vt.,"消灭,废止",TOEFL_abridged
annotate,'ænəteit,,vt.,TOEFL_abridged
annotate,'ænəteit,vi.,"注解,注释",TOEFL_abridged
annul,ə'nʌl,vt.,"废除,宣告无效,取消",TOEFL_abridged
anomalous,ə'nɔmələs,a.,"不规则的,反常的",TOEFL_abridged
anomaly,ə'nɔməli,n.,"不规则,异常的人或物",TOEFL_abridged
anthropology,`ænθrə'pɔlədʒi,n.,人类学,TOEFL_abridged
antiseptic,ænti'septik,n.,"杀菌剂,防腐剂 a. 杀菌的,防腐的",TOEFL_abridged
apathetic,æpə'θetik,a.,"缺乏感情的,缺乏兴趣的,无动于衷的",TOEFL_abridged
aperture,'æpətjuə,n.,"孔,穴,孔径,光圈",TOEFL_abridged
apex,'eipeks,n.,"顶,峰,绝顶",TOEFL_abridged
apparel,ə'pærəl,n.,"衣服,装具 vt. 使穿衣,装饰",TOEFL_abridged
apprehend,'æpri'hend,vt.,"理解,忧虑,逮捕 vi. 理解",TOEFL_abridged
aquarium,ə'kweəriəm,n.,养鱼池; 水族馆,TOEFL_abridged
aquatic,ə'kwætik,a.,水生的; 水中(上)的,TOEFL_abridged
arable,'ærəbl,a.,"适于耕种的,可耕的",TOEFL_abridged
arbitrator,'ɑ:bitreitə,n.,"仲裁人,公断者",TOEFL_abridged
archaeology,`ɑ:ki'ɔlədʒi,n.,考古学,TOEFL_abridged
archaic,a:'keiik,a.,"已废的,古老的,古代的",TOEFL_abridged
ardor,'ardə,n.,"热心,热情",TOEFL_abridged
arduous,'a:djuəs,a.,"费力的,辛勤的,险峻的",TOEFL_abridged
arid,'ærid,a.,"干燥的,不毛的",TOEFL_abridged
aroma,ə'roumə,n.,"浓香,香气",TOEFL_abridged
ascent,ə'sent,n.,"上升,上坡路",TOEFL_abridged
ascetic,ə'setik,n.,"禁欲者,修道者 a. 修道的,苦己的,苦行",TOEFL_abridged
asperse,əs'pə:s,vt.,"洒水,中伤,诽谤",TOEFL_abridged
aspersion,əs'pə:ʒən,n.,"洒水,诽谤,中伤",TOEFL_abridged
assiduous,ə'sidjuəs,a.,"勤勉的,刻苦的",TOEFL_abridged
assuage,ə'sweidʒ,vt.,"缓和,减轻,镇定",TOEFL_abridged
asteroid,'æstərɔid,n.,小行星,TOEFL_abridged
astound,əs'taund,vt.,"使惊骇,使大吃一惊",TOEFL_abridged
astute,əs'tju:t,a.,"机敏的,狡猾的",TOEFL_abridged
atheism,'eiθiizm,n.,无神论,TOEFL_abridged
attrition,ə'triʃən,n.,"摩擦,磨损",TOEFL_abridged
audition,ɔ:'diʃən,n.,"试镜; 听力,试听",TOEFL_abridged
aura,'ɔ:rə,n.,"气味,气氛",TOEFL_abridged
auspice,'ɔ:spis,n.,"赞助,主办,吉兆",TOEFL_abridged
auspicious,ɔ:'spiʃəs,n.,"吉兆的,幸运的",TOEFL_abridged
austerity,ɔ'sterəti,n.,"朴素,节俭,苦行,酸涩,严峻",TOEFL_abridged
autocrat,'ɔ:təkræt,n.,独裁者,TOEFL_abridged
avalanche,'ævəla:nʃ,n.,"雪崩,山崩,涌到之物 vi. 崩落,涌至 vt. 大量投入",TOEFL_abridged
avarice,'ævəris,n.,"贪财,贪婪",TOEFL_abridged
avaricious,ævə'riʃəs,a.,"贪财的,贪婪的",TOEFL_abridged
aviator,'eivieitə,n.,"飞行员,飞行家",TOEFL_abridged
avid,'ævid,a.,"热望的,急切的,贪婪的",TOEFL_abridged
avow,ə'vəu,vt.,"声明,承认,招认",TOEFL_abridged
backlighting,'bæklaitiŋ,n.,逆光,TOEFL_abridged
balk,bɔ:k,n.,"障碍,错误,失败 vt. 阻止,突然停止,退缩 vi. 逡巡不前",TOEFL_abridged
balmy,'ba:mi,a.,"芳香的,温和的,止痛的",TOEFL_abridged
bandit,'bændit,n.,强盗,TOEFL_abridged
banish,'bæniʃ,vt.,"驱逐,消除",TOEFL_abridged
barricade,bæri'keid,n.,"防卫工事,障碍 vt. 设路障于,阻碍",TOEFL_abridged
barter,'ba:tə,n.,"物物交换,实物交易 vt.",TOEFL_abridged
barter,'ba:tə,vi.,"物物交换,交换",TOEFL_abridged
bashful,'bæʃful,a.,害羞的,TOEFL_abridged
bask,bæ:sk,vi.,"晒太阳,舒适",TOEFL_abridged
baste,beist,vt.,"假缝,润以油脂,涂以奶油,狠揍",TOEFL_abridged
befuddle,bi'fʌdl,vt.,"使昏迷,使迷惑,使迷糊",TOEFL_abridged
beget,bi'get,vt.,"招致,产生,引起",TOEFL_abridged
begrudge,bi'grʌdʒ,vt.,"嫉妒,羡慕,舍不得给,吝惜",TOEFL_abridged
beguile,bi'gail,vt.,诱骗,TOEFL_abridged
belie,bi'lai,vt.,"掩饰,与……不符,使失望",TOEFL_abridged
belittle,bi'litl,vt.,"轻视,使渺小",TOEFL_abridged
belligerent,bi'lidʒərənt,a.,"好战的,交战的,交战国的",TOEFL_abridged
benefactor,'beni'fæktə,n.,"恩人,捐助者,赠送者",TOEFL_abridged
bent,bent,a.,"弯曲的,不诚实的 n. 爱好",TOEFL_abridged
bequest,bi'kwest,n.,"遗赠物,遗产,遗赠",TOEFL_abridged
berate,bi'reit,vt.,严责,TOEFL_abridged
bereave,bə'riv,vt.,"剥夺,使失去",TOEFL_abridged
bestow,bi'stəu,vt.,"授予,适用,留宿,放置,使用",TOEFL_abridged
bicker,'bikə,vi.,"斗嘴,潺潺而流,闪动 n. 口角,流水声",TOEFL_abridged
bidding,'bidiŋ,n.,"命令,邀请,出价",TOEFL_abridged
bigoted,'bigətid,a.,"固执己见的,执迷的,顽固的",TOEFL_abridged
bland,blænd,a.,"温和的,乏味的,冷漠的",TOEFL_abridged
blemish,'blemiʃ,n.,"污点,缺点 vt. 弄脏,玷污,损害",TOEFL_abridged
blip,blip,n.,雷达上显示的点,TOEFL_abridged
bliss,blis,n.,"福佑,天赐的福",TOEFL_abridged
bog,bɔg,n.,沼泽,TOEFL_abridged
bombastic,bɔm'bæstik,a.,"夸大的,夸夸其谈的",TOEFL_abridged
bonanza,bou'nænzə,n.,"富矿带,带来好运的事物,幸运",TOEFL_abridged
boon,bu:n,n.,恩惠,TOEFL_abridged
boredom,'bɔ:dəm,n.,"厌烦,厌倦,令人厌烦的事物",TOEFL_abridged
boulder,'bəuldə(r),n.,大石头,TOEFL_abridged
brawl,brɔ:l,n.,"争吵vi. 争吵,哗哗地流水",TOEFL_abridged
brim,brim,n.,"边,边缘,(河)边 vt. 注满,使满溢 vi. 满溢",TOEFL_abridged
brittle,'britl,a.,"易碎的,脆弱的,易坏的",TOEFL_abridged
budge,bʌdʒ,vi.,"移动,微微一动 vt. 推动 n. 羔皮",TOEFL_abridged
burgeon,'bə:dʒən,vi.,迅速成长，发展,TOEFL_abridged
burnish,'bə:niʃ,vt.,"磨,打磨,磨光 vi. 磨光发亮 n. 光辉,光泽",TOEFL_abridged
burrow,'bʌrəu,vi.,挖地洞 n. 洞穴,TOEFL_abridged
byword,'baiwə:d,n.,"谚语,格言,笑柄",TOEFL_abridged
calamity,kə'læmiti,n.,"灾难,不幸事件",TOEFL_abridged
calculus,'kælkjuləs,n.,微积分学; 结石,TOEFL_abridged
caliber,'kæləbə,n.,"口径,才干,器量",TOEFL_abridged
camouflage,'kæməflɑ:ʒ,,n.,TOEFL_abridged
camouflage,'kæməflɑ:ʒ,v.,掩饰，伪装,TOEFL_abridged
cannibalism,'kænibəlizəm,n.,嗜食同类,TOEFL_abridged
canny,'kæni,a.,"精明的,谨慎的",TOEFL_abridged
canopy,'kænəpi,n.,天篷，遮篷,TOEFL_abridged
capacious,kə'peiʃəs,a.,"容积大的,广阔的,宽敞的",TOEFL_abridged
captivate,'kæpti'veit,vt.,"迷住,迷惑",TOEFL_abridged
captivity,kæp'tiviti,n.,"囚禁,被关",TOEFL_abridged
cardiac,'kɑ:diæk,a.,心脏的，心脏病的,TOEFL_abridged
caribou,'kæribu:,n.,北美产驯鹿,TOEFL_abridged
carnage,'ka:nidʒ,n.,"大屠杀,残杀",TOEFL_abridged
carnal,'karnəl,a.,"肉体的,肉欲的",TOEFL_abridged
carnivore,'kɑ:nivɔ:,n.,肉食动物,TOEFL_abridged
cartilage,'kɑ:tilidʒ,n.,软骨,TOEFL_abridged
cascade,kæs'keid,n.,小瀑布,TOEFL_abridged
cassette,kə'set,n.,盒式录音(或录像)带,TOEFL_abridged
castigate,'kæstigeit,vt.,"惩罚,苛评,修订",TOEFL_abridged
cataclysm,'kætə'klizəm,n.,"大洪水,地震,(社会政治的)大变动",TOEFL_abridged
catching,'kætʃiŋ,a.,"易传染的,有魅力的,迷人的",TOEFL_abridged
categorical,kætə'gɑ:ikl,a.,"属于范畴的,绝对的,明确的",TOEFL_abridged
caterpillar,'kætəpilə,n.,毛虫，蝴蝶的幼虫,TOEFL_abridged
caustic,'kɔ:stik,n.,腐蚀剂 a. 腐蚀性的,TOEFL_abridged
cavern,'kævən,n.,"巨穴,洞窟 vt. 放于山洞中,挖空",TOEFL_abridged
ceaseless,'si:slis,a.,"不停的,不断的",TOEFL_abridged
celebrated,'selibreitid,a.,著名的; 有名的,TOEFL_abridged
celestial,si'lestjəl,a.,"天的,天国的,天空的",TOEFL_abridged
censure,'senʃə,n.,"责难 vt. 非难,指责",TOEFL_abridged
centennial,sen'teniəl,n.,百年纪念,TOEFL_abridged
ceremonious,seri'mounjəs,a.,"讲究仪式的,隆重的",TOEFL_abridged
chafe,tʃeif,n.,"擦伤,气恼 vt.",TOEFL_abridged
chafe,tʃeif,vi.,"摩擦,擦痛,激怒",TOEFL_abridged
charcoal,'tʃɑ:kəul,n.,木炭,TOEFL_abridged
charisma,kə'rizmə,n.,"非凡的领导力,教祖般的指导力,神授的能力",TOEFL_abridged
chary,'tʃæri,a.,"细心的,吝啬的,谨慎的",TOEFL_abridged
chaste,tʃeist,a.,"贞洁的,纯洁的,朴素的",TOEFL_abridged
checked,tʃekt,a.,格子花纹的; 棋盘状的,TOEFL_abridged
chide,tʃaid,,vt.,TOEFL_abridged
chide,tʃaid,vi.,"斥责,责骂",TOEFL_abridged
chilled,tʃild,a.,冷冻的,TOEFL_abridged
chimpanzee,`tʃimpæn'zi:,n.,黑猩猩,TOEFL_abridged
chirp,tʃə:p,n.,"喳喳声,唧唧声 vt.",TOEFL_abridged
chirp,tʃə:p,vi.,吱喳而鸣,TOEFL_abridged
chlorine,'klɔ:ri:n,n.,氯,TOEFL_abridged
choreographer,`kɔri'ɔgrəfə,n.,舞蹈指导,TOEFL_abridged
chromosome,'krəuməsəum,n.,染色体,TOEFL_abridged
chronical,'krɔnikl,a.,慢性的，延续很长的,TOEFL_abridged
chuckle,'tʃʌkl,n.,"吃吃的笑声,轻笑 vi. 吃吃的笑,咯咯叫",TOEFL_abridged
cipher,'saifə,n.,"零,暗号,阿拉伯数字,无用的东西,密码 vt.",TOEFL_abridged
cipher,'saifə,vi.,"计算,做算术",TOEFL_abridged
circuitous,sə'kju:itəs,a.,"迂回的路的,迂曲的,绕行的",TOEFL_abridged
circumference,sə'kʌmfərəns,n.,"圆周,周围,胸围",TOEFL_abridged
circumscribe,sə:kəm'skraib,vt.,"在……周围画线,限制",TOEFL_abridged
circumspect,'sə:kəmspekt,a.,"细心的,慎重的",TOEFL_abridged
circumvent,sə:kəm'vent,vt.,"绕行,陷害,包围,智取",TOEFL_abridged
