word,phonetic,pos,definition,source
internship,'ɪntɝnʃɪp,,n.<美>实习医师,专八
trial,'traɪəl,,n.审判,专八
untimely,ʌn'taɪmli,,a.不适时的，不合时宜的,专八
omelet,ˈɔməlɪt,,n.煎蛋饼,专八
moth,mɔθ,,n.蛾,专八
champagne,ʃæm'pen,,n.香槟酒,专八
dive,daɪv,,v.潜水,专八
raft,ræft,,n.木筏,专八
slit,slɪt,,v.切开，撕开,专八
draw,drɔ,,v.拖,专八
cataract,'kætərækt,,n.大瀑布,专八
foam,fom,,n.泡沫,专八
omnibus,'ɑmnɪbəs,,n.公共汽车,专八
scamper,'skæmpɚ,,v.奔跑,专八
brisk,brɪsk,,a.快的； 轻快的,专八
toil,tɔɪl,,v.长时间或辛苦地工作,专八
scrub,skrʌb,,v.用力擦洗，刷洗,专八
shear,ʃɪr,,n.大剪刀,专八
ravage,'rævɪdʒ,,v.破坏；毁坏 n.毁坏后的残迹,专八
crate,kret,,n.箱,专八
fruiterer,'frutərɚ,,n.水果商,专八
extract,'ɛkstrækt,,v.榨取,专八
canvas,'kænvəs,,n.帆布,专八
garnish,'gɑrnɪʃ,,v.装饰，文饰； 给…加配菜,专八
glistening,'gli:sniŋ,,a.闪耀的，反光的,专八
spiced,spaɪst,,a.含香料的； 五香的,专八
baked,bekt,,a.烘烤制作的,专八
brass,bræs,,n.黄铜,专八
liquor,'lɪkɚ,,n.酒，烈性酒,专八
orchestra,'ɔrkɪstrə,,n.管弦乐队,专八
gaudy,'gɔdi,,a.花哨的,专八
permeate,'pɝmɪet,,vt&vi.弥漫； 遍布；感染，传播； 渗入,专八
perish,'pɛrɪʃ,,v.死亡，丧生,专八
penetrate,'pɛnətret,,v.穿透，刺入； 渗入,专八
perpetrate,'pɝpətret,,v.犯（罪）； 做（恶）,专八
innuendo,",ɪnju'ɛndo",,n.暗讽，讽刺； 影射,专八
prodigality,",prɒdɪ'ɡælətɪ",,n.浪费；慷慨；丰富,专八
swell,swɛl,,vt&vi.增强； 肿胀； 膨胀,专八
hush,hʌʃ,,vt&vi.（使）安静下来 n.安静，寂静,专八
obligingly,ə'blaidʒiŋli,,ad.亲切地,专八
erroneous,ɪ'ronɪəs,,a.错误的,专八
understudy,"'ʌndə,stʌdi",,n.预备演员，替角,专八
chauffeur,ʃo'fɝ,,n.受雇于人的汽车司机,专八
peculiar,pɪ'kjulɪɚ,,a.奇怪的，古怪的； 异常的,专八
flannel,'flænl,,n.法兰绒，绒布,专八
earnest,ˈɜ:nɪst,,a.热心的； 诚挚的,专八
agonizingly,'ægənaiziŋli,,ad.使人烦恼地；苦闷地,专八
vicinity,və'sɪnəti,,n.附近，邻近； 附近地区,专八
dizzy,'dɪzi,,a.头昏眼花的,专八
dreadful,'drɛdfəl,,a.可怕的； 令人畏惧的,专八
whereabouts,"'hwɛrə,baʊts; 'wɛrə,baʊts",,ad.在什么地方,专八
vehemently,'viəməntli,,ad.竭尽全力地,专八
purposeless,'pɝpəsləs,,a.无目的的,专八
coin,kɔɪn,,v.创造,专八
legitimate,ləˈdʒɪtəmɪt,,a.合法的，合理的,专八
consensual,kən'sɛnʃuəl,,a.经双方同意的，一致同意的,专八
hallucination,"hə,lusɪ'neʃən",,n.幻觉，幻想,专八
graphic,'græfɪk,,a.图解的，用图表示的,专八
prescient,'prɛsɪənt,,a.有先见之明的,专八
myriad,'miriəd,,a.无数的； 多种的,专八
tremendous,trə'mɛndəs,,"a.极大的, 巨大的",专八
breach,britʃ,,n.破裂； 缺口；漏洞,专八
prominent,'prɑmɪnənt,,a.突出的，杰出的,专八
surveillance,sɝ'veləns,,n.监视，监控,专八
contractor,kən'træktɚ,,n.订约人，承包人,专八
domain,do'men,,n.范围，领域,专八
sabotage,",sæbə'tɑʒ",,n.破坏活动,专八
affiliate,ə'fɪlɪet,,v.附属于,专八
controversial,",kɑntrə'vɝʃl",,a.有争议的，引起争议的,专八
contradictory,",kɑntrə'dɪktəri",,a.矛盾的,专八
complementary,'kɑmplə'mɛntri,,a.互补的,专八
congruent,'kɑŋɡruənt,,a.符合的； 一致的,专八
espionage,'ɛspɪənɑʒ,,n.侦察； 间谍活动,专八
anticipate,æn'tɪsə'pet,,v.预知；预料,专八
malicious,mə'lɪʃəs,,a.恶意的；恶毒的,专八
geeky,'ɡi:ki,,a.令人讨厌的,专八
resilient,rɪ'zɪlɪənt,,a.有复原力的；适应力强的,专八
vengeance,'vɛndʒəns,,n.报复，复仇,专八
bastion,'bæstɪən,,n.堡垒,专八
mediocre,",midɪ'okɚ",,a.普通的；平凡的,专八
mediocrity,",mi:di'ɔkrəti, ,med-",,n.平庸，平凡；平庸的人,专八
bloated,'blotɪd,,a.浮肿的,专八
fourfold,'fɔrfold,,a.四倍的,专八
pervasive,pɚ'vesɪv,,ad.无处不在地； 遍布地,专八
liberate,'lɪbə'ret,,v.解放； 释放,专八
tenure,'tɛnjɚ,,n.占有（职位，不动产等）;授予…终身职位,专八
knowingly,'noɪŋli,,ad.特意地； 故意地,专八
prestige,prɛ'stidʒ,,n.威信，威望，声望,专八
decisive,dɪ'saɪsɪv,,a.决定性的,专八
euphemism,'jufəmɪzəm,,n.委婉语；委婉说法,专八
analogy,ə'nælədʒi,,n.类比；类推；类似,专八
metaphor,'mɛtəfɚ,,n.暗喻，隐喻；比喻说法,专八
personification,"pɚ,sɑnɪfɪ'keʃən",,n.人格化；化身；拟人法（一种修辞手法）；象征,专八
literally,'lɪtərəli,,ad.确实地，真正地；逐字地； 照字面地,专八
douse,daʊs,,v.浇水在…上,专八
monetary,'mʌnɪtɛri,,a.货币的，金钱的,专八
pertinent,'pɝtnənt,,a.有关的,专八
drought,draʊt,,n.干旱（时期），旱季,专八
gallon,'ɡælən,,n.加仑（容量单位）,专八
warranted,'wɔrənt,,a.（制造商）担保的，保证的,专八
inference,'ɪnfərəns,,n.推理； 推断,专八
adversarial,",ædvɚ'sɛrɪəl",,a.敌手的，对手的,专八
implication,'ɪmplɪ'keʃən,,v.涉及,专八
intimate,ˈɪntəmɪt,,a.亲密的，亲近的,专八
residue,'rɛzɪdu,,n.残余，残渣,专八
tactics,'tæktɪks,,n.战术； 策略,专八
dialectical,",daɪə'lɛktɪkl",,a.方言的，辩证的,专八
namely,'nemli,,ad.即，也就是说,专八
paradigm,'pærə'daɪm,,n.范例，样式,专八
polarize,'polə'raɪz,,v.使两极分化,专八
proponent,prə'ponənt,,n.支持者，拥护者,专八
synch,siŋk,,v.同时发生，同步,专八
platitude,'plætɪtud,,n.陈词滥调,专八
pretext,'pritɛkst,,n.借口，托辞,专八
hurdle,'hɝdl,,n.障碍，困难,专八
chastise,tʃæ'staɪz,,v.严惩（某人）,专八
speculative,'spɛkjələtɪv,,a.投机的； 思考的,专八
tidbit,'tɪd'bɪt,,n.趣闻,专八
rarity,'rɛrəti,,n.稀有，罕见,专八
numb,nʌm,,a.麻木的，失去感觉的,专八
marijuana,",mærə'wɑnə",,n.大麻,专八
diarrhea,",daɪə'riə",,n.腹泻,专八
sanitation,",sænɪ'teʃən",,n.卫生设备，卫生环境,专八
frenetic,frə'nɛtɪk,,a.发狂的，狂热的,专八
indulgence,ɪn'dʌldʒəns,,n.沉溺；放纵,专八
extravagant,ɪk'strævəgənt,,a.过度的；浪费的，奢侈的,专八
plausible,'plɔzəbl,,a.可信的，貌似合理的,专八
ritual,'rɪtʃuəl,,n.仪式，惯例,专八
corollary,'kɔrəlɛri,,n.必然的结果；推论,专八
instinct,'ɪnstɪŋkt,,n.本能，天性,专八
revelation,'rɛvə'leʃən,,n.启示；揭露,专八
indignant,ɪn'dɪɡnənt,,a.愤慨的，愤怒的,专八
docile,ˈdoʊˌsaɪl,,a.温顺的，容易教的,专八
disobedient,'dɪsə'bidɪənt,,a.不服从的，违背的,专八
fickleness,'fɪkəlnəs,,n.浮躁，变化无常,专八
gratitude,'ɡrætɪtud,,n.感激，感谢,专八
betray,bɪ'tre,,v.出卖，背叛,专八
begrudging,bi'grʌdʒiŋ,,a.吝惜的；勉强的；妒忌的,专八
conspire,kən'spaɪɚ,,v.共同促成；密谋,专八
steadfastness,'stedfa:stnis,,n.坚定不移,专八
tenacity,tə'næsɪti,,n.固执；不屈不挠,专八
stubbornly,'stʌbɚnli,,ad.固执地,专八
totter,'tɑtɚ,,v.踉跄，蹒跚,专八
senile,'sinaɪl,,a.高龄的，老龄的,专八
buckle,'bʌk(ə)l,,v.扣住 n.皮带扣,专八
wheeze,wiz,,v.喘息，呼哧呼哧的作响,专八
gasp,ɡæsp,,v.气喘吁吁,专八
stern,stɝn,,a.严厉的，坚定的,专八
clutch,klʌtʃ,,n.离合器,专八
willful,'wɪlfəl,,a.任性的，有意的,专八
strangle,'stræŋɡl,,v.抑制；勒死,专八
leopard,'lɛpɚd,,n.美洲豹,专八
crouch,kraʊtʃ,,v.蹲伏,专八
duck,dʌk,,v.弯下身子，低头,专八
reckless,'rɛkləs,,a.鲁莽的,专八
imperceptibly,",ɪmpɚ'sɛptəbli",,ad.察觉不到地,专八
loop,lup,,v&n.环，圈；使成环,专八
languid,'læŋɡwid,,a.倦怠的，软弱无力的,专八
hum,hʌm,,v.哼唱,专八
chorus,'kɔrəs,,n.合唱团,专八
squat,skwɑt,,a.蹲着的，矮胖的,专八
majestically,mə'dʒestikəli,,ad.庄严地，威严地,专八
shudder,'ʃʌdə,,v.发抖，颤栗,专八
tremble,'trɛmbl,,v.颤抖,专八
spout,spaʊt,,v.喷出,专八
radiator,'redɪ'etɚ,,n.散热器,专八
crawl,krɔl,,v.匍匐前进,专八
stroll,strol,,v.散步，漫步,专八
flush,flʌʃ,,n.旺盛,专八
ubiquitous,ju'bɪkwɪtəs,,a.无处无在的，普遍的,专八
corridor,'kɔrɪdɔr,,n.走廊,专八
