word,phonetic,pos,definition,source
adrift,ə'drɪft,,a.漫无目的地； 漂浮着,专四
aftermath,'æftəmæθ,,n.后果；余波,专四
afterworld,'æftəwɝld,,n.阴间,专四
ample,'æmpl,,a.足够的；丰富的,专四
ascertain,'æsɚ'ten,,v.确定，查明,专四
assure,ə'ʃʊr,,v.向...保证，使...确信,专四
attain,ə'ten,,v.获得；得到,专四
autopsy,'ɔtɑpsi,,n.尸体剖检,专四
Bible,'baɪbl,,n.圣经,专四
charitable,'tʃærətəbl,,a.仁慈的,专四
combination,",kɑmbɪ'neʃən",,n.结合体，混合物,专四
concept,'kɑnsɛpt,,n.观念；想法,专四
congress,'kɑŋɡrəs,,n.国会；大会,专四
consequence,'kɑnsəkwɛns,,n.结果,专四
contagious,kən'tedʒəs,,a.有感染力的；会蔓延的,专四
contemporary,kən'tɛmpərɛri,,a.当代的；同时代的,专四
contempt,kən'tɛmpt,,n.轻视；蔑视,专四
crave,krev,,v.渴望，热望,专四
deprive,dɪ'praɪv,,v.剥夺，使丧失,专四
detect,dɪ'tɛkt,,v.察觉；侦查,专四
deter,dɪ'tɝ,,v.阻止，制止,专四
disgrace,dɪs'ɡres,,v&n.耻辱,专四
dispel,dɪ'spɛl,,v.消除（疑虑等）,专四
dispute,'dɪs'pjʊt,,v.争论；对...提出质疑,专四
disseminate,dɪ'sɛmɪnet,,v.散布，传播,专四
dove,dʌv; dov,,n.鸽,专四
drag,dræg,,v.拖拽； 吃力地往前拉,专四
ensure,ɪn'ʃʊr,,v.保证，确保,专四
especially,ɪ'spɛʃəli,,ad.尤其，特别是,专四
expel,ɪk'spɛl,,v.驱逐；赶走；把…除名,专四
fate,fet,,n.命运,专四
federal,'fɛdərəl,,a.联邦的,专四
generations,",dʒɛnə'reʃən",,n.数代人,专四
grit,ɡrɪt,,n.毅力,专四
gritty,'grɪti,,a.勇敢的，坚毅的,专四
gutter,'gʌtɚ,,n.（路边）排水沟,专四
hippie,'hɪpi,,n.嬉皮士,专四
immortality,",ɪmɔr'tæləti",,n.永生，不朽,专四
indolence,'ɪndələns,,n.懒惰；懒散,专四
insecure,",ɪnsɪ'kjʊr",,a.不安全的,专四
insure,ɪn'ʃʊr,,v.为...上保险,专四
loan,lon,,n.贷款,专四
makeshift,'mek'ʃɪft,,a.临时替代的； 权宜的,专四
malnourished,",mæl'nɝɪʃt",,a.营养不良的,专四
manifest,'mænɪfɛst,,v.显示，表明,专四
manipulate,mə'nɪpjulet,,v.操纵；巧妙地处理,专四
Mistletoe,'mɪslto,,n.槲寄生,专四
muddy,'mʌdi,,a.泥泞的,专四
mythology,mɪ'θɑlədʒi,,n.神话学,专四
neglect,nɪ'glɛkt,,v.忽略,专四
particularly,pɚ'tɪkjəlɚli,,ad.特别地,专四
perseverance,",pɝsə'vɪrəns",,n.毅力,专四
presence,'prɛzns,,n.出席,专四
presumably,prɪ'zuməbli,,ad.据推测； 大概,专四
proclaim,prə'klem,,v.宣告,专四
promulgate,'prɑmlɡet,,v.颁布，公布,专四
proportion,prə'pɔrʃən,,n.比例,专四
quell,kwɛl,,v.制止，平息，镇压,专四
repel,rɪ'pɛl,,v.抵制；使厌恶,专四
represent,",rɛprɪ'zɛnt",,v.象征；代表,专四
reputation,",rɛpju'teʃən",,n.名誉，声望,专四
resemblance,rɪ'zɛmbləns,,n.相似,专四
scant,skænt,,a.少量的，不足的,专四
shabby,ˈʃæbi,,a.破烂的，衣着寒酸的,专四
shortlist,'ʃɔ:tlist,,v.把…列入候选名单;提名,专四
sophisticated,sə'fɪstɪketɪd,,a.复杂的，老于世故的,专四
source,sɔrs,,n.根源；源头,专四
specially,'spɛʃəli,,ad.特意地；专门地,专四
specifically,spə'sɪfɪkli,,ad.明确地，具体的,专四
spontaneous,spɑn'tenɪəs,,a.自发的； 自然的,专四
sumptuous,'sʌmptʃuəs,,a.华丽的；奢侈的,专四
superstition,",supɚ'stɪʃən",,n.迷信,专四
symbolize,'sɪmbəlaɪz,,v.象征；用符号代表,专四
temporary,'tɛmpə'rɛri,,a.临时的，暂时的,专四
tendency,'tɛndənsi,,n.倾向，趋势,专四
thorough,ˈθʌrəʊ; θʌro,,a.彻底的，全面的,专四
tireless,'taɪrləs,,a.不疲倦的,专四
tow,to,,v.拖，拉； 牵引,专四
valiant,'væljənt,,a.勇敢的，英勇的,专四
variable,'vɛrɪəbl,,a.多变的，易变的,专四
vigilant,'vɪdʒələnt,,a.警惕的，警醒的,专四
vigorous,'vɪɡərəs,,a.强有力的（运动、活动）精力充沛的,专四
virtual,[ˈvɜ:rtʃuəl],,a.实质上的，实际上的,专四
weapon,'wɛpən,,n.武器,专四
welfare,'wɛl'fɛr,,n.福利,专四
withdraw,wɪð'drɔ,,v.取款,专四
yearn,jɝn,,v.渴望,专四
aimless,'emləs,,a.没有目标的,专四
amateur,ˈæmətər,,n.外行,专四
amplify,'æmplɪfaɪ,,v.放大,专四
arthritis,ɑr'θraɪtɪs,,n.关节炎,专四
artificial,",ɑrtɪ'fɪʃl",,a.人造的； 人工的,专四
assessment,ə'sɛsmənt,,n.评估； 评价,专四
assignment,ə'saɪnmənt,,n.作业,专四
assistance,ə'sɪstəns,,n.帮助，援助,专四
attachment,ə'tætʃmənt,,n.依恋,专四
attendance,ə'tɛndəns,,n.出席人数,专四
attending,ə'tɛndɪŋ,,n.主治医生,专四
bandwagon,'bændwæɡən,,n.时尚，潮流,专四
celebrity,sə'lɛbrəti,,n.名人,专四
cessation,sɛ'seʃən,,n.中止,专四
charge,tʃɑrdʒ,,v.充电,专四
chase,tʃeɪs,,v.追逐,专四
circulation,",sɝkjə'leʃən",,n.循环,专四
civil,'sɪvl,,a.公民的，市民的,专四
civilized,sɪvlˌaɪzd,,a.文明的；有教养的,专四
civilian,sə'vɪlɪən,,a.平民百姓的,专四
civic,'sɪvɪk,,a.城市的；城镇的；市民的,专四
contemplate,'kɑntəmplet,,v.沉思；深思熟虑,专四
deadly,'dɛdli,,a.致命的,专四
demonstrate,'dɛmən'stret,,v.证明，证实,专四
dismal,'dɪzməl,,a.糟糕的,专四
downside,'daʊnsaɪd,,n.负面,专四
ease,iz,,v.缓解，减少,专四
emerge,ɪ'mɝdʒ,,v.出现，浮现,专四
essay,'ɛse,,n.小论文,专四
essence,'ɛsns,,n.本质，实质,专四
fake,feɪk,,a.假的,专四
fertile,ˈfɝtəl; (canadian) ˈfɝˌtaɪl,,a.肥沃的，能生产的,专四
formula,'fɔrmjələ,,n.准则,专四
gash,ɡæʃ,,n.伤口,专四
generative,'dʒɛnərətɪv,,a.生产的，有生产力的,专四
gloomy,'ɡlumi,,a.阴暗的,专四
grab,ɡræb,,v.抢先，抢占,专四
hazard,'hæzɚd,,n.危险,专四
indulgent,ɪn'dʌldʒənt,,a.放纵的，纵容的,专四
inheritance,ɪn'hɛrɪtəns,,n.继承,专四
instantaneously,",ɪnstən'tenɪəsli",,ad.即刻；突如其来地,专四
interns,ɪnˈtɜ:n,,n.住院实习医生,专四
inundate,'ɪnʌndet,,v.应接不暇,专四
lump,lʌmp,,n.肿块,专四
lung,lʌŋ,,n.肺,专四
manipulation,"mə,nɪpjʊ'leʃən",,n.操纵，控制,专四
mastery,'mæstəri,,n.精通，熟练,专四
meditation,",mɛdɪ'teʃən",,n.冥想,专四
multiplication,'mʌltəplə'keʃən,,n.乘法,专四
offset,",ɔf'sɛt",,v.弥补,专四
outcast,'aʊtkæst,,n.被逐出者,专四
outsource,'aʊtsɔrs,,v.外包,专四
overlook,",ovɚ'lʊk",,v.忽视，忽略,专四
overwhelming,",ovɚ'wɛlmɪŋ",,a.难以抗拒的,专四
paralegal,",pærə'liɡl",,a.辅助律师业务的,专四
pause,pɔz,,n.暂停,专四
perspiration,",pɝspə'reʃən",,n.汗水，汗,专四
philosophy,fə'lɑsəfi,,n.哲理,专四
pneumonia,nʊ'monɪə,,n.肺炎,专四
premature,",primə'tʃʊr",,a.过早的,专四
productive,prə'dʌktɪv,,a.多产的,专四
property,'prɑpɚti,,n.财产,专四
relative,'rɛlətɪv,,n.亲属,专四
relieve,rɪ'liv,,v.解除； 缓解,专四
respiration,",rɛspə'reʃən",,n.呼吸,专四
signify,'sɪɡnɪfaɪ,,v.表示,专四
staggering,'stæɡərɪŋ,,a.难以置信的，令人震惊的,专四
standstill,'stændstɪl,,n.停止，停顿,专四
stethoscope,'stɛθəskop,,n.听诊器,专四
still,stɪl,,v.（使）安静，（使）静止,专四
subsequently,'sʌbsɪkwəntli,,ad.后来地,专四
supervise,'sʊpɚ'vaɪz,,v.监督,专四
surest,ʃʊərɪst,,a.无疑的,专四
swell,swɛl,,v.肿胀,专四
symptom,'sɪmptəm,,n.症状,专四
torment,'tɔrmɛnt,,v.折磨，使痛苦,专四
trap,træp,,v.使落入圈套,专四
tutor,'tʊtɚ,,n.导师,专四
wholesale,'holsel,,ad.批发销售,专四
adolescent,",ædə'lɛsnt",,a.青春期的；青少年,专四
adversely,æd'vɝsli,,ad.不利地,专四
amusement,ə'mjuzmənt,,n.娱乐,专四
apprenticeship,ə'prɛntɪʃɪp,,n.学徒期；学徒身份,专四
appropriate,əˈpropriɪt,,a.恰当的,专四
betray,bɪ'tre,,v.背叛,专四
calibre,'kælibə,,n.能力; 水准,专四
carpenter,ˈkɑːrpəntər,,n.木工，木匠,专四
cater,'ketɚ,,v.迎合；满足需要,专四
cite,saɪt,,v.引用，引证,专四
clumsy,'klʌmzi,,a.笨拙的,专四
combine,kəm'baɪn,,v.将...相结合,专四
comically,'kɒmɪklɪ,,ad.滑稽地,专四
criterion,kraɪˈtɪriən,,n.标准,专四
deformity,dɪ'fɔrməti,,n.畸形,专四
discriminate,dɪ'skrɪmɪnet,,v.歧视,专四
dizzy,'dɪzi,,a.眩晕的,专四
drowsy,'draʊzi,,a.昏昏欲睡的,专四
embrace,ɪm'bres,,v.包括，拥抱,专四
enforce,ɪn'fɔrs,,v.强迫服从；实施，执行；加强,专四
excel,ɪk'sɛl,,v.胜过（他人）,专四
expand,ɪk'spænd,,v.扩展，变大,专四
explosion,ɪk'sploʒən,,n.爆炸,专四
fair,fɛr,,v.浅色的,专四
feature,'fitʃɚ,,n.特征，特点,专四
freshmen,'freʃmən,,n.大一新生,专四
fundamental,",fʌndə'mɛntl",,a.根本的，基本的,专四
genetically,dʒə'nɛtɪklɪ,,ad.基因地,专四
hydrostatics,",haɪdrə'stætɪks",,n.流体静力学,专四
impair,ɪm'pɛr,,v.损害；削弱,专四
inactive,ɪn'æktɪv,,a.不活跃的，停滞的,专四
inclined,ɪn'klaɪnd,,a.倾向于...的；有...意向的,专四
increasingly,ɪn'krisɪŋli,,ad.越来越多地；日益,专四
industrialized,in'dʌstriəlaizd,,a.工业的,专四
inhibition,ˌɪnhɪˈbɪʃn,,n.抑制,专四
interact,",ɪntɚ'ækt",,v.互动；相互交往,专四
mimic,'mɪmɪk,,v.模仿,专四
imitate,'ɪmɪtet,,v.模仿，仿效；仿造，仿制,专四
multiple,'mʌltəpl,,a.多个的,专四
mystic,'mistik,,a.神秘的,专四
outlet,'aʊtlɛt,,n.（感情的）发泄途径,专四
physical,'fɪzɪkl,,a.自然（界）的,专四
plumber,'plʌmɚ,,n.管道工，水管工,专四
preference,'prɛfrəns,,n.偏爱,专四
preliminary,prɪ'lɪmɪnɛri,,a.初步的，开始的,专四
primitive,'prɪmətɪv,,a.原始的；远古的,专四
produce,prə'dus,,v.产生，导致,专四
prolong,prəˈlɑːŋ,,v.延长,专四
pupil,pjupl,,n.学生,专四
qualification,",kwɑlɪfɪ'keʃən",,n.资格,专四
reinforce,",riɪn'fɔrs",,v.强化；加强,专四
relay,rɪ'le,,v.转告；传送,专四
revolution,'rɛvə'lʊʃən,,n.革命,专四
