word,phonetic,pos,definition,source
good,ɡʊd,,a.好的,人教初中七年级
morning,'mɔrnɪŋ,,n.早晨；上午,人教初中七年级
Good morning!,,,早上好！,人教初中七年级
hi,haɪ,,interj.(用于打招呼)嗨；喂,人教初中七年级
hello,həˈlo,,interj.你好；喂,人教初中七年级
afternoon,",æftɚ'nun",,n.下午,人教初中七年级
Good afternoon!,,,下午好！,人教初中七年级
evening,'ivnɪŋ,,n.晚上；傍晚,人教初中七年级
Good evening!,,,晚上好！,人教初中七年级
how,haʊ,,ad.怎样；如何,人教初中七年级
are,ɑr,,v.是（第二人称单复数现在式）,人教初中七年级
you,ju,,pron.你；你们,人教初中七年级
How are you?,haʊ ɑr ju,,你好吗？,人教初中七年级
I,aɪ,,pron.我,人教初中七年级
am,ɛm,,v.是(第一人称单数现在时),人教初中七年级
fine,faɪn,,a.美好的；健康的,人教初中七年级
thanks,θæŋks,,interj.感谢；谢谢 n.感谢；谢谢,人教初中七年级
OK,"'əu'kei, ,əu'kei, 'əukei",,interj.好；可以 ad.好；可以,人教初中七年级
what,hwɒt; hwɑt,,pron.什么,人教初中七年级
is,ɪz,,v.是（第三人称单数现在时）,人教初中七年级
this,ðɪs,,pron.这；这个,人教初中七年级
in,ɪn,,prep.(表示使用语言、材料等)用；以,人教初中七年级
English,'ɪŋɡlɪʃ,,n.英语 a.英格兰的；英格兰人的；英语的,人教初中七年级
in English,,,用英语,人教初中七年级
map,mæp,,n.地图,人教初中七年级
cup,kʌp,,n.杯子,人教初中七年级
ruler,'rulɚ,,n.尺；直尺,人教初中七年级
pen,pɛn,,n.笔；钢笔,人教初中七年级
orange,'ɔrɪndʒ,,n.橙子,人教初中七年级
jacket,'dʒækɪt,,n.夹克衫；短上衣,人教初中七年级
key,kiː,,n.钥匙,人教初中七年级
quilt,kwɪlt,,n.被子；床罩,人教初中七年级
it,ɪt,,pron.它,人教初中七年级
a,ə; e,,art.(用于单数可数名词前)一(人、事、物),人教初中七年级
that,ðæt,,pron.那；那个,人教初中七年级
spell,spɛl,,v.用字母拼；拼写,人教初中七年级
please,pliz,,interj.(用于客气地请求或吩咐)请,人教初中七年级
color,'kʌlɚ,,n.(colour的美式拼法) 颜色,人教初中七年级
red,rɛd,,a.红色（的） n.红色,人教初中七年级
yellow,ˈjɛlo,,a.黄色（的） n.黄色,人教初中七年级
green,ɡrin,,a.绿色（的） n.绿色,人教初中七年级
blue,blu,,a.蓝色（的） n.蓝色,人教初中七年级
black,blæk,,a.黑色（的） n.黑色,人教初中七年级
white,hwaɪt,,a.白色（的） n.白色,人教初中七年级
purple,'pɝpl,,a.紫色（的） n.紫色,人教初中七年级
brown,braʊn,,n.棕色；褐色 a.棕色（的）；褐色（的）,人教初中七年级
the,ðə; ði,,art.指已提到或易领会到的人或事,人教初中七年级
now,naʊ,,ad.现在；目前,人教初中七年级
see,si,,v.理解；明白,人教初中七年级
can,kæn,,v.能；会,人教初中七年级
say,se,,v.说；讲,人教初中七年级
my,maɪ,,pron.我的,人教初中七年级
name,nem,,n.名字；名称,人教初中七年级
nice,naɪs,,a.令人愉快的；宜人的,人教初中七年级
to,tə;tu;tuː,,prep.(表明和某人或某物的关系),人教初中七年级
meet,mit,,v.遇见；相逢,人教初中七年级
too,tu,,ad.太；也；又,人教初中七年级
your,jʊər; jʊr,,det.你的；你们的,人教初中七年级
Ms.,miz,,(于女子的姓名前，不指明婚否)女士,人教初中七年级
his,hɪz,,det.他的；它的〔指雄性动物〕,人教初中七年级
and,"ənd, ən,ænd",,conj.和；又；而,人教初中七年级
her,hɚ,,det.中文释义: 她的;它的〔指雌性动物〕,人教初中七年级
yes,jɛs,,interj.是的；可以,人教初中七年级
she,ʃi,,pron.她,人教初中七年级
he,hi,,pron.他,人教初中七年级
no,no,,interj.不；没有；不是,人教初中七年级
not,nɑt,,ad.不；没有,人教初中七年级
zero,ˈzɪro,,num.零,人教初中七年级
one,wʌn,,num.一,人教初中七年级
two,tu,,num.二,人教初中七年级
three,θri,,num.三,人教初中七年级
four,fɔr,,num.四,人教初中七年级
five,faɪv,,num.五,人教初中七年级
six,sɪks,,num.六,人教初中七年级
seven,'sɛvn,,num.七,人教初中七年级
eight,et,,num.八,人教初中七年级
nine,naɪn,,num.九,人教初中七年级
telephone,ˈtɛləfon,,n.电话；电话机,人教初中七年级
number,'nʌmbɚ,,n.号码；数字,人教初中七年级
phone,fon,,n.电话；电话机,人教初中七年级
telephone number,,,电话号码,人教初中七年级
phone number,,,电话号码,人教初中七年级
first,fɝst,,a.第一,人教初中七年级
first name,,,名字,人教初中七年级
last,læst,,a.最后的；末尾的；最近的，最近一段时间的，最近一次的,人教初中七年级
last name,,,n.姓,人教初中七年级
friend,frɛnd,,n.朋友,人教初中七年级
China,ˈtʃaɪnə,,n.中国,人教初中七年级
middle,'mɪdl,,a.中间的；中间,人教初中七年级
school,skul,,n.学校,人教初中七年级
middle school,,,中学；初中,人教初中七年级
sister,'sɪstɚ,,n.姐；妹,人教初中七年级
mother,'mʌðɚ,,n.母亲；妈妈,人教初中七年级
father,'fɑðɚ,,n.父亲；爸爸,人教初中七年级
parent,'pɛrənt,,n.父（母）亲,人教初中七年级
brother,'brʌðɚ,,n.兄；弟,人教初中七年级
grandmother,'ɡrænmʌðɚ,,n.（外）祖母；奶奶,人教初中七年级
grandfather,'græn'fɑðɚ,,n.(外)祖父；爷爷；,人教初中七年级
grandparent,'græn'pɛrənt,,n.祖父（母）；,人教初中七年级
family,ˈfæməlɪ,,n.家；家庭,人教初中七年级
those,ðoz,,pron.那些,人教初中七年级
who,hu,,pron.谁；什么人,人教初中七年级
oh,o,,interj.哦；啊,人教初中七年级
these,ðiz,,pron.这些,人教初中七年级
they,ðe,,pron.他（她、它）们,人教初中七年级
well,wɛl,,interj.嗯；好吧,人教初中七年级
have,həv;hæv,,aux.与过去分词连用构成动词的完成时态 v.包括，包含，有,人教初中七年级
Have a good day!,,,(表示祝愿)过得愉快！,人教初中七年级
bye,baɪ,,interj.再见,人教初中七年级
son,sʌn,,n.儿子,人教初中七年级
cousin,'kʌzn,,n.堂兄（弟、姐、妹）；表兄,人教初中七年级
grandpa,grandpa,,n.（外）祖父；爷爷；外公,人教初中七年级
mom,mɑm,,n.(mum)妈妈,人教初中七年级
aunt,ænt,,n.姑母；姨母；伯母；婶母；舅母,人教初中七年级
grandma,ɡrænmɑ,,n.（外）祖母；奶奶；外婆；,人教初中七年级
dad,dæd,,n.爸爸,人教初中七年级
uncle,'ʌŋkl,,n.舅父；叔父；伯父；姑父；舅父,人教初中七年级
daughter,'dɔtɚ,,n.女儿,人教初中七年级
here,hɪr,,ad.在这里,人教初中七年级
photo,'foto,,n.照片,人教初中七年级
of,ʌv; əv,,prep.属于(人或物)；关于(人或物),人教初中七年级
next,nɛkst,,a.下一个（的）；接下来（的）,人教初中七年级
picture,'pɪktʃɚ,,n.图画；照片,人教初中七年级
girl,ɡɝl,,n.女孩,人教初中七年级
dog,dɔɡ,,n.狗,人教初中七年级
pencil,'pɛnsl,,n.铅笔,人教初中七年级
book,bʊk,,n.书,人教初中七年级
eraser,ɪ'resɚ,,n.橡皮,人教初中七年级
box,bɑks,,n.箱；盒,人教初中七年级
pencil box,'pɛnsl bɑks,,n.铅笔盒；文具盒,人教初中七年级
schoolbag,ˈskulˌbæɡ,,n.书包,人教初中七年级
dictionary,'dɪkʃə'nɛri,,n.词典；字典,人教初中七年级
his.,hɪz,,pron.他的,人教初中七年级
mine,maɪn,,pron.我的,人教初中七年级
hers,hɝz,,pron.她的,人教初中七年级
excuse,ɪkˈskjus; ɪkˈskjuz,,v.原谅；宽恕,人教初中七年级
me,mi,,pron.(I的宾格)我,人教初中七年级
excuse me,ɪk'skjʊs mi,,劳驾；请原谅,人教初中七年级
thank,θæŋk,,v.感谢；谢谢,人教初中七年级
teacher,'titʃɚ,,n.老师；教师,人教初中七年级
about,ə'baʊt,,prep.关于,人教初中七年级
What about...?,,,询问消息或提出建议...怎么样？,人教初中七年级
yours,jʊrz,,pron.你的；你们的,人教初中七年级
for,fɚ; strong form fɔr,,prep.给；对；为了,人教初中七年级
thank you for...,,,为......而感谢,人教初中七年级
help,hɛlp,,v.帮助；援助 n.帮助；援助,人教初中七年级
welcome,ˈwɛlkəm,,a.受欢迎的,人教初中七年级
You're welcome.,,,别客气。,人教初中七年级
baseball,'besbɔl,,n.棒球,人教初中七年级
watch,wɑtʃ,,n.表；手表,人教初中七年级
computer,kəm'pjutɚ,,n.计算机；电脑,人教初中七年级
game,ɡem,,n.游戏；运动；比赛,人教初中七年级
card,kɑrd,,n.卡片,人教初中七年级
ID card,,,n.学生卡；身份证,人教初中七年级
notebook,'notbʊk,,n.笔记本,人教初中七年级
ring,rɪŋ,,n.戒指,人教初中七年级
bag,bæɡ,,n.袋；包；一袋之量，一（满）袋,人教初中七年级
in.,ɪn,,prep.在...里,人教初中七年级
library,laɪˌbrɛrɪ,,n.图书馆,人教初中七年级
ask,æsk,,v.询问；请求；要求,人教初中七年级
ask... for...,,,请求；恳求(给予),人教初中七年级
find,faɪnd,,v.找到；发现,人教初中七年级
some,sʌm;səm,,a.一些；某些,人教初中七年级
classroom,'klæsrʊm,,n.教室,人教初中七年级
e-mail,"'i,mel",,n.(email)电子邮件,人教初中七年级
at,æt; ət,,prep.在；在…里；在…上〔指地点〕；在(做某事的时候),人教初中七年级
call,kɔl,,v.(给)打电话,人教初中七年级
lost,lɔst,,v.(动词lose的过去式)遗失；丢失,人教初中七年级
must,mʌst,,modal.必须,人教初中七年级
set,sɛt,,n.一套；一副；一组,人教初中七年级
a set of,,,一套；一副；一组,人教初中七年级
where,hweə(r); hwɛr,,ad.在哪里；到哪里,人教初中七年级
table,'tebl,,n.桌子,人教初中七年级
bed,bɛd,,n.床,人教初中七年级
bookcase,'bʊkkes,,n.书架；书柜,人教初中七年级
sofa,'sofə,,n.沙发,人教初中七年级
chair,tʃɛr,,n.椅子,人教初中七年级
on,ɑn,,prep.在...上,人教初中七年级
under,'ʌndɚ,,prep.在...下,人教初中七年级
come,kʌm,,v.来；来到,人教初中七年级
come on,,,快点儿,人教初中七年级
desk,dɛsk,,n.书桌,人教初中七年级
think,θɪŋk,,v.认为；想 n.思考,人教初中七年级
room,rum,,n.房间,人教初中七年级
their,ðɛr,,pron.他（她、它）们的,人教初中七年级
hat,hæt,,n.帽子,人教初中七年级
head,hɛd,,n.头,人教初中七年级
yeah,jɛə,,interj.是的；对,人教初中七年级
know,no,,v.知道；了解,人教初中七年级
radio,'redɪo,,n.收音机；无线电广播,人教初中七年级
clock,klɑk,,n.时钟,人教初中七年级
tape,tep,,n.磁带；录音带；录像带,人教初中七年级
player,'pleɚ,,n.播放机,人教初中七年级
tape player,,,n.激光唱机; 光盘播放机,人教初中七年级
model,'mɑdl,,n.模型,人教初中七年级
plane,plen,,n.飞机,人教初中七年级
model plane,,,n.飞机模型,人教初中七年级
tidy,'taɪdi,,a.整洁的；井井有条的,人教初中七年级
but,bʌt,,conj.但是,人教初中七年级
our,aʊr,,pron.我们的,人教初中七年级
everywhere,'ɛvrɪwɛr,,ad.处处；到处；各地,人教初中七年级
always,'ɔlwez,,ad.总是,人教初中七年级
do,du,,v.用于否定句疑问句；用于避免重复某一动词；做；干,人教初中七年级
have.,həv;hæv,,v.与过去分词连用构成动词的完成时态,人教初中七年级
tennis,ˈtɛnɪs,,n.网球,人教初中七年级
ball,bɔl,,n.球,人教初中七年级
ping-pong,"'piŋpɔŋ, -pɔ:ŋ",,n.乒乓球,人教初中七年级
bat,bæt,,n.球棒；球拍,人教初中七年级
soccer,'sɑkɚ,,n.（英式）足球,人教初中七年级
soccer ball,,,n.(英式)足球,人教初中七年级
volleyball,'vɑlɪbɔl,,n.排球,人教初中七年级
basketball,'bæskɪtbɔl,,n.篮球,人教初中七年级
hey,he,,interj.嘿；喂,人教初中七年级
let,lɛt,,v.允许；让,人教初中七年级
us,əs; ʌs,,pron.(we的宾格)我们,人教初中七年级
let's,lets,,（ let us ） 让我们（一起）,人教初中七年级
go,go,,v.去；走,人教初中七年级
we,wi,,pron.我们,人教初中七年级
late,let,,a.迟到,人教初中七年级
has,hæz,,v.(have的第三人称单数形式)有,人教初中七年级
get,ɡɛt,,v.去取（或带来）；得到,人教初中七年级
great,ɡret,,a.大量的；很大程度的,人教初中七年级
play,ple,,v.玩耍；参加（比赛或运动）,人教初中七年级
sound,saʊnd,,v.听起来好像,人教初中七年级
interesting,'ɪntrəstɪŋ,,a.有趣的,人教初中七年级
boring,'bɔrɪŋ,,a.没趣的；令人厌倦的,人教初中七年级
