word,phonetic,pos,definition,source
anyone,'ɛnɪ'wʌn,,pron.任何人,人教初中八年级
anywhere,'ɛnɪwɛr,,ad.任何地方 pron.任何(一个)地方,人教初中八年级
wonderful,ˈwʌndɚfəl,,a.精彩的；极好的,人教初中八年级
few,fju,,a.很少的； n.少量,人教初中八年级
quite a few,,,相当多；不少(后接可数名词),人教初中八年级
most,most,,a.最多的；大多数的,人教初中八年级
something,'sʌmθɪŋ,,pron.某事物,人教初中八年级
nothing,'nʌθɪŋ,,pron.没有什么 n.没有,人教初中八年级
everyone,'ɛvrɪwʌn,,pron.每人；人人,人教初中八年级
of course,,,当然,人教初中八年级
myself,maɪ'sɛlf,,pron.我自己,人教初中八年级
yourself,jɔr'sɛlf,,pron.你自己；你亲自,人教初中八年级
hen,hɛn,,n.母鸡；雌禽,人教初中八年级
pig,pɪɡ,,n.猪,人教初中八年级
seem,sim,,v.似乎；好像,人教初中八年级
bored,bɔrd,,a.无聊的；厌烦的；郁闷的,人教初中八年级
someone,'sʌmwʌn,,pron.某人；有人,人教初中八年级
diary,'daɪəri,,n.日记；日记簿,人教初中八年级
activity,ækˈtɪvətɪ,,n.活动；活跃,人教初中八年级
decide,dɪ'saɪd,,v.决定；选定(decide to do sth),人教初中八年级
try,traɪ,,v.尝试；设法；努力  (try to do sth /try doing sth),人教初中八年级
paragliding,'pærəɡlaɪdɪŋ,,n.空中滑翔跳伞,人教初中八年级
feel like(doing sth.),,,想要,人教初中八年级
bird,bɝd,,n.鸟；禽,人教初中八年级
bicycle,'baɪsɪkl,,n.自行车,人教初中八年级
building,'bɪldɪŋ,,n.建筑物,人教初中八年级
trader,'tredɚ,,n.商人,人教初中八年级
wonder,'wʌndɚ,,v.想知道；惊奇；怀疑,人教初中八年级
difference,'dɪfrəns,,n.差异；不同,人教初中八年级
top,tɑp,,n.顶部；顶,人教初中八年级
wait,wet,,v.等；等待(wait for),人教初中八年级
umbrella,ʌm'brɛlə,,n.伞；雨伞,人教初中八年级
wet,wɛt,,a.湿的；雨天的；雨天的,人教初中八年级
because of,,,因为；由于,人教初中八年级
below,bɪ'lo,,prep.低于；在...下面 ad.在...下面,人教初中八年级
enough,ɪ'nʌf,,a.足够的 ad.足够地；充分地,人教初中八年级
hungry,ˈhʌŋgrɪ,,a.(反full)饥饿的；渴望的,人教初中八年级
as,æz; əz,,conj.如同；像一样,人教初中八年级
hill,hɪl,,n.小山；丘陵；山冈；斜坡,人教初中八年级
duck,dʌk,,n.鸭；鸭肉,人教初中八年级
dislike,dɪs'laɪk,,v.不喜欢；厌恶 n.不喜爱；厌恶；反感,人教初中八年级
have a good time,,,v.等于enjoy oneself/have fun(doing sth)玩得痛快,人教初中八年级
Central Park,,,n.中央公园,人教初中八年级
Huangguoshu waterfall,,,n.黄果树瀑布,人教初中八年级
Hong Kong,,,n.香港,人教初中八年级
Malaysia,mə'leʒə,,马来西亚,人教初中八年级
Georgetown,'dʒɔdʒtaun,,乔治城（圭亚那首都）,人教初中八年级
Weld Quay,,,"海乾街/码头, 位于马来西亚槟城岛(州)",人教初中八年级
Penang Hill,,,马来西亚槟榔山（升旗山）,人教初中八年级
tian'anmen square,,,天安门广场,人教初中八年级
the Palace Museum,,,故宫博物院,人教初中八年级
housework,'haʊs'wɝk,,n.家务劳动,人教初中八年级
