word,phonetic,pos,definition,source
ruler,'rulɚ,,尺子,人教小学三年级
pencil,'pɛnsl,,铅笔,人教小学三年级
eraser,ɪ'resɚ,,橡皮,人教小学三年级
crayon,kreən,,蜡笔,人教小学三年级
bag,bæɡ,,包,人教小学三年级
pen,pɛn,,钢笔,人教小学三年级
pencil box,'pɛnsl bɑks,,铅笔盒,人教小学三年级
book,bʊk,,书,人教小学三年级
no,no,,不,人教小学三年级
your,jʊər; jʊr,,你（们）的,人教小学三年级
red,rɛd,,红色；红色的,人教小学三年级
green,ɡrin,,绿色；绿色的,人教小学三年级
yellow,ˈjɛlo,,黄色；黄色的,人教小学三年级
blue,blu,,蓝色；蓝色的,人教小学三年级
black,blæk,,黑色；黑色的,人教小学三年级
brown,braʊn,,棕色；棕色的,人教小学三年级
white,hwaɪt,,白色；白色的,人教小学三年级
orange,'ɔrɪndʒ,,橙色；橙色的,人教小学三年级
OK,"'əu'kei, ,əu'kei, 'əukei",,好；行,人教小学三年级
mum,mʌm,,妈妈,人教小学三年级
face,fes,,脸,人教小学三年级
ear,ɪr,,耳朵,人教小学三年级
eye,aɪ,,眼睛,人教小学三年级
nose,noz,,鼻子,人教小学三年级
mouth,maʊθ,,嘴,人教小学三年级
arm,ɑrm,,胳膊,人教小学三年级
hand,hænd,,手,人教小学三年级
head,hɛd,,头,人教小学三年级
body,'bɑdi,,身体,人教小学三年级
leg,lɛɡ,,腿,人教小学三年级
foot,fʊt,,脚,人教小学三年级
school,skul,,学校,人教小学三年级
duck,dʌk,,鸭子,人教小学三年级
pig,pɪɡ,,猪,人教小学三年级
cat,kæt,,猫,人教小学三年级
bear,bɛr,,熊,人教小学三年级
dog,dɔɡ,,狗,人教小学三年级
elephant,ˈɛləfənt,,大象,人教小学三年级
monkey,'mʌŋki,,猴子,人教小学三年级
bird,bɝd,,鸟,人教小学三年级
tiger,'taɪɡɚ,,老虎,人教小学三年级
panda,'pændə,,大熊猫,人教小学三年级
zoo,zu,,动物园,人教小学三年级
funny,'fʌni,,滑稽的；好笑的,人教小学三年级
bread,brɛd,,面包,人教小学三年级
juice,dʒus,,果汁,人教小学三年级
egg,ɛɡ,,蛋,人教小学三年级
milk,mɪlk,,牛奶,人教小学三年级
water,ˈwɔtɚ,,水,人教小学三年级
cake,kek,,蛋糕,人教小学三年级
fish,fɪʃ,,鱼,人教小学三年级
rice,raɪs,,米饭,人教小学三年级
one,wʌn,,一,人教小学三年级
two,tu,,二,人教小学三年级
three,θri,,三,人教小学三年级
four,fɔr,,四,人教小学三年级
five,faɪv,,五,人教小学三年级
six,sɪks,,六,人教小学三年级
seven,'sɛvn,,七,人教小学三年级
eight,et,,八,人教小学三年级
nine,naɪn,,九,人教小学三年级
ten,tɛn,,十,人教小学三年级
brother,'brʌðɚ,,兄；弟,人教小学三年级
plate,pleɪt,,盘子,人教小学三年级
UK,ju: 'kei,,英国,人教小学三年级
Canada,'kænədə,,加拿大,人教小学三年级
USA,ju: es 'ei,,美国,人教小学三年级
China,ˈtʃaɪnə,,中国,人教小学三年级
she,ʃi,,她；（指雌性动物）它,人教小学三年级
student,'studnt,,"学生, 学者",人教小学三年级
pupil,pjupl,,小学生,人教小学三年级
he,hi,,他；它（指雄性动物）,人教小学三年级
teacher,'titʃɚ,,"教师, 老师, 导师",人教小学三年级
boy,bɔɪ,,"男孩, 儿子, 孩子气的人, 男仆",人教小学三年级
and,"ənd, ən,ænd",,和,人教小学三年级
girl,ɡɝl,,"女孩, 少女, 女仆, (商店等的)女工作人员",人教小学三年级
new,nu,,新的，新近的；新来的；不熟悉的,人教小学三年级
friend,frɛnd,,朋友，友人；支持者，同情者,人教小学三年级
today,tə'de,,今天；现在，目前,人教小学三年级
father,'fɑðɚ,,父亲；爸爸,人教小学三年级
dad,dæd,,（口语）爸爸；爹爹,人教小学三年级
man,mæn,,男人,人教小学三年级
woman,'wʊmən,,女人,人教小学三年级
mother,'mʌðɚ,,母亲；妈妈,人教小学三年级
sister,'sɪstɚ,,姐；妹,人教小学三年级
brother,'brʌðɚ,,兄；弟,人教小学三年级
grandmother,'ɡrænmʌðɚ,,（外）祖母,人教小学三年级
grandma,ɡrænmɑ,,（口语）（外）祖母,人教小学三年级
grandfather,'græn'fɑðɚ,,（外）祖父,人教小学三年级
grandpa,grandpa,,（口语）（外）祖父,人教小学三年级
family,ˈfæməlɪ,,家；家庭,人教小学三年级
thin,θɪn,,瘦的,人教小学三年级
fat,fæt,,胖的；肥的,人教小学三年级
tall,tɔl,,高的,人教小学三年级
short,ʃɔrt,,矮的；短的,人教小学三年级
long,lɔŋ,,长的,人教小学三年级
small,smɔl,,小的,人教小学三年级
big,bɪɡ,,大的,人教小学三年级
giraffe,dʒəˈræf; dʒəˈræf,,长颈鹿,人教小学三年级
so,so,,这么；那么,人教小学三年级
children,'tʃɪldrən,,儿童,人教小学三年级
child,tʃaɪld,,儿童,人教小学三年级
tail,tel,,尾巴,人教小学三年级
on,ɑn,,在⋯⋯上,人教小学三年级
in,ɪn,,在⋯⋯里,人教小学三年级
under,'ʌndɚ,,在⋯⋯下面,人教小学三年级
chair,tʃɛr,,椅子,人教小学三年级
desk,dɛsk,,书桌,人教小学三年级
cap,kæp,,帽子,人教小学三年级
ball,bɔl,,球,人教小学三年级
car,kɑr,,小汽车,人教小学三年级
boat,bot,,小船,人教小学三年级
map,mæp,,地图,人教小学三年级
toy,tɔɪ,,玩具,人教小学三年级
box,bɑks,,盒；箱,人教小学三年级
pear,pɛr,,梨,人教小学三年级
apple,'æpl,,苹果,人教小学三年级
orange,'ɔrɪndʒ,,橙子,人教小学三年级
banana,bə'nænə,,香蕉,人教小学三年级
watermelon,'wɔtɚmɛlən,,西瓜,人教小学三年级
strawberry,'strɔbɛri,,草莓,人教小学三年级
grape,ɡrep,,葡萄,人教小学三年级
buy,baɪ,,买,人教小学三年级
fruit,frut,,水果,人教小学三年级
eleven,ɪ'lɛvn,,十一,人教小学三年级
twelve,twɛlv,,十二,人教小学三年级
thirteen,'θɝ'tin,,十三,人教小学三年级
fourteen,",fɔr'tin",,十四,人教小学三年级
fifteen,",fɪf'tin",,十五,人教小学三年级
sixteen,",sɪks'tin",,十六,人教小学三年级
seventeen,",sɛvn'tin",,十七,人教小学三年级
eighteen,",e'tin",,十八,人教小学三年级
nineteen,",naɪn'tin",,十九,人教小学三年级
twenty,'twɛnti,,二十,人教小学三年级
kite,kaɪt,,风筝,人教小学三年级
beautiful,'bjʊtəfəl,,美丽的,人教小学三年级
