word,phonetic,pos,definition,source
old,old,,老的,人教小学五年级
young,jʌŋ,,年轻的,人教小学五年级
funny,'fʌni,,滑稽的,人教小学五年级
kind,kaɪnd,,体贴的,人教小学五年级
strict,strɪkt,,严厉的,人教小学五年级
polite,pə'laɪt,,有礼貌的,人教小学五年级
hard-working,ˈhɑːdˈwɜːkɪŋ,,努力的,人教小学五年级
helpful,'hɛlpfl,,有用的,人教小学五年级
clever,'klɛvɚ,,聪明的,人教小学五年级
shy,ʃaɪ,,羞怯的,人教小学五年级
know,no,,知道,人教小学五年级
our,aʊr,,我们的,人教小学五年级
Ms,'ɛm 'ɛs; mɪz,,女士,人教小学五年级
will,wɪl,,将要,人教小学五年级
sometimes,'sʌmtaɪmz,,有时,人教小学五年级
robot,'robɑt,,机器人,人教小学五年级
him,hɪm,,他,人教小学五年级
speak,spik,,会说,人教小学五年级
finish,'fɪnɪʃ,,完成,人教小学五年级
Monday,ˈmʌnde; ˈmʌndɪ,,星期一,人教小学五年级
Tuesday,ˈtuzdɪ;-de,,星期二,人教小学五年级
Wednesday,ˈwɛnzdɪ,,星期三,人教小学五年级
Thursday,ˈθɝzde; ˈθɝzdɪ,,星期四,人教小学五年级
Friday,ˈfraɪdeɪ,,星期五,人教小学五年级
Saturday,sætɚdɪ; -de,,星期六,人教小学五年级
Sunday,ˈsʌnde; ˈsʌndi,,星期日,人教小学五年级
weekend,ˈwikend,,周末,人教小学五年级
wash,wɔʃ,,洗,人教小学五年级
wash my clothes,,,洗我的衣服,人教小学五年级
watch,wɑtʃ,,看,人教小学五年级
watch TV,,,看电视,人教小学五年级
do,du,,做,人教小学五年级
do homework,,,做作业,人教小学五年级
read,rid; rɛd,,看,人教小学五年级
read books,,,看书,人教小学五年级
play,ple,,玩,人教小学五年级
play football,ple 'fʊtbɔl,,踢足球,人教小学五年级
cooking,'kʊkɪŋ,,烹饪,人教小学五年级
often,ˈɔ:fn; ɔfən,,时常,人教小学五年级
park,pɑrk,,公园,人教小学五年级
tired,ˈtaɪrd,,疲倦的,人教小学五年级
sport,spɔrt,,体育运动,人教小学五年级
play sports,,,做体育运动,人教小学五年级
should,ʃəd; strong form ʃʊd,,应该,人教小学五年级
every,'ɛvri,,每一个,人教小学五年级
day,de,,一天,人教小学五年级
schedule,ˈskedʒʊl; skɛdʒʊl,,工作计划,人教小学五年级
sandwich,'sænwɪtʃ,,三明治,人教小学五年级
salad,'sæləd,,沙拉,人教小学五年级
hamburger,hæmbɝ​ɡɚ,,汉堡包,人教小学五年级
ice cream,aɪs krim,,冰淇淋,人教小学五年级
tea,ti,,茶,人教小学五年级
fresh,frɛʃ,,新鲜的,人教小学五年级
healthy,'hɛlθi,,健康的,人教小学五年级
delicious,dɪ'lɪʃəs,,美味的,人教小学五年级
hot,hɑt,,辣的,人教小学五年级
sweet,swit,,甜的,人教小学五年级
drink,drɪŋk,,喝,人教小学五年级
thirsty,'θɝsti,,渴的,人教小学五年级
favourite,'fevərɪt,,特别喜欢的,人教小学五年级
food,fud,,食物,人教小学五年级
Dear,dɪr,,亲爱的,人教小学五年级
onion,'ʌnjən,,洋葱,人教小学五年级
sing,sɪŋ,,唱,人教小学五年级
song,sɔŋ,,歌曲,人教小学五年级
sing English songs,,,唱英文歌曲,人教小学五年级
play the pipa,,,弹琵琶,人教小学五年级
kung fu,",kʌŋ'fu",,功夫,人教小学五年级
do kung fu,,,练武术,人教小学五年级
dance,dæns,,跳舞,人教小学五年级
draw,drɔ,,画,人教小学五年级
cartoon,kɑr'tun,,漫画,人教小学五年级
draw cartoons,,,画漫画,人教小学五年级
cook,kʊk,,烹饪,人教小学五年级
swim,swɪm,,游泳,人教小学五年级
play basketball,,,打篮球,人教小学五年级
ping-pong,"'piŋpɔŋ, -pɔ:ŋ",,乒乓球,人教小学五年级
play ping-pong,,,打乒乓球,人教小学五年级
speak English,,,说英语,人教小学五年级
we'll,wɪl,,我们将……（=we will）,人教小学五年级
party,'pɑrti,,聚会,人教小学五年级
next,nɛkst,,下一个的,人教小学五年级
wonderful,ˈwʌndɚfəl,,极好的,人教小学五年级
learn,lɝn,,学习,人教小学五年级
any,'ɛni,,任何的,人教小学五年级
problem,'prɑbləm,,没问题,人教小学五年级
no problem,,,没问题,人教小学五年级
want,wɔ:nt; wɔnt,,要,人教小学五年级
send,sɛnd,,邮寄,人教小学五年级
email,'imel,,电子邮件,人教小学五年级
at,æt; ət,,（接邮件地址）,人教小学五年级
clock,klɑk,,时钟,人教小学五年级
plant,plænt,,植物,人教小学五年级
bottle,'bɑtl,,瓶子,人教小学五年级
water bottle,,,水瓶,人教小学五年级
bike,baɪk,,自行车,人教小学五年级
photo,'foto,,照片,人教小学五年级
front,frʌnt,,正面,人教小学五年级
in front of,ɪn frʌnt ʌv,,在⋯⋯前面,人教小学五年级
between,bəˈtwin,,在⋯⋯中间,人教小学五年级
above,ə'bʌv,,在⋯⋯上面,人教小学五年级
beside,bɪ'saɪd,,在旁边,人教小学五年级
behind,bɪ'haɪnd,,在⋯⋯后面,人教小学五年级
there,ðɛr,,（存在或发生）,人教小学五年级
grandparent,'græn'pɛrənt,,（外）祖父母,人教小学五年级
their,ðɛr,,他们的,人教小学五年级
house,haʊs,,房子,人教小学五年级
lot,lɑt,,大量,人教小学五年级
lots of,,,大量,人教小学五年级
flower,'flaʊɚ,,花,人教小学五年级
move,muv,,搬家,人教小学五年级
dirty,ˈdɝ​tɪ,,肮脏的,人教小学五年级
everywhere,'ɛvrɪwɛr,,处处,人教小学五年级
mouse,maʊs,,老鼠,人教小学五年级
live,laɪv；lɪv,,住,人教小学五年级
nature,'netʃɚ,,自然界,人教小学五年级
forest,'fɔrɪst,,森林,人教小学五年级
river,'rɪvɚ,,河,人教小学五年级
lake,lek,,湖,人教小学五年级
mountain,ˈmaʊntn,,山,人教小学五年级
hill,hɪl,,小山,人教小学五年级
tree,tri,,树,人教小学五年级
bridge,brɪdʒ,,桥,人教小学五年级
building,'bɪldɪŋ,,建筑,人教小学五年级
village,'vɪlɪdʒ,,村庄,人教小学五年级
house.,haʊs,,房屋,人教小学五年级
boating,'bəutiŋ,,划船,人教小学五年级
go boating,,,去划船,人教小学五年级
aren't,ɑrnt,,不是（= are not）,人教小学五年级
rabbit,'ræbɪt,,兔,人教小学五年级
high,haɪ,,高的,人教小学五年级
eat breakfast,it brɛkfəst,,吃早饭,人教小学五年级
have...class,,,上⋯⋯课,人教小学五年级
play sports,,,进行体育运动,人教小学五年级
exercise,'ɛksɚsaɪz,,活动,人教小学五年级
do morning exercise,,,做早操,人教小学五年级
eat dinner,,,吃晚饭,人教小学五年级
clean my room,,,打扫我的房间,人教小学五年级
go for a walk,,,散步,人教小学五年级
go shopping,,,购物,人教小学五年级
take,tek,,上（课）,人教小学五年级
dancing,'dænsɪŋ,,跳舞,人教小学五年级
take a dancing class,,,上舞蹈课,人教小学五年级
when,hwen; hwɛn,,什么时候,人教小学五年级
after,'æftɚ,,在⋯⋯之后,人教小学五年级
start,stɑrt,,开始,人教小学五年级
usually,juʒəlɪ,,通常地,人教小学五年级
Spain,spen,,西班牙,人教小学五年级
late,let,,晚,人教小学五年级
a.m.,eˈɛm,,上午,人教小学五年级
p.m.,,,下午,人教小学五年级
why,hwaɪ,,为什么,人教小学五年级
shop,ʃɑp,,购物,人教小学五年级
work,wɝk,,工作,人教小学五年级
last,læst,,上一个的,人教小学五年级
sound,saʊnd,,听起来好像,人教小学五年级
also,'ɔlso,,还,人教小学五年级
busy,ˈbɪzɪ,,忙的,人教小学五年级
need,nid,,需要,人教小学五年级
play,ple,,戏剧,人教小学五年级
letter,'lɛtɚ,,信,人教小学五年级
live,laɪv；lɪv,,居住,人教小学五年级
island,'aɪlənd,,岛,人教小学五年级
always,'ɔlwez,,总是,人教小学五年级
cave,kev,,山洞,人教小学五年级
go swimming,,,去游泳,人教小学五年级
win,wɪn,,获胜,人教小学五年级
spring,sprɪŋ,,春天,人教小学五年级
summer,'sʌmɚ,,夏天,人教小学五年级
autumn,'ɔtəm,,秋天,人教小学五年级
winter,'wɪntɚ,,冬天,人教小学五年级
season,'sizn,,季节,人教小学五年级
picnic,'pɪknɪk,,野餐,人教小学五年级
go on a picnic,,,去野餐,人教小学五年级
pick,pɪk,,摘,人教小学五年级
pick apples,,,摘苹果,人教小学五年级
snowman,'snomæn,,雪人,人教小学五年级
make a snowman,,,堆雪人,人教小学五年级
go swimming.,,,去游泳,人教小学五年级
which,wɪtʃ,,哪一个,人教小学五年级
best,bɛst,,最,人教小学五年级
snow,sno,,雪,人教小学五年级
good job,,,做得好,人教小学五年级
because,bɪ'kɔz,,因为,人教小学五年级
vacation,veˈkeʃən,,假期,人教小学五年级
all,ɔl,,完全,人教小学五年级
pink,pɪŋk,,粉色,人教小学五年级
lovely,'lʌvli,,可爱的,人教小学五年级
leaf,lif,,叶子,人教小学五年级
fall,fɔl,,落下,人教小学五年级
paint,pent,,绘画,人教小学五年级
January,'dʒænjʊ'ɛri,,一月,人教小学五年级
February,ˈfebrʊerɪ;'fɛbrʊɛrɪ,,二月,人教小学五年级
March,mɑrtʃ,,三月,人教小学五年级
April,'eprəl,,四月,人教小学五年级
May,me,,五月,人教小学五年级
June,dʒun,,六月,人教小学五年级
July,dʒʊˈlaɪ,,七月,人教小学五年级
August,ɔˈɡʌst,,八月,人教小学五年级
September,sɛp'tɛmbɚ,,九月,人教小学五年级
October,ɑk'tobɚ,,十月,人教小学五年级
November,no'vɛmbɚ,,十一月,人教小学五年级
December,dɪ'sɛmbɚ,,十二月,人教小学五年级
few,fju,,不多,人教小学五年级
a few,,,一些,人教小学五年级
thing,θɪŋ,,事情,人教小学五年级
meet,mit,,集会,人教小学五年级
sports meet,,,运动会,人教小学五年级
Easter,istəʳ,,复活节,人教小学五年级
trip,trɪp,,旅行,人教小学五年级
year,yir,,年,人教小学五年级
plant,plænt,,种植,人教小学五年级
contest,kən'tɛst,,比赛,人教小学五年级
the Great Wall,,,长城,人教小学五年级
national,'næʃnəl,,国家的,人教小学五年级
National Day,ˈnæʃənəl de,,国庆日,人教小学五年级
American,əˈmɛrɪkən,,美国的,人教小学五年级
Thanksgiving,"'θæŋks,ɡiviŋ; ,θæŋks'ɡ-",,感恩节,人教小学五年级
Christmas,ˈkrɪsməs,,圣诞节,人教小学五年级
holiday,'hɑləde,,节日,人教小学五年级
game,ɡem,,游戏,人教小学五年级
roll,rol,,滚动,人教小学五年级
look for,,,寻找,人教小学五年级
chocolate,ˈtʃɑkələt,,巧克力,人教小学五年级
bunny,'bʌni,,兔子,人教小学五年级
RSVP,,,请赐复,人教小学五年级
by,baɪ,,在⋯⋯之前,人教小学五年级
first,fɝst,,第一,人教小学五年级
second,'sɛkənd,,第二,人教小学五年级
third,θɝd,,第三,人教小学五年级
fourth,fɔrθ,,第四,人教小学五年级
fifth,fɪfθ,,第五,人教小学五年级
twelfth,twɛlfθ,,第十二,人教小学五年级
twentieth,ˈtwɛntɪɪθ,,第二十,人教小学五年级
twenty-first,'twenti'fə:st,,第二十一,人教小学五年级
twenty-third,",twenti'θə:d",,第二十三,人教小学五年级
thirtieth,'θɝtɪɪθ,,第三十,人教小学五年级
special,ˈspɛʃəl,,特殊的,人教小学五年级
fool,ful,,蠢人,人教小学五年级
kitten,'kɪtn,,小猫,人教小学五年级
diary,'daɪəri,,日记,人教小学五年级
still,stɪl,,仍然,人教小学五年级
noise,nɔɪz,,噪音,人教小学五年级
fur,fɝ,,动物皮毛,人教小学五年级
open,'opən,,开着的,人教小学五年级
walk,wɔk,,行走,人教小学五年级
mine,maɪn,,我的,人教小学五年级
yours,jʊrz,,你的,人教小学五年级
his,hɪz,,他的,人教小学五年级
hers,hɝz,,她的,人教小学五年级
theirs,ðɛrz,,他们的,人教小学五年级
ours,ɑrz,,我们的,人教小学五年级
climbing,'klaɪmɪŋ,,攀登,人教小学五年级
eating,'itɪŋ,,吃,人教小学五年级
playing,'pleɪŋ,,玩,人教小学五年级
jumping,'dʒʌmpɪŋ,,跳,人教小学五年级
drinking,'drɪŋkɪŋ,,喝,人教小学五年级
sleeping,'slipɪŋ,,睡觉,人教小学五年级
each,itʃ,,每个,人教小学五年级
other,'ʌðɚ,,其他,人教小学五年级
each other,,,相互,人教小学五年级
excited,ɪk'saɪtɪd,,兴奋地,人教小学五年级
like,laɪk,,像⋯⋯那样,人教小学五年级
doing morning exercises,,,做早操,人教小学五年级
having...class,,,上⋯⋯课,人教小学五年级
eating lunch,,,吃午饭,人教小学五年级
reading a book,,,看书,人教小学五年级
listening to music,,,听音乐,人教小学五年级
keep,kip,,保持,人教小学五年级
keep to the right,,,靠右,人教小学五年级
keep your desk clean,,,保持课桌干净,人教小学五年级
talk quietly,,,小声讲话,人教小学五年级
turn,tɝn,,顺序,人教小学五年级
take turns,,,按顺序来,人教小学五年级
bamboo,",bæm'bu",,竹子,人教小学五年级
its,ɪts,,它的,人教小学五年级
show,ʃo,,指导，引导,人教小学五年级
anything,'ɛnɪ'θɪŋ,,任何事物,人教小学五年级
else,ɛls,,另外,人教小学五年级
exhibition,ˌɛksəˈbɪʃən,,展览,人教小学五年级
say,se,,说；讲,人教小学五年级
have a look,,,看一看,人教小学五年级
sushi,'sʊʃi,,寿司,人教小学五年级
teach,titʃ,,教,人教小学五年级
sure,ʃʊər; ʃʊr,,当然,人教小学五年级
Canadian,kə'nedɪən,,加拿大的,人教小学五年级
Spanish,'spænɪʃ,,西班牙的,人教小学五年级
