word,phonetic,pos,definition,source
science,'saɪəns,,科学,人教小学六年级
museum,mjuˈzɪəm,,博物馆,人教小学六年级
post office,ˈpost ɔfɪs,,邮局,人教小学六年级
bookstore,bʊkstɔr,,书店,人教小学六年级
cinema,'sɪnəmə,,电影院,人教小学六年级
hospital,'hɑspɪtl,,医院,人教小学六年级
crossing,'krɔsɪŋ,,十字路口,人教小学六年级
turn,tɝn,,转弯,人教小学六年级
left,lɛft,,左,人教小学六年级
on foot,,,步行,人教小学六年级
by,baɪ,,乘,人教小学六年级
bus,bʌs,,公共汽车,人教小学六年级
plane,plen,,飞机,人教小学六年级
taxi,'tæksi,,出租汽车,人教小学六年级
ship,ʃɪp,,船,人教小学六年级
subway,'sʌbwe,,地铁,人教小学六年级
train,tren,,火车,人教小学六年级
slow,sloʊ,,慢的,人教小学六年级
down,daʊn,,减少,人教小学六年级
slow down,,,慢下来,人教小学六年级
stop,stɑp,,停下,人教小学六年级
Mrs,ˈmɪsɪz,,夫人,人教小学六年级
early,'ɝli,,早到的,人教小学六年级
helmet,'hɛlmɪt,,头盔,人教小学六年级
must,mʌst,,必须,人教小学六年级
wear,wɛr,,戴,人教小学六年级
attention,ə'tɛnʃən,,注意,人教小学六年级
pay attention to,,,注意,人教小学六年级
traffic,'træfɪk,,交通,人教小学六年级
traffic lights,,,交通信号灯,人教小学六年级
Munich,'mju:nik,,慕尼黑,人教小学六年级
Germany,'dʒɝməni,,德国,人教小学六年级
Alaska,ə'læskə,,阿拉斯加州,人教小学六年级
sled,slɛd,,雪橇,人教小学六年级
fast,fæst,,快的,人教小学六年级
ferry,'fɛri,,轮渡,人教小学六年级
Papa Westray,,,帕帕韦斯特雷岛,人教小学六年级
Scotland,'skɔtlənd,,苏格兰,人教小学六年级
visit,'vɪzɪt,,拜访,人教小学六年级
film,fɪlm,,电影,人教小学六年级
see a film,,,看电影,人教小学六年级
trip,trɪp,,旅行,人教小学六年级
take a trip,,,去旅行,人教小学六年级
supermarket,'sʊpɚ'mɑrkɪt,,超市,人教小学六年级
evening,'ivnɪŋ,,晚上,人教小学六年级
tonight,tə'naɪt,,今晚,人教小学六年级
tomorrow,tə'mɔro,,明天,人教小学六年级
next week,nɛkst wik,,下周,人教小学六年级
dictionary,'dɪkʃə'nɛri,,词典,人教小学六年级
comic,'kɑmɪk,,滑稽的,人教小学六年级
comic book,,,连环画,人教小学六年级
word,wɝd,,单词,人教小学六年级
word book,'wɝk'bʊk,,单词书,人教小学六年级
post card,,,明信片,人教小学六年级
lesson,'lɛsn,,课,人教小学六年级
space,spes,,太空,人教小学六年级
travel,'trævl,,旅行,人教小学六年级
half,hæf,,一半,人教小学六年级
price,praɪs,,价格,人教小学六年级
Mid-Autumn Festival,'mɪd'ɔtəm ˈfɛstəvəl,,中秋节,人教小学六年级
together,tə'ɡɛðɚ,,一起,人教小学六年级
get together,,,聚会,人教小学六年级
mooncake,'munkeɪk,,月饼,人教小学六年级
poem,'poəm,,诗,人教小学六年级
moon,mun,,月亮,人教小学六年级
studies,'stʌdiz,,学习,人教小学六年级
puzzle,'pʌzl,,谜,人教小学六年级
hiking,'haɪkɪŋ,,远足,人教小学六年级
pen pal,,,笔友,人教小学六年级
hobby,'hɑbi,,业余爱好,人教小学六年级
jasmine,'dʒæzmɪn,,茉莉,人教小学六年级
idea,aɪ'diə,,主意,人教小学六年级
Canberra,'kænbərə,,堪培拉,人教小学六年级
amazing,ə'mezɪŋ,,令人惊奇的,人教小学六年级
shall,ʃəl,,表示征求意见,人教小学六年级
goal,ɡol,,射门,人教小学六年级
join,dʒɔɪn,,加入,人教小学六年级
club,klʌb,,俱乐部,人教小学六年级
share,ʃɛr,,分享,人教小学六年级
factory,'fæktri,,工厂,人教小学六年级
worker,'wɝkɚ,,工人,人教小学六年级
postman,'postmən,,邮递员,人教小学六年级
businessman,'bɪznəsmæn,,商人,人教小学六年级
police officer,pəˈlis ˈɔfɪsɚ,,警察,人教小学六年级
fisherman,'fɪʃɚmən,,渔民,人教小学六年级
scientist,'saɪəntɪst,,科学家,人教小学六年级
pilot,'paɪlət,,飞行员,人教小学六年级
coach,kotʃ,,教练,人教小学六年级
country,'kʌntri,,国家,人教小学六年级
head teacher,,,校长,人教小学六年级
sea,si,,大海,人教小学六年级
stay,ste,,保持,人教小学六年级
university,",junɪ'vɝsəti",,大学,人教小学六年级
gym,dʒɪm,,体育馆,人教小学六年级
if,ɪf,,如果,人教小学六年级
reporter,rɪ'pɔrtɚ,,记者,人教小学六年级
use,juz,,使用,人教小学六年级
type,taɪp,,打字,人教小学六年级
quickly,'kwɪkli,,迅速地,人教小学六年级
secretary,'sɛkrətɛrɪ,,秘书,人教小学六年级
angry,ˈæŋgrɪ,,生气的,人教小学六年级
afraid,ə'fred,,害怕,人教小学六年级
sad,sæd,,难过的,人教小学六年级
worried,'wɝrɪd,,担心的,人教小学六年级
happy,'hæpɪ,,高兴的,人教小学六年级
see a doctor,,,看病,人教小学六年级
wear.,wɛr,,穿,人教小学六年级
more,mɔr,,更多的,人教小学六年级
deep,dip,,深的,人教小学六年级
breath,brɛθ,,呼吸,人教小学六年级
take a deep breath,,,深呼吸,人教小学六年级
count,kaʊnt,,数数,人教小学六年级
count to ten,,,数到十,人教小学六年级
chase,tʃeɪs,,追赶,人教小学六年级
mice,maɪs,,老鼠,人教小学六年级
bad,bæd,,邪恶的,人教小学六年级
hurt,hɝ​t,,受伤,人教小学六年级
ill,ɪl,,有病,人教小学六年级
wrong,rɔŋ,,有毛病,人教小学六年级
should,ʃəd; strong form ʃʊd,,应该,人教小学六年级
feel,fil,,觉得,人教小学六年级
well,wɛl,,健康,人教小学六年级
sit,sɪt,,坐,人教小学六年级
grass,ɡræs,,草坪,人教小学六年级
ant,ænt,,蚂蚁,人教小学六年级
worry,ˈwʌrɪ,,担心,人教小学六年级
stuck,stʌk,,陷住,人教小学六年级
mud,mʌd,,泥,人教小学六年级
pull,pʊl,,拉,人教小学六年级
everyone,'ɛvrɪwʌn,,每人,人教小学六年级
younger,'jʌŋɡɚ,,更年轻的,人教小学六年级
older,oldə,,更年长的,人教小学六年级
taller,'tɔlɚ,,更高的,人教小学六年级
shorter,'ʃɔ:tə,,更矮的,人教小学六年级
longer,'lɔŋɡɚ,,更长的,人教小学六年级
thinner,'θɪnɚ,,更瘦的,人教小学六年级
heavier,'hɛvɪɚðən'ɛr,,更重的,人教小学六年级
bigger,bɪgə(r),,更大的,人教小学六年级
smaller,smɔlər,,更小的,人教小学六年级
stronger,strɔ:ŋɡər,,更强壮的,人教小学六年级
dinosaur,ˈdaɪnəˌsɔr,,恐龙,人教小学六年级
hall,hɔl,,大厅,人教小学六年级
metre,ˈmitɚ,,米,人教小学六年级
meter,mitɚ,,米,人教小学六年级
than,ðæn,,比,人教小学六年级
both,boθ,,两个都,人教小学六年级
kilogram,'kɪləɡræm,,千克,人教小学六年级
countryside,'kʌntrɪsaɪd,,乡村,人教小学六年级
lower,'loɚ,,更低地,人教小学六年级
shadow,'ʃædo,,影子,人教小学六年级
smarter,'smɑ:tə,,更聪明的,人教小学六年级
become,bɪ'kʌm,,变成,人教小学六年级
cleaned,klind,,打扫,人教小学六年级
stayed,,,待,人教小学六年级
washed,wɔʃt,,洗,人教小学六年级
watched,wɑtʃ,,看,人教小学六年级
had,hæd,,得病（例如 had a cold 得了感冒）,人教小学六年级
had a cold,,,感冒,人教小学六年级
slept,slɛpt,,睡觉,人教小学六年级
read,rid; rɛd,,读,人教小学六年级
saw,sɔ,,看,人教小学六年级
last,læst,,最近,人教小学六年级
yesterday,ˈjɛstɚdɪ;-de,,昨天,人教小学六年级
