word,phonetic,pos,definition,source
survey,ˈsɝˌve; (for v.) sɝˈve,,n.调查；测验,人教高中
add up,,,合计,人教高中
upset,ʌp'sɛt,,"a.心烦意乱的；不安的；不适的 v.(过去式 upset, 过去分词 upset) 使不安；使心烦",人教高中
ignore,ɪɡ'nɔr,,v.不理睬；忽视,人教高中
calm,kɑm,,v.（使）平静；（使）镇定 a.平静的；镇静的；沉着的,人教高中
calm(…)down,,,（使）平静下来；（使）镇定下来,人教高中
have got to,,,不得不；必须,人教高中
concern,kən'sɝn,,v.（使）担忧；涉及；关系到 n.担心；关注 ；（利害）关系,人教高中
be concerned about,,,关心；挂念,人教高中
walk the dog,,,遛狗,人教高中
loose,lus,,a.松的；松开的,人教高中
vet,vɛt,,n.兽医,人教高中
go through,,,经历；经受,人教高中
Amsterdam,",æmstɚ'dæm",,n.阿姆斯特丹（荷兰首都）,人教高中
Netherlands,'neðələndz,,n.荷兰（西欧国家）,人教高中
Jewish,'dʒʊɪʃ,,a.犹太人的；犹太族的,人教高中
German,'dʒɜːmən,,a.德国的；德国人的；德语的 n.德国人；德语,人教高中
Nazi,"'nɑ:tsi, 'næ-",,n.纳粹党人 a.纳粹党的,人教高中
set down,,,记下；放下；制定,人教高中
series,'sɪriz,,n.连续；系列,人教高中
a series of,,,一连串的；一系列；一套,人教高中
Kitty,'kɪti,,n.基蒂（女名）,人教高中
outdoors,'aʊt'dɔrz,,ad.在户外；在野外,人教高中
spellbind,"'spɛl,baɪnd",,"v.(过去式 spellbound, 过去分词 spellbound)迷住；迷惑",人教高中
on purpose,,,故意,人教高中
in order to,,,为了……,人教高中
dusk,dʌsk,,n.黄昏；傍晚,人教高中
at dusk,,,在黄昏时刻,人教高中
thunder,'θʌndɚ,,v.打雷；雷鸣 n.雷；雷声,人教高中
entire,ɪn'taɪɚ,,a.整个的；完全的；全部的,人教高中
entirely,ɪn'taɪɚli,,ad.完全地；全然地；整个地,人教高中
