word,phonetic,pos,definition,source
abandonment,ə'bændənmənt,,n.放弃,六级
abnormally,æb'nɔ:məlɪ,,ad.不正常的,六级
absolutely,'æbsəlutli,,ad.当然,六级
abstract,'æbstrækt,,a.抽象的,六级
abuse,ə'bjus,,n.虐待 v.滥用,六级
accelerate,əkˈsɛləˌret,,v.加速,六级
accomplish,ə'kɑmplɪʃ,,v.实现,六级
accountant,ə'kaʊntənt,,n.会计,六级
accrue,ə'kru,,v.积累,六级
accurate,'ækjərət,,a.精确的,六级
accuse,ə'kjuz,,v.指控,六级
accustom,ə'kʌstəm,,v.使习惯,六级
achieve,ə'tʃiv,,v.达到，实现,六级
acquaintance,ə'kwentəns,,n.熟人,六级
activate,'æktə'vet,,v.激活,六级
acutely,ə'kjutli,,ad.敏锐地,六级
addict,'ædɪkt (for n.); əˈdɪkt (for v.),,v.上瘾，沉溺,六级
address,ə'drɛs,,v.解决,六级
administration,"əd,mɪnɪ'streʃən",,n.管理，政府,六级
adopt,ə'dɑpt,,v.采纳,六级
adventure,əd'vɛntʃɚ,,n.冒险,六级
adventurer,əd'vɛntʃərɚ,,n.冒险者,六级
adverse,"ædˈvɚs, ˈædˌvɚs",,a.相反的，敌对的,六级
adversely,æd'vɝsli,,ad.不利地,六级
affection,ə'fɛkʃən,,n.喜爱,六级
agenda,ə'dʒɛndə,,n.议程,六级
aggravate,'æɡrəvet,,v.加重，加剧,六级
agonize,'æɡənaɪz,,v.使痛苦,六级
aid,ed,,v.援助，有助于,六级
alert,ə'lɝt,,a.机警的 v.提醒,六级
alien,"ˈeliən,ˈeljən",,a.陌生的,六级
allergic,ə'lɝdʒɪk,,a.过敏的,六级
alternative,ɔl'tɝnətɪv,,n.代替品,六级
analytical,",ænə'lɪtɪkl",,a.分析的,六级
ancient,ˈeɪnʃənt,,a.古代的,六级
ankle,'æŋkl,,n.脚踝,六级
anonymous,ə'nɑnəməs,,a.匿名的,六级
anticipate,æn'tɪsə'pet,,v.期望，预期,六级
anxiety,æŋ'zaɪəti,,n.焦虑,六级
apartment,ə'pɑrtmənt,,n.公寓,六级
apathy,'æpəθi,,n.冷漠,六级
apologize,ə'pɑlədʒaɪz,,v.道歉,六级
applicable,'æplɪkəbl,,a.可应用的,六级
applicant,'æplɪkənt,,n.申请者,六级
appoint,ə'pɔɪnt,,v.任命,六级
appreciative,ə'priʃətɪv,,a.表示赞赏的，感谢的,六级
approach,ə'protʃ,,n.方法,六级
appropriate,əˈpropriɪt,,a.适当的,六级
approve,ə'prʊv,,v.赞同,六级
approximately,ə'prɑksɪmətli,,ad.大约,六级
arm,ɑrm,,v.装备，武装,六级
arouse,ə'raʊz,,v.唤起,六级
arrogant,'ærəɡənt,,a.傲慢无礼的,六级
artificial,",ɑrtɪ'fɪʃl",,a.人造的，虚伪的,六级
aspect,'æspɛkt,,n.方面,六级
assassinate,ə'sæsn'et,,v.刺杀，暗杀,六级
assemble,ə'sɛmbl,,v.收集，组装,六级
assessment,ə'sɛsmənt,,n.评估，评价,六级
association,"ə,soʃɪ'eʃən",,n.联系,六级
athletic,æθ'lɛtɪk,,a.运动的，运动员的,六级
atmosphere,'ætməsfɪr,,n.气氛，空气,六级
attendant,ə'tɛndənt,,n.服务人员,六级
authorities,ə'θɔrətɪz,,n.当局,六级
authority,ə'θɔrəti,,n.权威,六级
authorization,",ɔθərɪ'zeʃən",,n.授权,六级
automatic,'ɔtə'mætɪk,,a.自动的,六级
auxiliary,ɔːɡ'zɪlɪəri,,a.辅助的,六级
available,ə'veləbl,,a.可获得的，可利用的,六级
awareness,ə'wɛrnəs,,n.意识,六级
awesome,'ɔsəm,,a.极好的，令人敬畏的,六级
backup,"'bæk,ʌp",,n.后补，援助,六级
bacteria,bæk'tɪrɪə,,n.细菌,六级
ballet,bæ'le,,n.芭蕾,六级
barely,'bɛrli,,ad.几乎不，仅仅,六级
barrier,'bærɪɚ,,n.障碍，阻碍,六级
battery,'bæt(ə)rɪ,,n.电池,六级
battle,'bætl,,n.激战，战役,六级
bias,'baɪəs,,n.偏见,六级
biography,baɪ'ɑɡrəfi,,n.自传,六级
bitter,'bɪtɚ,,a.痛苦的,六级
bizarre,bɪ'zɑr,,a.古怪的；奇怪的,六级
blame,blem,,v.谴责,六级
blouse,blaʊs,,n.衬衫,六级
blueprint,'blʊ'prɪnt,,n.蓝图，设计图,六级
board,bɔrd,,n.董事会,六级
boom,buːm,,n.繁荣,六级
boost,bʊst,,v.提高,六级
botanical,bə'tænɪkl,,a.植物学的,六级
bother,'bɑðɚ,,v.困扰,六级
branch,bræntʃ,,n.分支，分公司,六级
breakthrough,'brek'θrʊ,,n.突破性进展,六级
breed,brid,,v.繁殖；导致,六级
breezy,'brizi,,a.轻松愉快的,六级
bribe,braɪb,,v.贿赂,六级
bridge,brɪdʒ,,v.缩小；架桥于…之上,六级
bruise,bruz,,v.使碰伤，擦伤,六级
brutal,'brutl,,a.残酷的,六级
buck,bʌk,,v.反对 n.美元,六级
burden,'bɝdn,,n.负担,六级
bureaucracy,bjʊ'rɑkrəsi,,n.官僚主义,六级
burial,'bɛrɪəl,,n.埋葬,六级
calculation,",kælkju'leʃən",,n.计算,六级
calorie,'kæləri,,n.卡路里,六级
campaign,kæm'pen,,n.活动,六级
cancel,'kænsl,,v.取消,六级
capable,'kepəbl,,a.有能力的,六级
capacity,kə'pæsəti,,n.能力，容量,六级
capital,'kæpɪtl,,a.资金的，资本的,六级
capture,'kæptʃɚ,,v.捕捉,六级
cast,kæst,,v.投掷，扔,六级
casualty,'kæʒuəlti,,n.伤亡人数,六级
category,'kætəɡɔri,,n.种类,六级
cautious,'kɔʃəs,,a.谨慎的,六级
chain,tʃen,,n.连锁店,六级
chaos,'keɑs,,n.混乱,六级
character,'kærəktɚ,,n.角色,六级
check,tʃɛk,,v.检查；阻止,六级
chronicle,'krɑnɪkl,,v.记录,六级
circulation,",sɝkjə'leʃən",,n.发行量,六级
circumstance,'sɝkəmstæns,,n.情况，环境,六级
citation,saɪ'teʃən,,n.引文,六级
claim,klem,,v.索取，声称,六级
clarify,'klærəfaɪ,,v.澄清，明确,六级
classify,'klæsɪfaɪ,,v.分类,六级
clause,klɔz,,n.条款,六级
clue,klʊ,,n.线索,六级
coastal,'kostl,,a.海滨的,六级
code,kod,,n.代号，密码,六级
collaborative,kə'læbəretɪv,,a.合作的,六级
collapse,kə'læps,,v.坍塌，崩塌,六级
collective,kə'lɛktɪv,,a.共同的,六级
collide,kə'laɪd,,v.撞击，碰撞,六级
commerce,'kɑmɝs,,n.商业,六级
commitment,kə'mɪtmənt,,n.承诺,六级
commodity,kə'mɑdəti,,n.商品,六级
compartment,kəm'pɑrtmənt,,"n.车厢, 隔间",六级
compel,kəm'pɛl,,v.强迫,六级
compelling,kəm'pɛlɪŋ,,a.引人注目的,六级
compensate,'kɑmpɛnset,,v.弥补,六级
competence,'kɑmpɪtəns,,n.能力,六级
complaint,kəm'plent,,n.抱怨，投诉,六级
complicated,'kɑmplɪketɪd,,a.复杂的,六级
comprehensive,ˌkɑːmprɪˈhensɪv,,a.综合的，全面的,六级
concession,kən'sɛʃən,,n.妥协,六级
conclusive,kən'klusɪv,,a.得出结论的,六级
concrete,'kɑŋkrit,,a.具体的,六级
conduct,kən'dʌkt,,v.引导，管理,六级
confine,kən'faɪn,,v.限制,六级
conflict,'kɑnflɪkt,,n.冲突,六级
conformity,kən'fɔrməti,,n.一致,六级
confrontational,",kənfrən'teiʃənl",,a.对抗的，有敌意的,六级
consensus,kən'sɛnsəs,,n.共识，一致,六级
conservation,",kɑnsɚ'veʃən",,n.保护,六级
conservative,kən'sɝvətɪv,,a.保守的,六级
considerable,kən'sɪdərəbl,,a.相当多的,六级
console,'kɑnsol,,v.安慰,六级
constant,'kɑnstənt,,a.不断的,六级
construction,kən'strʌkʃən,,n.建筑,六级
consultancy,kən'sʌltənsi,,n.咨询,六级
consumption,kən'sʌmpʃən,,"n.消费, 消耗",六级
contamination,"kən,tæmi'neiʃən",,n.污染,六级
content,'kɑntɛnt,,a.满意的,六级
contention,kən'tɛnʃən,,n.争论,六级
contrary,'kɑntrɛri,,a.相反的,六级
contribute,kən'trɪbjut,,v.有助于,六级
contribution,",kɑntrɪ'bjuʃən",,n.贡献,六级
controversy,ˈkɑːntrəvɜːrsi,,n.争议,六级
