word,phonetic,pos,definition,source
ability,ə'bɪləti,,n.能力，能耐；才能,初中
able,'ebl,,a.能；[经管] 有能力的；能干的 n.(Able)人名；(伊朗)阿布勒；(英)埃布尔,初中
about,ə'baʊt,,prep.关于；大约 a.在附近的；四处走动的；在起作用的 ad.大约；周围；到处 n.大致；粗枝大叶；不拘小节的人,初中
above,ə'bʌv,,prep.超过；在……上面；在……之上 ad.在上面；在上文 a.上文的 n.上文,初中
abroad,ə'brɔd,,ad.在国外；到海外 a.往国外的 n.海外；异国,初中
absent,ˈæbsənt,,a.缺席的；缺少的；心不在焉的；茫然的 v.使缺席,初中
accent,'æksɛnt,,n.口音；重音；强调；特点；重音符号 v.强调；重读；带…口音讲话,初中
accept,ækˈsɛpt; əkˈsɛpt,,v.接受；承认；承担；承兑；容纳,初中
accident,'æksədənt,,n.事故；意外；[法] 意外事件；机遇,初中
ache,ek,,v.疼痛；渴望 n.疼痛,初中
achieve,ə'tʃiv,,v.取得；获得；实现；成功,初中
across,ə'krɔs,,prep.穿过；横穿 ad.横过；在对面,初中
act,ækt,,v.扮演；装作，举动像 n.行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势,初中
action,'ækʃən,,n.行动；活动；功能；战斗；情节,初中
active,'æktɪv,,a.积极的；活跃的；主动的；有效的；现役的 n.主动语态；积极分子,初中
activity,æk'tɪviti,,n.活动；行动；活跃,初中
add,æd,,v.加；增加；加起来；做加法 n.加法，加法运算,初中
address,ə'drɛs,,v.演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理 n.地址；演讲；致辞；说话的技巧；称呼,初中
advertisement,",ædvɚ'taɪzmənt",,n.广告，宣传,初中
advice,ædˈvaɪs; əd'vaɪs,,n.建议；忠告；劝告；通知,初中
advise,əd'vaɪz,,v.建议；劝告，忠告；通知；警告,初中
afford,ə'fɔrd,,v.给予，提供；买得起 n.(Afford)人名；(英)阿福德,初中
afraid,ə'fred,,a.害怕的；恐怕；担心的,初中
after,'æftɚ,,ad.后来，以后 prep.在……之后 conj.在……之后 a.以后的,初中
afternoon,",æftɚ'nun",,n.午后，下午,初中
again,ə'ɡɛn,,ad.又，此外；再一次；再说；增加 n.（英、保）阿盖恩,初中
against,ə'ɡɛnst,,prep.反对，违反；靠；倚；防备 a.不利的；对立的,初中
age,edʒ,,n.年龄；时代；寿命，使用年限；阶段 v.成熟；变老,初中
ago,ə'ɡo,,ad.以前，以往 a.以前的；过去的 n.(Ago)人名；(英、西、意、塞、瑞典)阿戈,初中
agree,ə'ɡri,,v.同意，赞成；承认；约定，商定,初中
agreement,ə'grimənt,,n.协议；同意，一致,初中
air,ɛr,,n.空气，大气；天空；样子；曲调 v.使通风，晾干；夸耀,初中
airline,'ɛrlaɪn,,n.航空公司；航线 a.航线的,初中
airplane,ˈerpleɪn,,n.飞机,初中
airport,'ɛr'pɔrt,,n.机场；航空站,初中
alive,ə'laɪv,,a.活着的；活泼的；有生气的,初中
all,ɔl,,a.全部的 ad.全然地；越发 n.全部 pron.全部,初中
allow,ə'laʊ,,v.允许；给予；认可,初中
almost,'ɔlmost,,ad.差不多，几乎,初中
alone,ə'lon,,a.独自的；单独的；孤独的 ad.独自地；单独地,初中
along,ə'lɔŋ,,ad.一起；向前；来到 prep.沿着；顺着,初中
aloud,ə'laʊd,,ad.大声地；出声地,初中
already,ɔl'rɛdi,,ad.已经，早已；先前,初中
also,'ɔlso,,ad.也；而且；同样 conj.并且；另外 n.(Also)人名；(罗)阿尔索,初中
although,ɔl'ðo,,conj.尽管；虽然；但是；然而,初中
always,'ɔlwez,,ad.永远，一直；总是；常常,初中
America,əˈmɛrɪkə,,n.美洲（包括北美和南美洲）；美国,初中
American,əˈmɛrɪkən,,n.美国人，美洲人；美国英语 a.美国的，美洲的；地道美国式的,初中
among,ə'mʌŋ,,prep.在…中间；在…之中,初中
ancient,ˈeɪnʃənt,,a.古代的；古老的，过时的；年老的 n.古代人；老人,初中
and,"ənd, ən,ænd",,conj.和，与；就；而且；但是；然后 n.(And)人名；(土、瑞典)安德,初中
angry,'æŋɡri,,a.生气的；愤怒的；狂暴的；（伤口等）发炎的,初中
animal,'ænɪml,,n.动物,初中
another,ə'nʌðɚ,,a.又一，另一；另外的；不同的 pron.另一个；又一个 prep.另一个；另一个人,初中
answer,'ænsɚ,,v.回答；符合 n.回答；答案；答辩,初中
ant,ænt,,n.蚂蚁,初中
any,'ɛni,,a.任何的；所有的；丝毫 pron.任何；任何一个；若干 ad.稍微；少许 n.(Any)人名；(法、罗)阿尼,初中
anyone,'ɛnɪ'wʌn,,pron.任何人；任何一个,初中
anything,'ɛnɪ'θɪŋ,,pron.任何事,初中
anyway,'ɛnɪ'we,,ad.无论如何，不管怎样；总之,初中
anywhere,'ɛnɪwɛr,,ad.在任何地方；无论何处 n.任何地方,初中
appear,ə'pɪr,,v.出现；显得；似乎；出庭；登场,初中
apple,'æpl,,n.苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。,初中
April,'eprəl,,n.四月,初中
area,'ɛrɪə,,n.区域，地区；面积；范围,初中
arm,ɑrm,,n.手臂；武器；袖子；装备；部门 v.武装起来,初中
army,'ɑrmi,,n.陆军，军队,初中
around,ə'raʊnd,,ad.大约；到处；在附近 prep.四处；在…周围,初中
arrive,ə'raɪv,,v.到达；成功；达成；出生 n.(Arrive)人名；(法)阿里夫,初中
art,ɑrt,,n.艺术；美术；艺术品 a.艺术的；艺术品的 v.是（be的变体）,初中
article,'ɑrtɪkl,,n.文章；物品；条款；[语] 冠词 v.订约将…收为学徒或见习生；使…受协议条款的约束,初中
as,"æz,əz",,conj.因为；随着；虽然；依照；当…时 prep.如同；当作；以…的身份 ad.同样地；和…一样的,初中
Asia,ˈeʒə;ˈeʃə,,n.亚洲,初中
Asian,"ˈeʒən, ˈeʃən",,n.亚洲人 a.亚洲的；亚洲人的,初中
ask,æsk,,v.问，询问；要求；需要；邀请；讨价 n.(Ask)人名；(芬、瑞典)阿斯克,初中
asleep,ə'slip,,a.睡着的；麻木的；长眠的 ad.熟睡地；进入睡眠状态,初中
at,æt; ət,,prep.在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 n.阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） abbr.密封的（airtight）；气温（air temperature）,初中
Atlantic,ət'læntɪk,,n.大西洋 a.大西洋的,初中
attention,ə'tɛnʃən,,n.注意力；关心；立正！（口令）,初中
August,ɔɡəst,,a.威严的；令人敬畏的 n.八月（简写为Aug）,初中
aunt,ænt,,n.阿姨；姑妈；伯母；舅妈,初中
Australia,ɔ'streljə,,n.澳大利亚，澳洲,初中
Australian,ɑ'strelɪən,,a.澳大利亚的，澳大利亚人的 n.澳大利亚人,初中
autumn,'ɔtəm,,n.秋天；成熟期；渐衰期，凋落期 a.秋天的，秋季的,初中
available,ə'veləbl,,a.可获得的；可购得的；可找到的；有空的,初中
avoid,ə'vɔɪd,,v.避免；避开，躲避；消除,初中
away,əˈwe,,ad.离去，离开；在远处,初中
baby,bebɪ,,n.婴儿，婴孩；孩子气的人 v.纵容，娇纵；把……当婴儿般对待 a.婴儿的；幼小的,初中
back,bæk,,n.后面；背部；靠背；足球等的后卫；书报等的末尾 v.支持；后退；背书；下赌注 ad.以前；向后地；来回地；上溯；回来；回原处 a.后面的；过去的；拖欠的,初中
background,'bækɡraʊnd,,n.背景；隐蔽的位置 v.作…的背景 a.背景的；发布背景材料的,初中
bag,bæɡ,,n.袋；猎获物；（俚）一瓶啤酒 v.猎获；把…装入袋中；占据，私吞；使膨大,初中
ball,bɔl,,n.球；舞会 v.成团块,初中
balloon,bə'lun,,v.激增；膨胀如气球 n.气球 a.像气球般鼓起的,初中
bamboo,",bæm'bu",,n.竹，竹子 vt.为…装上篾条 a.竹制的；土著居民的,初中
banana,bə'nænə,,n.香蕉；喜剧演员；大鹰钩鼻,初中
bank,bæŋk,,n.银行；岸；浅滩；储库 v.将…存入银行；倾斜转弯,初中
basic,'besɪk,,a.基本的；基础的 n.基础；要素,初中
basket,'bæskɪt,,n.篮子；（篮球比赛的）得分；一篮之量；篮筐 vt.装入篮,初中
basketball,'bæskɪtbɔl,,n.篮球；篮球运动,初中
bathroom,'bæθrum,,n.浴室；厕所；盥洗室,初中
be,bi,,v.是； 有，存在； 做，成为； 发生 n.(Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝,初中
beach,bitʃ,,n.海滩；湖滨 v.将…拖上岸,初中
bear,bɛr,,v.结果实，开花（正式） n.熊,初中
beautiful,'bjʊtəfəl,,a.美丽的,初中
because,bɪ'kɔz,,conj.因为,初中
bed,bɛd,,n.床；基础；河底， 海底 v.使睡觉；安置，嵌入；栽种,初中
bedroom,'bɛdrum,,n.卧室 a.两性关系的；城郊住宅区的,初中
bee,bi,,n.蜜蜂，蜂；勤劳的人,初中
beef,bif,,n.牛肉；肌肉；食用牛；牢骚 v.抱怨，告发；发牢骚,初中
before,bɪ'fɔr,,prep.在…之前，先于 ad.以前；在前 conj.在…以前；在…之前,初中
behaviour,bɪ'hevjər,,n.行为；习性；运行状况（=behavior）,初中
behind,bɪ'haɪnd,,prep.落后于；支持；晚于 ad.在后地；在原处 n.屁股,初中
believe,bɪ'liv,,v.信任；料想；笃信宗教,初中
bell,bɛl,,n.铃，钟；钟声，铃声；钟状物 v.装钟于，系铃于,初中
below,bɪ'lo,,ad.在下面，在较低处；在本页下面 prep.在…下面 n.(Below)人名；(英、德、芬、瑞典)贝洛,初中
beside,bɪ'saɪd,,prep.在旁边；与…相比；和…无关,初中
besides,bɪ'saɪdz,,ad.此外；而且 prep.除…之外,初中
between,bɪ'twin,,prep.在…之间 ad.在中间,初中
beyond,bɪ'jɑnd,,prep.超过；越过；那一边；在较远的一边 ad.在远处；在更远处 n.远处,初中
