word,phonetic,pos,definition,source
questionnaire,ˌkwɛstʃənˈɛr,,n.问卷；调查表,北师高中
matter,'mætɚ,,vi.要紧，有重大关系 n.事情,北师高中
partner,ˈpɑːrtnər,,n.合作者，搭档,北师高中
lifestyle,'laɪfstaɪl,,n.生活方式,北师高中
shepherd,'ʃɛpɚd,,n.牧羊人,北师高中
peaceful,'pisfəl,,a.平静的；和平的,北师高中
relaxing,rɪ'læksɪŋ,,a.轻松的，放松的,北师高中
stressful,'strɛsfl,,a.充满压力的，紧张的,北师高中
suppose,sə'poz,,vt.认为，猜想,北师高中
series,'sɪriz,,n.系列节目；系列,北师高中
cartoon,kɑr'tun,,n.卡通片，动画片,北师高中
talk show,,,谈话节目，现场访谈,北师高中
complain,kəm'plen,,vi.抱怨；投诉,北师高中
couch,kaʊtʃ,,n.长沙发，睡椅,北师高中
switch,swɪtʃ,,vt.转换，转变,北师高中
BBC,",bi: bi: 'si:",,英国广播公司,北师高中
portable,'pɔrtəbl,,a.轻便的，手提(式)的,北师高中
remote,rɪ'mot,,a.遥远的,北师高中
workaholic,ˌwɜrkəˈhɔlɪk,,n.工作狂,北师高中
paperwork,'pepɚ'wɝk,,n.日常文书工作,北师高中
alarm,ə'lɑrm,,n.警报，警告器,北师高中
go off,,,(铃、爆竹等)响,北师高中
take,tek,,占据,北师高中
be filled with,,,充满着,北师高中
urgent,'ɝdʒənt,,a.急迫的，紧急的,北师高中
document,dɑkjəmənt,,n.公文，文件,北师高中
midnight,'mɪdnaɪt,,n.午夜，半夜,北师高中
bored,bɔrd,,a.厌烦的，不感兴趣的,北师高中
stress,strɛs,,n.压力,北师高中
studio,'studɪo,,n.演播室；工作室,北师高中
expert,"'ɛkspɝt; (for adj., also) ɛksˈpɝt ; ɪkˈspɝt",,n.专家,北师高中
suffer,'sʌfɚ,,v.遭受(痛苦)，感到疼痛,北师高中
pressure,'prɛʃɚ,,n.压力,北师高中
social,'soʃl,,a.社交的；社会的,北师高中
reduce,rɪ'dʊs,,vt.减少；降低,北师高中
organise,"'ɔrgə,naɪz",,vt.组织,北师高中
diet,'daɪət,,n.饮食；节食,北师高中
prefer,prɪ'fɝ,,vt.更喜欢；宁愿,北师高中
stand,stænd,,vt.(stood，stood)忍耐，忍受,北师高中
volunteer,",vɑlən'tɪr",,n.志愿者,北师高中
graduate,ˈɡrædʒuˌet,,vi.毕业,北师高中
minus,'maɪnəs,,a.零下，负,北师高中
basin,'besn,,n.水盆，脸盆,北师高中
challenge,'tʃælɪndʒ,,n.挑战,北师高中
support,sə'pɔrt,,vt&n.支持；支撑,北师高中
dial,'daɪəl,,vt.拨(电话号码),北师高中
design,dɪ'zaɪn,,n&vt.设计,北师高中
advertisement,",ædvɚ'taɪzmənt",,n.广告,北师高中
presentation,",prizɛn'teʃən",,n.表演；展示,北师高中
solve,sɑlv,,vt.解决；解答,北师高中
accountant,ə'kaʊntənt,,n.会计，会计师,北师高中
tube,tub,,n.地铁,北师高中
crowded,'kraʊdɪd,,a.拥挤的,北师高中
nearby,",nɪr'baɪ",,a.附近的 ad.在附近,北师高中
otherwise,'ʌðɚwaɪz,,ad.否则；另外,北师高中
forecast,'fɔrkæst,,n.预报；预测,北师高中
crowd,kraʊd,,n.人群，一伙人,北师高中
lung,lʌŋ,,n.肺,北师高中
sickness,'sɪknəs,,n.疾病,北师高中
distance,'dɪstəns,,n.距离,北师高中
cigar,sɪ'ɡɑr,,n.雪茄烟,北师高中
at the moment,,,此刻，目前,北师高中
over the years,,,数年间,北师高中
survey,ˈsɝˌve; (for v.) sɝˈve,,n.调查,北师高中
classical,'klæsɪkl,,a.古典的,北师高中
mini-skirt,,,n.迷你裙，超短裙,北师高中
formal,'fɔrml,,a.正式的，合礼仪的,北师高中
cycle,'saɪkl,,vi.骑自行车,北师高中
kung fu,",kʌŋ'fu",,n.(中国)功夫,北师高中
style,staɪl,,n.风格，作风,北师高中
calm,kɑm,,a.镇静的，沉着的,北师高中
generous,'dʒɛnərəs,,a.慷慨的，大方的,北师高中
