word,phonetic,pos,definition,source
pharmacy,'fɑrməsi,,n.药房；配药学，药剂学；制药业；一批备用药品,商务英语
foregone,'fɔrɡɔn,,a.过去的；先前的；预知的；预先决定的 v.发生在…之前（forego的过去分词）,商务英语
president,'prɛzɪdənt,,n.总统；董事长；校长；主席,商务英语
plastic,'plæstɪk,,a.塑料的；（外科）造型的；可塑的 n.塑料制品；整形；可塑体,商务英语
provisionally,prə'viʒənəli,,ad.临时地，暂时地,商务英语
incentive,ɪn'sɛntɪv,,n.动机；刺激 a.激励的；刺激的,商务英语
calculate,'kælkjulet,,v.计算；以为；作打算,商务英语
attendee,ə'tɛn'di,,n.出席者；在场者,商务英语
designation,",dɛzɪɡ'neʃən",,n.指定；名称；指示；选派,商务英语
compete,kəm'pit,,v.竞争；比赛；对抗,商务英语
furnish,'fɝnɪʃ,,v.提供；供应；装备,商务英语
bribery,'braɪbəri,,n.[法] 贿赂；受贿；行贿,商务英语
detrimental,",dɛtrɪ'mɛntl",,a.不利的；有害的 n.有害的人（或物）；不受欢迎的求婚者,商务英语
knock,nɑk,,v.敲；打；敲击 n.敲；敲打；爆震声,商务英语
roll,rol,,v.卷；滚动，转动；辗 n.卷，卷形物；名单；摇晃,商务英语
autonomy,ɔ'tɑnəmi,,n.自治，自治权,商务英语
deputy,'dɛpjuti,,n.代理人，代表 a.副的；代理的,商务英语
movement,'muvmənt,,n.运动；活动；运转；乐章,商务英语
oversubscribe,'ovɚsəb'skraɪbd,,vt.订购过多；超额认购,商务英语
advanced,əd'vænst,,a.先进的；高级的；晚期的；年老的 v.前进；增加；上涨（advance的过去式和过去分词形式）,商务英语
factoring,'fæktɚ,,n.[数] 因子分解，[数] 因式分解；保付代理 v.把…因素包括进去（factor的ing形式）,商务英语
joke,dʒok,,n.玩笑，笑话；笑柄 v.开…的玩笑,商务英语
role,rol,,n.角色；任务,商务英语
cage,kedʒ,,n.笼，兽笼；牢房，监狱 v.把…关进笼子；把…囚禁起来,商务英语
upbeat,'ʌpbit,,n.兴旺；上升；弱拍 a.乐观的；上升的,商务英语
jet,dʒɛt,,n.喷射，喷嘴；喷气式飞机；黑玉 a.墨黑的 v.射出,商务英语
inquire,ɪn'kwaɪr,,v.询问；查究；问明,商务英语
alternate,'ɔltɚnət,,v.交替；轮流 a.交替的；轮流的 n.替换物,商务英语
essential,ɪ'sɛnʃl,,a.基本的；必要的；本质的；精华的 n.本质；要素；要点；必需品,商务英语
asset,'æsɛt,,n.资产；优点；有用的东西；有利条件；财产；有价值的人或物,商务英语
gasoline,'gæsəlin,,n.汽油,商务英语
differentiate,",dɪfə'rɛnʃɪet",,v.区分，区别,商务英语
rigid,'rɪdʒɪd,,a.严格的；僵硬的，死板的；坚硬的；精确的,商务英语
sequel,'sikwəl,,n.续集；结局；继续；后果,商务英语
meet,mit,,v.满足；遇见；对付 n.集会 a.合适的；适宜的,商务英语
partial,'pɑrʃəl,,a.局部的；偏爱的；不公平的,商务英语
evolution,ˌɛvəˈluʃən; (occas.) ˌ ivəˈluʃən,,n.演变；进化论；进展,商务英语
creditworthiness,"'kredit,wə:θinis",,n.好信誉；有资格接受信用贷款,商务英语
fee,fi,,n.费用；酬金；小费 v.付费给……,商务英语
paradox,'pærədɑks,,n.悖论，反论；似非而是的论点；自相矛盾的人或事,商务英语
native,'netɪv,,a.本国的；土著的；天然的；与生俱来的；天赋的 n.本地人；土产；当地居民,商务英语
dilution,dɪ'ljʊʃən,,n.稀释，冲淡；稀释法；冲淡物,商务英语
monopolize,mə'nɑpə'laɪz,,v.垄断；独占；拥有…的专卖权,商务英语
subcommittee,'sʌbkəmɪti,,n.小组委员会；委员会的附属委员会,商务英语
bondholder,"'bɑnd,holdɚ",,n.公债证书所有者，公司债所有者,商务英语
quality,'kwɑləti,,n.质量，[统计] 品质；特性；才能 a.优质的；高品质的；<英俚>棒极了,商务英语
cheque,tʃɛk,,n.支票,商务英语
forbid,fɚ'bɪd,,v.禁止；不准；不允许；〈正式〉严禁,商务英语
array,ə're,,n.数组，阵列；排列，列阵；大批，一系列；衣服 v.排列，部署；打扮,商务英语
symptom,'sɪmptəm,,n.[临床] 症状；征兆,商务英语
steady,'stɛdi,,a.稳定的；不变的；沉着的 v.稳固 ad.稳定地；稳固地 n.关系固定的情侣；固定支架,商务英语
dynamic,daɪ'næmɪk,,a.动态的；动力的；动力学的；有活力的 n.动态；动力,商务英语
typist,'taɪpɪst,,n.打字员，打字者,商务英语
judgment,'dʒʌdʒmənt,,n.判断；裁判；判决书；辨别力,商务英语
vastly,ˈvæstli,,ad.极大地；广大地；深远地,商务英语
behavior,bɪ'hevjɚ,,n.行为，举止；态度；反应,商务英语
dissipate,'dɪsɪpet,,v.浪费；使…消散,商务英语
justify,'dʒʌstə'fai,,v.证明合法；整理版面,商务英语
secondary,'sɛkəndɛri,,a.第二的；中等的；次要的；中级的 n.副手；代理人,商务英语
undercut,",ʌndɚ'kʌt",,v.廉价出售；较便宜的工资工作；从下边削球 n.底切；牛腰部下侧嫩肉；砍口；切球,商务英语
net,nɛt,,n.网；网络；净利；实价 v.编网 a.纯粹的；净余的,商务英语
mathematics,",mæθə'mætɪks",,n.数学；数学运算,商务英语
relief,rɪ'lif,,n.救济；减轻，解除；安慰；浮雕,商务英语
transform,træns'fɔrm,,v.改变，使…变形；转换,商务英语
token,'tokən,,n.表征；代币；记号 a.象征的；表意的；作为对某事的保证的 vt.象征；代表,商务英语
guard,ɡɑrd,,n.守卫；警戒；护卫队；防护装置 v.警惕,商务英语
decipher,dɪ'saɪfɚ,,n.密电译文 v.解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解,商务英语
conversation,",kɑnvɚ'seʃən",,n.交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话,商务英语
lucrative,'lukrətɪv,,a.有利可图的，赚钱的；合算的,商务英语
trial,'traɪəl,,n.试验；审讯；努力；磨炼 a.试验的；审讯的,商务英语
illegal,ɪ'ligl,,a.[法] 非法的；违法的；违反规则的 n.非法移民，非法劳工,商务英语
disequilibrium,",dɪs,ikwɪ'lɪbrɪəm",,n.不均衡；不安定；失调,商务英语
consultant,kən'sʌltənt,,n.顾问；咨询者；会诊医生,商务英语
hazard,'hæzɚd,,v.赌运气；冒…的危险，使遭受危险 n.危险，冒险；冒险的事,商务英语
suffer,'sʌfɚ,,v.遭受；忍受；经历 n.(Suffer)人名；(意)苏费尔,商务英语
amalgamate,ə'mælɡəmet,,v.合并；汞齐化；调制汞合金,商务英语
abbreviation,əˌbrivɪ'eʃən,,n.缩写；缩写词,商务英语
ATM,",ei ti: 'em",,abbr.异步传输模式（Asynchronous Transfer Mode）；自动出纳机（Automatic Teller Machine）；空中交通管理（Air Traffic Management）,商务英语
beginner,bɪ'gɪnɚ,,n.初学者；新手；创始人,商务英语
broke,brok,,a.一文不名的，破产的 v.打破，断掉（break的过去式） n.(Broke)人名；(英)布罗克,商务英语
labor,'lebɚ,,n.劳动；工作；劳工；分娩 v.劳动；努力；苦干,商务英语
analyze,"'ænə,laɪz",,v.对…进行分析，分解（等于analyse）,商务英语
expertise,'ɛkspɝ'tiz,,n.专门知识；专门技术；专家的意见,商务英语
including,ɪn'klʊdɪŋ,,prep.包含，包括,商务英语
red,rɛd,,n.红色，红颜料；赤字 a.红色的；红肿的，充血的,商务英语
averaging,'ævəridʒiŋ,,n.求平均值；拉平价格；为取得更高的平均价格而买进（卖出） a.平均的 v.平均（average的ing形式）,商务英语
guess,ɡɛs,,v.猜测；认为；推测；猜中 n.猜测；推测,商务英语
predict,prɪ'dɪkt,,v.预报，预言；预知,商务英语
library,laɪˌbrɛrɪ,,n.图书馆，藏书室；文库,商务英语
guest,ɡɛst,,n.客人，宾客；顾客 v.款待，招待 a.客人的；特邀的，客座的,商务英语
advice,ædˈvaɪs; əd'vaɪs,,n.建议；忠告；劝告；通知,商务英语
abstain,əb'sten,,v.自制；放弃；避免,商务英语
reluctant,rɪ'lʌktənt,,a.不情愿的；勉强的；顽抗的,商务英语
