word,phonetic,pos,definition,source
abruptly,ə'brʌptli,,ad.突然地,四级
absorb,æbˈsɔrb; æbˈzɔrb; əbˈsɔrb,,v.吸收（液体、气体等）,四级
abuse,ə'bjus,,v.滥用，虐待,四级
academic,",ækə'dɛmɪk",,a.学校(院)的，学术的,四级
access,'æksɛs,,v.获取 n.接近，入口,四级
accessible,ək'sɛsəbl,,a.易接近的,四级
accommodate,ə'kɑmədet,,v.适合， 提供住宿,四级
accomplish,ə'kɑmplɪʃ,,v.完成,四级
accumulate,ə'kjumjəlet,,v.积累，增加,四级
accurate,'ækjərət,,a.精确的，准确的,四级
achieve,ə'tʃiv,,v.完成，实现,四级
acknowledge,ək'nɑlɪdʒ,,v.承认(…的权威),四级
acquire,ə'kwaɪr,,v.获得,四级
acute,ə'kjut,,a.敏锐的,四级
adapt,ə'dæpt,,v.适应于,四级
addiction,ə'dɪkʃən,,n.上瘾,四级
additional,ə'dɪʃənl,,a.额外的,四级
address,ə'drɛs,,v.解决,四级
adequate,ˈædɪkwət,,a.足够的,四级
administration,"əd,mɪnɪ'streʃən",,n.管理，政府,四级
administrative,əd'mɪnɪstretɪv,,a.管理的,四级
admire,ədˈmaɪr,,v.钦佩，称赞,四级
admiration,",ædmə'reʃən",,n.钦佩，称赞,四级
admission,əd'mɪʃən,,n.准许进(加)入；入场费；承认,四级
admit,əd'mɪt,,v.承认，容许,四级
advance,əd'væns,,v & n.前进，提前,四级
advanced,əd'vænst,,a.高级的,四级
advancement,əd'vænsmənt,,n.进步，提升,四级
advice,ædˈvaɪs; əd'vaɪs,,n.建议,四级
advisory,əd'vaɪzəri,,n.报告,四级
advocate,ˈædvəkeɪt；-et,,n & v.倡导,四级
advocator,'ædvəkeɪtə,,n.主张者，倡导者,四级
affectionate,ə'fɛkʃənət,,a.深情的，柔情的,四级
affirmation,",æfɚ'meʃən",,n.断言，肯定,四级
affirm,ə'fɝm,,v.断言，声明,四级
afford,ə'fɔrd,,v.负担得起,四级
agency,'edʒənsi,,n.机构,四级
aggressive,ə'ɡrɛsɪv,,a.挑衅的，好斗的；有上进心的,四级
album,'ælbəm,,n.粘贴簿，集邮簿，像册,四级
alcohol,'ælkəhɔl,,n.酒精,四级
alert,ə'lɝt,,v.提醒； a.机警的,四级
alter,'ɔltɚ,,v.改变,四级
altitude,'æltɪtud,,"n.海拔, 高度",四级
ambitious,æm'bɪʃəs,,a.有雄心的，野心勃勃的,四级
analyze,"'ænə,laɪz",,v.分析,四级
ancient,ˈeɪnʃənt,,a.古代的,四级
announce,ə'naʊns,,v.宣布，声称,四级
annual,'ænjuəl,,a.每年的,四级
annually,'ænjuəli,,ad.每年，一年一次,四级
anticipate,æn'tɪsə'pet,,v.预感,四级
antique,æn'tik,,n.古玩，古董,四级
apartment,ə'pɑrtmənt,,n.公寓,四级
appeal,ə'pil,,n &v.吸引，呼吁,四级
appearance,ə'pɪrəns,,"n.外表, 出现",四级
appetite,'æpɪtaɪt,,"n.欲望, 胃口",四级
applicant,'æplɪkənt,,n.申请人,四级
application,ˌæpləˈkeʃən,,n.申请，应用,四级
apply,ə'plaɪ,,"v.应用, 申请",四级
appoint,ə'pɔɪnt,,v.任命，委派；约定，确定，指定,四级
appointment,ə'pɔɪntmənt,,n.约会,四级
appreciate,ə'priʃɪet,,v.感激，欣赏,四级
appreciation,"ə,priʃɪ'eʃən",,n.评价，感激,四级
approach,ə'protʃ,,v.靠近 n.接近，方法,四级
approve,ə'prʊv,,v.赞成，同意,四级
approval,əˈpruvl,,n.批准，认可，赞成,四级
approximately,ə'prɑksɪmətli,,ad.大约,四级
architect,'ɑrkɪtɛkt,,n.建筑师,四级
archive,'ɑrkaɪv,,n.档案文件,四级
arrange,ə'rendʒ,,v.把…（系统地）分类,四级
arrest,ə'rɛst,,v.逮捕,四级
ashamed,ə'ʃemd,,a.害羞的,四级
assemble,ə'sɛmbl,,v.组装；集合,四级
assembly,ə'sɛmbli,,n.装配,四级
asset,'æsɛt,,n.有价值的人(或物)资产,四级
assign,ə'saɪn,,v.分配，布置,四级
assignment,ə'saɪnmənt,,n.作业,四级
associate,ə'soʃɪet,,v.交往；把……联系起来,四级
assume,ə'sum,,v.假定，认为,四级
assumption,ə'sʌmpʃən,,n.假定，假设,四级
astonish,ə'stɑnɪʃ,,v.使惊讶，使大为吃惊,四级
atmosphere,'ætməsfɪr,,n.气氛；大气；空气,四级
attempt,ə'tɛmpt,,n & v.尝试，试图,四级
automatic,'ɔtə'mætɪk,,a.自动的,四级
available,ə'veləbl,,a.可利用的，现有的；可获得的,四级
avail,ə'vel,,"v.有益, 有帮助",四级
average,'ævərɪdʒ,,a.平常的,四级
aviation,",evɪ'eʃən",,n.航空,四级
aviate,'evɪet,,v.驾驶飞机,四级
avoid,ə'vɔɪd,,v.避免,四级
award,ə'wɔrd,,v.授予；判给 n.奖(金),四级
awareness,ə'wɛrnəs,,n.意识,四级
background,'bækɡraʊnd,,n.背景,四级
backward,'bækwɚd,,ad.向后的,四级
ban,bæn,,v.禁止,四级
bankrupt,'bæŋkrʌpt,,a.破产的，倒闭的,四级
bargain,ˈbɑːɡɪn,,n.讨价还价,四级
battle,'bætl,,n.战争，战役,四级
behave,bɪ'hev,,v.表现,四级
beneficial,",bɛnɪ'fɪʃl",,a.有利的，有益的,四级
benefit,'bɛnɪfɪt,,v.有益于，有助于,四级
bid,bɪd,,n & v.出价，投标,四级
blame,blem,,v.指责，责怪,四级
bless,blɛs,,v.祝福,四级
block,blɑk,,v.阻碍；街区,四级
bogus,'bogəs,,a.假冒的,四级
boost,bʊst,,"n.推动,宣扬 v.促使，促进",四级
bother,'bɑðɚ,,v.打扰；麻烦,四级
broad,brɔd,,a.宽的,四级
budget,'bʌdʒɪt,,n.预算 v.编预算,四级
burden,'bɝdn,,n.负担，包袱,四级
bureau,'bjʊro,,n.局,四级
calculate,'kælkjulet,,v.计算,四级
campaign,kæm'pen,,n.活动,四级
cancel,'kænsl,,v.取消,四级
candidate,"ˈkændɪˌdet, -dɪt",,n.申请求职者；投考者；候选人,四级
canteen,kænˈtiːn,,n.食堂,四级
capable,'kepəbl,,a.能干的，有能力的,四级
caregiver,ˈkerɡɪvər,,n.照料者,四级
careless,'kɛrləs,,a.粗心的,四级
casual,'kæʒʊəl,,a.偶然的，随便的,四级
catalogue,'kætəlɔɡ,,v.把……编入目录,四级
caution,'kɔʃən,,v & n.小心，谨慎,四级
cautious,'kɔʃəs,,a.谨慎的,四级
ceremony,ˈsɛrəˌmoʊni,,n.典礼，仪式,四级
challenge,'tʃælɪndʒ,,n & v.挑战；质疑,四级
chap,tʃæp,,n.小伙子，小家伙，家伙,四级
character,'kærəktɚ,,n.角色,四级
characterize,'kærəktə'raɪz,,v.以……特点,四级
charity,'tʃærəti,,n.慈善（行为）,四级
cheek,tʃik,,n.脸颊,四级
chef,ʃɛf,,n.厨师,四级
chemical,'kɛmɪkl,,a.化学的 n. 化学制品,四级
choke,tʃok,,v.使窒息,四级
circumstance,'sɝkəmstæns,,n.环境，境遇,四级
cite,saɪt,,v.引用,四级
citizen,'sɪtɪzn,,n.公民,四级
civilian,sə'vɪlɪən,,n.平民，百姓,四级
civilized,sɪvlˌaɪzd,,a.文明的,四级
classify,'klæsɪfaɪ,,v.把…分类，把…分级,四级
classification,",klæsɪfɪ'keʃən",,n.分类，级别,四级
client,'klaɪənt,,n.客户,四级
clinic,'klɪnɪk,,n.诊所,四级
clumsy,'klʌmzi,,a.笨拙的，不圆滑的,四级
coach,kotʃ,,v & n.教练,四级
colleague,'kɑliɡ,,n.同事,四级
collision,kə'lɪʒən,,n.撞击；冲突,四级
combine,kəm'baɪn,,v.联合，结合,四级
comment,'kɑmɛnt,,n.评论,四级
commit,kə'mɪt,,v.犯罪，承担义务,四级
commitment,kə'mɪtmənt,,n.承诺，保证,四级
committee,kə'mɪti,,n.委员会,四级
compare,kəm'pɛr,,v.比较，对照,四级
compel,kəm'pɛl,,v.强迫,四级
compensate,'kɑmpɛnset,,v.弥补，补偿,四级
compensation,",kɑmpɛn'seʃən",,n.弥补，补偿,四级
compete,kəm'pit,,v.竞争,四级
competitiveness,kəm'pɛtətɪvnɪs,,n.竞争力,四级
competitor,kəm'pɛtɪtɚ,,n.竞争者，对手,四级
complacency,kəm'plesnsi,,n.自满，满足,四级
complain,kəm'plen,,v.抱怨,四级
complaint,kəm'plent,,n.抱怨; 投诉,四级
complete,kəm'plit,,v.完成 a.完整的，彻底的,四级
complicated,'kɑmplɪketɪd,,a.复杂的，难懂的,四级
comply,kəm'plaɪ,,v.遵从,四级
component,kəm'ponənt,,n.成分,四级
concentration,'kɑnsn'treʃən,,n.集中,四级
concept,'kɑnsɛpt,,n.观点，观念,四级
concern,kən'sɝn,,v & n.涉及，关系到,四级
conclusion,kən'kluʒn,,n.结论,四级
confidence,'kɑnfɪdəns,,n.信心,四级
confirm,kən'fɝm,,v.确认；证实；批准,四级
conflict,'kɑnflɪkt,,v.冲突,四级
conform,kən'fɔrm,,v.相一致，遵守,四级
confront,kən'frʌnt,,v.面对,四级
connectivity,",kɑnɛk'tɪvɪti",,n.连接，联系,四级
conscience,ˈkɑːnʃəns,,n.良心,四级
consensus,kən'sɛnsəs,,n.一致意见,四级
consent,kən'sɛnt,,v.允许，同意 n.同意，一致,四级
consequence,'kɑnsəkwɛns,,n.结果，成果,四级
conservative,kən'sɝvətɪv,,a.保守的，传统的,四级
considerable,kən'sɪdərəbl,,a.相当大(或多)的,四级
considerably,kən'sɪdərəbli,,ad.相当地，非常地,四级
considerate,kənˈsɪdərɪt,,a.体贴的；考虑周到的,四级
consist,kən'sɪst,,v.由……组成,四级
consistent,kən'sɪstənt,,a.一致的,四级
conspicuous,kən'spɪkjʊəs,,a.显著地,四级
constant,'kɑnstənt,,a.不断的，持续的,四级
constantly,'kɑnstəntli,,ad.不断地，时常地,四级
construction,kən'strʌkʃən,,n.建筑,四级
constructive,kən'strʌktɪv,,a.建设的，建设性的,四级
consult,kən'sʌlt,,v.咨询,四级
consultant,kən'sʌltənt,,n.顾问,四级
consumption,kən'sʌmpʃən,,n.消费，消耗,四级
contact,'kɑntækt,,v & n.联系，接触,四级
contemporary,kən'tɛmpərɛri,,a.当代的，现代的,四级
content,'kɑntɛnt,,n.内容,四级
context,'kɑntɛkst,,n.背景，环境,四级
contract,'kɑntrækt,,n.合同,四级
contrast,'kɑntræst,,n.对比，反差 v.对比,四级
