word,phonetic,pos,definition,source
hello,helˈō,,int.你好，喂,外研社初中
class,klæs,,n.同学；班级,外研社初中
my,maɪ,,pron.我的,外研社初中
name,nem,,n.名字,外研社初中
is,ɪz,,v.是（动词be的第三人称单数现在式）,外研社初中
Miss,mɪs,,n.小姐（对未婚女性的称呼）；老师,外研社初中
good,ɡʊd,,a.好的,外研社初中
morning,'mɔrnɪŋ,,n.早晨，上午,外研社初中
good morning,,,早上好,外研社初中
afternoon,",æftɚ'nun",,n.下午,外研社初中
good afternoon,,,下午好,外研社初中
goodbye,gʊd'baɪ,,int.再见,外研社初中
I,aɪ,,pron.我,外研社初中
am,æm,,v.是（动词be的第一人称单数现在式）,外研社初中
I'm = I am,,,我是,外研社初中
Mr,'mistə(r),,n.先生,外研社初中
what,hwɒt; hwɑt,,pron.什么,外研社初中
your,jʊər; jʊr,,pron.你的，你们的,外研社初中
please,pliz,,int.请,外研社初中
sorry,'sɔri,,a.对不起的，抱歉的,外研社初中
can,kæn,,v aux.能，能够,外研社初中
you,ju,,pron.你，你们,外研社初中
spell,spɛl,,v.拼写,外研社初中
it,ɪt,,pron.它,外研社初中
yes,jɛs,,ad.是，是的,外研社初中
thank,θæŋk,,v.谢谢,外研社初中
how,haʊ,,ad.怎样，如何,外研社初中
are,ɑr,,v.是（动词be的复数和第二人称单数现在式）,外研社初中
fine,faɪn,,a.很好的，不错的,外研社初中
thanks,θæŋks,,int.谢谢,外研社初中
Mrs,ˈmɪsɪz,,n.夫人，太太,外研社初中
too,tu,,ad.也，还,外研社初中
this,ðɪs,,pron.这，这个（指较近的人或事物）,外研社初中
she,ʃi,,pron.她,外研社初中
teacher,'titʃɚ,,n.老师,外研社初中
friend,frɛnd,,n.朋友,外研社初中
her,hɚ,,pron.她的,外研社初中
his,hɪz,,pron.他的,外研社初中
nice,naɪs,,a.美好的，令人愉快的,外研社初中
to,tə;tu;tuː,,（与原形动词一起构成动词不定式）,外研社初中
meet,mit,,v.遇见，结识,外研社初中
time,taɪm,,n.时间,外研社初中
go,go,,v.走；去,外研社初中
now,naʊ,,ad.现在，目前,外研社初中
bye,baɪ,,int.再见,外研社初中
see,si,,v.看见,外研社初中
tomorrow,tə'mɔro,,n.明天,外研社初中
sit,sɪt,,v.坐,外研社初中
down,daʊn,,ad.向下地 prep.向下,外研社初中
sit down,,,坐下,外研社初中
open,'opən,,v.（打）开,外研社初中
book,bʊk,,n.书,外研社初中
listen,'lɪsn,,v.听，倾听,外研社初中
draw,drɔ,,v.绘画，画,外研社初中
put,pʊt,,v.放；置,外研社初中
up,ʌp,,ad.向上地 prep.朝上；向上,外研社初中
hand,hænd,,n.手,外研社初中
stand,stænd,,v.站立,外研社初中
stand up,,,起立,外研社初中
close,kloz,,v.合上；关闭,外研社初中
