word,phonetic,pos,definition,source
back,bæk,,"ad.回原处 n.背,后面 a.后面的 v.后退",托福
significant,sɪɡ'nɪfɪkənt,,"a.重要的,意义重大的",托福
skill,skɪl,,"n.技能,技巧",托福
public,'pʌblɪk,,"a.公共的,公开的 n.公众",托福
go,go,,"v.去,离开,进行",托福
fish,fɪʃ,,n.鱼 v.钓鱼,托福
set,sɛt,,"n.(一)套 v.放置,设定",托福
once,wʌns,,"ad.一次,曾经 conj.一旦…(就…)",托福
table,'tebl,,"n.桌子,表格",托福
demand,dɪ'mænd,,"n&v.要求,需要",托福
day,de,,"n.天,一昼夜,时期",托福
south,saʊθ,,n.南部 a.南方的 ad.在南方,托福
almost,'ɔlmost,,"ad.几乎,差不多",托福
local,ˈloʊkl,,"a.当地的,局部的 n.当地人",托福
open,'opən,,"a.开的,开放的 v.开",托福
cover,'kʌvɚ,,"v.(掩)盖,包括,报道 n.盖子,封面",托福
purpose,'pɝpəs,,"n.目的,意图",托福
reach,ritʃ,,"v.到达,伸出,达成 n.范围",托福
various,'vɛrɪəs,,"a.不同的,多样的,多方面的",托福
late,let,,"a.晚的,最近的 ad.迟,晚",托福
sometime,'sʌmtaɪm,,ad.将来(或过去)某个时候 a.以前的,托福
function,'fʌŋkʃən,,"n.功能,职务 v.运行,起作用",托福
able,'ebl,,"a.能够…的,得以…的",托福
allow,ə'laʊ,,"v.允许(…进入),同意给,承认",托福
middle,'mɪdl,,"n.中部,中间 a.中部的,中间的",托福
home,hom,,n.家(乡),托福
European,'jʊrə'piən,,a.欧洲的 n.欧洲人,托福
reason,ˈrizən,,"n.原因v分析,推理",托福
rise,raɪz,,"n&v.上升,升起",托福
member,'mɛmbɚ,,"n.成员,会员",托福
toward,tɔrd; təˈwɔrd,,"prep.向,朝,接近",托福
house,haʊs,,n.房屋 v.给…房子住,托福
characteristic,",kærəktə'rɪstɪk",,"n.特性,特征 a.特有的,典型的",托福
last,læst,,"a.刚过去的,最后的 ad.最后 v.持续",托福
location,lo'keʃən,,"n.位置,地点",托福
today,tə'de,,"n.今天,现今",托福
culture,'kʌltʃɚ,,"n.文化,文明",托福
infant,'ɪnfənt,,n.婴儿,托福
left,lɛft,,a.左边的 ad.向左 n.左边,托福
