word,phonetic,pos,definition,source
act,ækt,,v.表演；举动；起作用 n.行为，法令；一幕,考研
action,'ækʃən,,n.行动，动作；作用；运转；行为；战斗,考研
activate,'æktə'vet,,v.启动，激活；驱动，驱使；使开始起作用,考研
active,'æktɪv,,a.活跃的，敏捷的，积极的；在活动中的,考研
actress,'æktrɪs,,n.女演员,考研
actual,'æktʃuəl,,a.实际的；现实的，真实的，目前的,考研
interact,",ɪntɚ'ækt",,"v.互相作用,互相影响",考研
radioactive,'redɪo'æktɪv,,"a.放射性,放射引起的",考研
react,ri'ækt,,"v.反应,起作用;(against)反对,起反作用",考研
transaction,træn'zækʃən,,"n.办理,处理;交易,事务;(pl.)会报,学报",考研
character,'kærəktɚ,,"n.性格,品质,特性;人物,角色;字符,(汉)字",考研
characteristic,",kærəktə'rɪstɪk",,"a.特有的,独特的 n.特征,特性",考研
characterize,'kærəktə'raɪz,,v.表示…的特性;描述…特性,考研
agency,'edʒənsi,,n.代理(处)；代办处；[美](政府的)机关，厅,考研
agenda,ə'dʒɛndə,,n.议事日程，记事册,考研
agent,'edʒənt,,n.代理人；代理商；产生作用的人或事物,考研
agony,'æɡəni,,n.(精神或肉体的)极大痛苦，创伤,考研
agitate,ˈædʒɪˌteɪt,,v.摇动(液体)；使焦虑不安；困扰；鼓动,考研
art,ɑrt,,n.艺术，美术；技术，技艺；文科，人文科学,考研
artery,'ɑrtəri,,n.动脉；干线，要道,考研
article,'ɑrtɪkl,,n.文章，论文；条款，条文；物件；冠词,考研
articulate,ɑr'tɪkjulet,,a.善于表达的；有关节相连的 v.清楚地讲话,考研
artificial,",ɑrtɪ'fɪʃl",,a.人工的，人造的，人为的；虚伪的，做作的,考研
artist,'ɑrtɪst,,n.艺术家，美术家；(某方面的)能手,考研
artistic,ɑr'tɪstɪk,,a.艺术(家)的，美术(家)的；善于艺术创作的,考研
ban,bæn,,"v.取缔,查禁;(from)禁止 n.禁止,禁令",考研
abandon,ə'bændən,,v.离弃，丢弃；遗弃，抛弃；放弃,考研
band,bænd,,"n.条,带;乐队;波段;一群,一伙 v.缚,绑扎",考研
bandage,'bændɪdʒ,,n.绷带 v.用绷带扎缚,考研
bank,bæŋk,,"n.银行；岸,堤；",考研
bankrupt,'bæŋkrʌpt,,a.破产的；彻底缺乏的 v.使破产n.破产者,考研
banner,'bænɚ,,n.旗(帜),考研
banquet,'bæŋkwɪt,,n.(正式的)宴会 v.参加宴会 v.宴情,考研
husband,'hʌzbənd,,n.丈夫,考研
urban,'ɝbən,,"a.城市的, 市内的",考研
bar,bɑr,,"n.条,杆,闩;酒吧;栅,障碍(物) v.闩上,阻拦",考研
barbecue,'bɑrbɪkju,,n.烤肉；烤肉用的台架 v.炙烤(肉等),考研
barber,'bɑrbɚ,,n.理发师,考研
bare,bɛr,,"a.赤裸的,空的;稀少的,仅有的 v.露出,暴露",考研
barely,'bɛrli,,"ad.赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有",考研
bargain,ˈbɑːɡɪn,,"n.廉价货;交易,契约,合同 v.议价,成交",考研
barn,bɑrn,,"n.谷仓,仓库",考研
barrel,'bærəl,,"n.桶;枪管,炮管",考研
barren,'bærən,,a.贫瘠的；不育的；(植物)不结果的；无用的,考研
barrier,'bærɪɚ,,"n.栅栏,屏障;障碍(物)",考研
embark,ɪm'bɑrk,,"v.(使)上船(或飞机,汽车等);着手,从事",考研
embarrass,ɪm'bærəs,,"v.使困窘,使局促不安;阻碍,麻烦",考研
base,bes,,"n.基础,底部;根据地 v.(on)把…基于",考研
ambassador,æm'bæsədɚ,,n.大使；特使，(派驻国际组织的)代表,考研
baseball,'besbɔl,,n.棒球,考研
basement,'besmənt,,"n.建筑物的底部,地下室,地窖",考研
basic,'besɪk,,"a.基本的,基础的",考研
basin,'besn,,"n.盆,脸盆;内海,盆地",考研
basis,'besɪs,,"n.基础,根据",考研
basket,'bæskɪt,,n.筐，篮，篓,考研
database,'detəbes,,n.(databank)数据库,考研
embassy,'ɛmbəsi,,n.大使馆;大使及其随员,考研
bat,bæt,,"n.球拍,球棒,短棒;蝙蝠",考研
acrobat,'ækrəbæt,,n.特技演员，杂技演员,考研
bacterium,bæk'tɪrɪəm,,n.细菌,考研
batch,bætʃ,,"n.一批,一组,一群",考研
bath,bɑːθ,,"n.沐浴,洗澡;浴室(池,盆) v.(给…)洗澡",考研
bathe,beð,,"v.游泳,洗澡,浸,弄湿",考研
bathroom,'bæθrum,,"n.浴室;盥洗室,卫生间",考研
battery,'bæt(ə)rɪ,,n.电池(组)；(器具等的)一组，一套；炮兵连,考研
battle,'bætl,,"n.战役,战斗;斗争 v.战斗,斗争,搏斗",考研
combat,'kɑmbæt,,"v&n.战斗,搏斗,格斗",考研
debate,dɪ'bet,,"v&n.争论,辩论",考研
call,kɔl,,vt.叫，喊；打电话 vi.叫；访问 n.叫；号召,考研
recall,'rikɔl,,"v.回忆,回想;撤消,收回",考研
calcium,'kælsɪəm,,n.钙(化学符号Ca),考研
calculate,'kælkjulet,,"v.计算,推算;计划,打算",考研
calendar,'kæləndɚ,,"n.日历,月历",考研
scale,skel,,"n.刻度;天平,磅秤;比例尺;规模;音阶;鱼鳞",考研
escalate,'ɛskəlet,,v.(使)逐步增长(或发展)，(使)逐步升级,考研
accelerate,əkˈsɛləˌret,,v.使加速，使增速，促进 v.加快，增加,考研
celebrate,'sɛlɪbret,,v.庆祝；颂扬，赞美vi.庆祝，过节,考研
celebrity,sə'lɛbrəti,,n.名人，名流；著名，名声，名望,考研
cap,kæp,,"n.便帽,军帽;盖,罩,套 v.覆盖于…顶端",考研
capable,'kepəbl,,"a.有本领的,有能力的;(of)可以…的,能…的",考研
capacity,kə'pæsəti,,"n.容量,容积;能量,能力;接受力",考研
cape,kep,,n.海角，岬；披肩，短披风,考研
capital,'kæpɪtl,,"n.首都;大写字母;资本 a.主要的,大写字母的",考研
capitalism,'kæpɪtəlɪzəm,,n.资本主义,考研
capsule,ˈkæpsul,,n.胶囊;太空舱,考研
captain,ˈkæptən,,"n.首领,队长;船长;上尉 v.做…的首领,指挥",考研
captive,'kæptɪv,,"n.俘虏 a.被俘虏的,被监禁的",考研
