word,phonetic,pos,definition,source
"a, an",eɪ; æn,art.,1.,英语专业四八级词汇表
"a, an",eɪ; æn,,(泛指)任何一 2. 某一个 3. 每一 4.,英语专业四八级词汇表
"a, an",eɪ; æn,,(表示类别)一种，一类 5.,英语专业四八级词汇表
"a, an",eɪ; æn,,(用于某些物质名词之前)一份，一客等 6.,英语专业四八级词汇表
"a, an",eɪ; æn,,(在艺术家的名字之前)…的作品 7. 同一,英语专业四八级词汇表
abacus,ˈæbəkəs,n.,算盘,英语专业四八级词汇表
abandon,əˈbændən,v.,1. 抛弃，放弃 2. 离弃(家园、船只、飞机等) 3. 遗弃(妻、子女等),英语专业四八级词汇表
abase,əˈbeɪs,v.,贬抑，使谦卑,英语专业四八级词汇表
abate,əˈbeɪt,,v.,英语专业四八级词汇表
abate,əˈbeɪt,,(指风势、疼痛等)减弱，减轻，减退,英语专业四八级词汇表
abbey,ˈæbɪ,n.,修道院，僧院，庵堂,英语专业四八级词汇表
abbreviate,əˈbriːvɪeɪt,v.,缩短(字、词组等)，缩写,英语专业四八级词汇表
abbreviation,əˌbriːvɪˈeɪʃn,n.,缩写,英语专业四八级词汇表
ABC,ˌeɪ biː ˈsiː,,n.,英语专业四八级词汇表
ABC,ˌeɪ biː ˈsiː,,(pl ABC’s或 ABCs) 1. 字母表 2.,英语专业四八级词汇表
ABC,ˌeɪ biː ˈsiː,,(某一方面的)基础知识,英语专业四八级词汇表
abdicate,ˈæbdɪkeɪt,v.,正式放弃(官职、权利)，让位，退位，逊位,英语专业四八级词汇表
abdomen,ˈæbdəmən,n.,腹(部)，下腹,英语专业四八级词汇表
abdominal,æbˈdɒmɪnəl,adj.,腹(部)的，下腹的,英语专业四八级词汇表
abduct,"əbˈdʌkt, æb-",v.,诱拐，拐走，绑架,英语专业四八级词汇表
aberrant,ˈæberənt,adj.,不循常轨的，不走正路的,英语专业四八级词汇表
abhor,əbˈhɔː,v.,憎恨(某人、某事物)，厌恶，讨厌,英语专业四八级词汇表
abide,əˈbaɪd,v.,忍受，容忍 || abide by遵守(法律等)，  信守(诺言等),英语专业四八级词汇表
abiding,əˈbaɪdɪŋ,,adj.,英语专业四八级词汇表
abiding,əˈbaɪdɪŋ,,(信念等)永恒的，持久的,英语专业四八级词汇表
ability,əˈbɪlətɪ,n.,1. 能力 2. 才能，才智 || to the best of one’s ability尽力地,英语专业四八级词汇表
abject,ˈæbdʒekt,adj.,1.,英语专业四八级词汇表
abject,ˈæbdʒekt,,(境况)凄惨的，绝望的 2.,英语专业四八级词汇表
abject,ˈæbdʒekt,,(人、动作或行为)无耻的，下贱的，卑鄙的,英语专业四八级词汇表
ablaze,əˈbleɪz,adj.,1. 着火，燃烧着 2. 闪耀，灯火辉煌,英语专业四八级词汇表
able,ˈeɪbl,adj.,1. 能，能够 2. 能干的，有才华的,英语专业四八级词汇表
ably,ˈeɪblɪ,adv.,能干地，熟练地,英语专业四八级词汇表
abnormal,æbˈnɔːməl,adj.,不正常的,英语专业四八级词汇表
abnormality,ˌæbnɔːˈmælətɪ,n.,不正常，变态,英语专业四八级词汇表
aboard,əˈbɔːd,adv.,& prep. 1. 登上(船、车、飞机等) 2. 在(船、车、飞机等)上,英语专业四八级词汇表
abode,əˈbəʊd,n.,房屋; 家 || of (with) no fixed abode 居无定所,英语专业四八级词汇表
abolish,əˈbɒlɪʃ,n.,废除，消除 v. 废除，取消,英语专业四八级词汇表
abolition,ˌæbəˈlɪʃn,n.,废止，废除,英语专业四八级词汇表
abominable,əˈbɒmɪnəbl,adj.,1. 可憎的，可恶的 2. 糟糕的，极坏的,英语专业四八级词汇表
aboriginal,ˌæbəˈrɪdʒənəl,adj.,1.,英语专业四八级词汇表
aboriginal,ˌæbəˈrɪdʒənəl,,(指人、动植物)土生的，原产地的 2. 土著的，土人的,英语专业四八级词汇表
aborigine,ˌæbəˈrɪdʒɪni,,n.,英语专业四八级词汇表
aborigine,ˌæbəˈrɪdʒɪni,,(澳洲的)土著; 土人,英语专业四八级词汇表
abort,əˈbɔːt,v.,1. 使流产，堕胎 2. 中止，(使)夭折，使(计划)失败,英语专业四八级词汇表
abound,əˈbaʊnd,v.,1. 大量存在，充满 2. 富有…，…丰富,英语专业四八级词汇表
about,əˈbaʊt,adv.,1. 大约，左右 2. 几乎，差不多 3. 到处，四处 4. 在附近 || be about to do sth正要做某事 [come about发生，成为现实] turn about向后转，转过身来[leave (sth) about到处乱放 prep.  1. 关于 2. 大约 3. 在周围，在四周 4. 在身边，在手头 || go about (sth)(着手)做…] set about (doing sth)开始做… /,英语专业四八级词汇表
about,əˈbaʊt,What,about (sth) ? ①…怎么样了?②…好吗?(用于提出建议),英语专业四八级词汇表
above,əˈbʌv,adv.,1. 在上面，在上方 2. 上述，上文  prep. 1. 在…之上，在…上面 2. 超过，多于，高于 || above all首先，最重要的是 /,英语专业四八级词汇表
above,əˈbʌv,be,above one太高深;不易理解,英语专业四八级词汇表
aboveboard,əˌbʌvˈbɔːd,adj.,光明磊落的，光明正大的，率直的,英语专业四八级词汇表
abrasive,əˈbreɪsɪv,adj.,1. 表面磨损的，损伤性的 2. 粗糙的，恼人的,英语专业四八级词汇表
abreast,əˈbrest,adv.,并排，并肩,英语专业四八级词汇表
abridge,əˈbrɪdʒ,v.,缩写，缩短,英语专业四八级词汇表
abroad,əˈbrɔːd,adv.,1. 在国外，往国外 2. 在外传扬; 到外 || go abroad去国外,英语专业四八级词汇表
abrupt,əˈbrʌpt,adj.,1. 突然的，出其 不意的 2. 陡峭的  3. 粗鲁的，无礼的,英语专业四八级词汇表
abruptly,əˈbrʌptlɪ,adv.,1. 突然，猛然 2. 粗暴地,英语专业四八级词汇表
absence,ˈæbsəns,n.,1. 缺席 2. 缺乏，不存在,英语专业四八级词汇表
absent,ˈæbsənt,adj.,1. 缺席的 2. 茫然的，心不在焉的 v. 使(自己)离开 || absent oneself from缺席,英语专业四八级词汇表
absentee,ˌæbsənˈtiː,n.,缺席(缺勤)者,英语专业四八级词汇表
absent-minded,ˌæbsənt ˈmaɪndɪd,adj.,心不在焉的,英语专业四八级词汇表
absolute,ˈæbsəluːt,adj.,1. 绝对的，完全的 2. 肯定的，确定的,英语专业四八级词汇表
absolutely,ˈæbsəluːtlɪ,adv.,1. 绝对地 2. 完全地,英语专业四八级词汇表
absolve,əbˈzɒlv,v.,1. 免除(某人的)承诺(责任等) 2. 赦免，免受惩处，宣告无罪,英语专业四八级词汇表
absorb,əbˈsɔːb,v.,1. 吸收(水、热、光等) 2. 吸引(注意)，使专心，使全神贯注,英语专业四八级词汇表
absorption,əbˈsɔːpʃən,n.,1. 吸收 2. 专注,英语专业四八级词汇表
abstain,əbˈsteɪn,v.,1. 戒绝(喝酒) 2. 放弃(投票等),英语专业四八级词汇表
abstention,əbˈstenʃən,n.,1. 戒绝 2.,英语专业四八级词汇表
abstention,əbˈstenʃən,,(投票)弃权,英语专业四八级词汇表
abstinence,ˈæbstɪnəns,n.,禁欲，节制,英语专业四八级词汇表
abstract,ˈæbstrækt,adj.,抽象的 n. 摘要，概括 v. 1. 提取，抽取 2. 摘录…的要点 3. 转移…(注意等),英语专业四八级词汇表
absurd,əbˈsɜːd,adj.,不合理的，荒谬的，可笑的,英语专业四八级词汇表
abundance,əˈbʌndəns,n.,丰富，充裕，大量,英语专业四八级词汇表
abundant,əˈbʌndənt,adj.,"大量的，充裕的，丰富的 || be abundant in,",英语专业四八级词汇表
abundant,əˈbʌndənt,be,abundant with 有丰富的，有大量的,英语专业四八级词汇表
