word,phonetic,pos,definition,source
abandon,ə'bændən,,v.离弃；放弃,雅思
abbreviation,əˌbrivɪ'eʃən,,n.缩略语,雅思
abnormal,æbˈnɔːrml,,a.反常的；变态的,雅思
abolish,ə'bɑlɪʃ,,v.废除,雅思
aboriginal,",æbə'rɪdʒənl",,n&a.土著(的)；土生动植物(的),雅思
abort,ə'bɔrt,,v.取消；流产,雅思
abortion,ə'bɔrʃən,,n.流产；(计划)失败,雅思
abound,ə'baʊnd,,v.多；富于,雅思
abrasion,ə'breʒən,,n.磨损，擦伤处,雅思
abridge,ə'brɪdʒ,,v.(书等)删节,雅思
abrupt,ə'brʌpt,,a.突然的，粗暴的,雅思
absorb,æbˈsɔrb; æbˈzɔrb; əbˈsɔrb,,v.吸收；吸引,雅思
abstract,'æbstrækt,,a.抽象的 n.(书籍、演说等的)摘要,雅思
absurd,"əbˈsɚd, -ˈzɚd",,a.可笑的，荒谬的,雅思
abundance,ə'bʌndəns,,n.丰富,雅思
abuse,ə'bjus,,n&vt.滥用；恶习；辱骂,雅思
academic,",ækə'dɛmɪk",,a.学术的；学校的,雅思
accelerate,əkˈsɛləˌret,,v.加速，变快,雅思
access,'æksɛs,,n.通路,雅思
accessory,ək'sɛsəri,,n.同谋者；附件,雅思
air,ɛr,,n.空气,雅思
airing,'ɛrɪŋ,,n.通风；讨论,雅思
aisle,aɪl,,n.通道,雅思
alarm,ə'lɑrm,,n.警报，惊慌 v.使忧虑,雅思
album,'ælbəm,,n.集邮册；相片册,雅思
alien,"ˈeliən,ˈeljən",,n&a.外侨；外国人的；不相容的,雅思
alienate,'eiljəneit,,v.离间，使疏远,雅思
all,ɔl,,ad.完全地 pron.全部，全体,雅思
apparent,ə'pærənt,,a.明显的，表面上的,雅思
appeal,ə'pil,,vi&n.呼吁，上诉；吸引(力),雅思
appendix,ə'pɛndɪks,,n.附录；阑尾,雅思
appetite,'æpɪtaɪt,,n.食欲,雅思
applaud,ə'plɔd,,v.鼓掌欢迎；赞成,雅思
appliance,ə'plaɪəns,,n.用具，设备，装置,雅思
applicant,'æplɪkənt,,n.请求者，申请者,雅思
apply,ə'plaɪ,,v.要求，申请,雅思
appointment,ə'pɔɪntmənt,,n.职位；约会,雅思
appraisal,ə'prezl,,n.估价，评价；鉴定,雅思
appreciable,ə'priʃəbl,,a.可见的；明显的,雅思
appreciate,ə'priʃɪet,,v.欣赏，感激；涨价,雅思
apprehension,",æprɪ'hɛnʃən",,n.理解；忧虑,雅思
apprentice,ə'prɛntɪs,,n.学徒 v.使当学徒,雅思
approach,ə'protʃ,,v.接近，着手处理 n.接近；方法；途径,雅思
appropriate,əˈpropriɪt,,a.合适的,雅思
approval,əˈpruvl,,n.允许，赞同；批准,雅思
approximate,ə'prɑksɪmət,,a.近似的，约略的 v.接近，近似,雅思
apt,æpt,,a.聪明的；合适的；易于的,雅思
aptitude,"ˈæptɪˌtud, -ˌtjud",,n.才能；能力,雅思
attractive,ə'træktɪv,,a.有吸引力的，讨人喜欢的,雅思
attribute,ə'trɪbjut,,v.归因于 n.属性；象征；标志,雅思
auction,'ɔkʃən,,n&vt.拍卖,雅思
audible,'ɔdəbl,,a.听得见的,雅思
audience,'ɔdɪəns,,n.听众，读者；接见,雅思
audit,'ɔdɪt,,n&vt.审计；查账,雅思
audition,ɔ'dɪʃən,,n.试听；试演；面试,雅思
auditorium,",ɔdɪ'tɔrɪəm",,n.会堂；礼堂,雅思
augment,ɔɡ'mɛnt,,v.增大，增加,雅思
aupair,,,a.国外来的(姑娘)帮助料理家务换取住宿的,雅思
authentic,ɔ'θɛntɪk,,a.真实的，可靠的,雅思
authoritative,ə'θɔrətetɪv,,a.有权威的；命令的；可靠的,雅思
authority,ə'θɔrəti,,n.威信；当局；权威；权力,雅思
authorize,'ɔθəraɪz,,v.授权,雅思
automatic,'ɔtə'mætɪk,,a.自动的，无意识的 n.小型自动武器,雅思
automation,",ɔtə'meʃən",,n.自动化，自动操作,雅思
automobile,",ɔtəmə'bil",,n.汽车,雅思
autonomy,ɔ'tɑnəmi,,n.自治，自治权,雅思
auxiliary,ɔːɡ'zɪlɪəri,,a.辅助的，协助的,雅思
avail,ə'vel,,v.有益于，有用 n.用处，利益,雅思
available,ə'veləbl,,a.可获得的，可用的,雅思
censor,'sɛnsɚ,,n&vt.审查，审查员；删改,雅思
census,'sɛnsəs,,n.人口调查,雅思
centenary,sɛn'tɛnəri,,a&n.百年的；百年纪念,雅思
ceramic,sə'ræmɪk,,a.陶瓷的；陶器的,雅思
cereal,'sɪrɪəl,,n.各类粮食,雅思
ceremony,ˈsɛrəˌmoʊni,,n.典礼，仪式；礼节,雅思
certainty,'sɝtnti,,n.必然的事，必然，确实，肯定,雅思
certificate,"sɚˈtɪfɪkɪt; (for v.,) sɚˈtɪfɪˌket",,n.证书，执照,雅思
certify,'sɝtə'fai,,v.(发给证书)证明,雅思
challenge,'tʃælɪndʒ,,n&v.挑战；提出异议,雅思
chamber,ˈtʃeɪmbər,,n.房间；议院；贸易团体；弹膛,雅思
champagne,ʃæm'pen,,n.香槟酒,雅思
champion,'tʃæmpɪən,,n.战士；拥护者；冠军 v.支持，拥护；保卫,雅思
chant,tʃænt,,n.圣歌，赞美诗 v.唱，歌颂,雅思
chaos,'keɑs,,n.混乱，纷乱,雅思
chapel,'tʃæpl,,n.小教堂；殡仪馆,雅思
characteristic,",kærəktə'rɪstɪk",,a&n.特有的，表示特征的；特性,雅思
characterize,'kærəktə'raɪz,,v.表示的特征,雅思
charge,tʃɑrdʒ,,v.指控；控告；冲锋；要价；充电,雅思
charity,'tʃærəti,,n.赈济款、物；慈善团体；博爱,雅思
charm,tʃɑrm,,n&v.吸引力，可爱之处，迷人；行魔法,雅思
clumsy,'klʌmzi,,a.笨拙的；愚笨的,雅思
cluster,'klʌstɚ,,n.一串，一簇 v.群集；丛生,雅思
clutch,klʌtʃ,,v.抓住，攫住 n.抓，控制；离合器，攫,雅思
coach,kotʃ,,v.辅导，训练 n.长途汽车；教师；教练,雅思
coalition,ˌkoʊəˈlɪʃn,,n.结合，联盟，联合,雅思
coarse,kɔrs,,a.粗(糙)的; 粗俗的,雅思
cocaine,ko'ken,,n.可卡因，古柯碱,雅思
code,,,n.规则；代号；密码 vt.把译成密码,雅思
coed,'ko'ɛd,,n.男女同校的学生,雅思
coeducation,",koɛdʒə'keʃən",,n.男女同校,雅思
coerce,ko'ɝs,,v.强迫，迫使,雅思
cognitive,'kɑɡnətɪv,,a.认识的,雅思
coherent,ko'hɪrənt,,a.黏着的；连贯的,雅思
coil,kɔɪl,,n.一卷；一圈 v.盘绕，缠绕,雅思
coin,kɔɪn,,n.硬币，铸币 v.铸造，创造,雅思
coincide,",koɪn'saɪd",,v.恰好相合，时间巧合；意见一致,雅思
coincidence,ko'ɪnsɪdəns,,n.巧合，符合，巧合的事例,雅思
collaboration,"kə,læbə'reʃən",,n.协作，合作,雅思
collapse,kə'læps,,v&n.倒塌；(精神)垮下来,雅思
collide,kə'laɪd,,v.猛冲，冲突，抵触,雅思
collision,kə'lɪʒən,,n.碰，幢;冲突,雅思
compliance,kəm'plaɪəns,,n.遵守，依从,雅思
complicated,'kɑmplɪketɪd,,a.结构复杂的；困难的,雅思
complication,",kɑmplɪ'keʃən",,n.结构复杂，麻烦,雅思
compliment,ˈkɑːmplɪmənt,,n.敬意，赞扬；问候 v.恭维；称赞,雅思
comply,kəm'plaɪ,,v.遵守，照做,雅思
component,kəm'ponənt,,n.组成部分；零件,雅思
compose,kəm'poz,,v.组成，构成；创作；排字；使安静,雅思
composite,kɑm'pɑzɪt,,a.合成的，复合的,雅思
compound,'kɑmpaʊnd,,n&a.混合物(的)，复合词(的)；院子(的),雅思
compress,kəm'prɛs,,v.使语言精炼，压缩,雅思
comprise,kəm'praɪz,,n.(止血用)敷布,雅思
compromise,'kɑmprəmaɪz,,n.妥协，折衷 v.妥协；使遭受危害,雅思
compulsory,kəm'pʌlsəri,,a.义务的；强制的,雅思
compute,kəm'pjʊt,,v.计算，估计,雅思
conceal,kən'sil,,v.隐藏，隐蔽,雅思
concede,kən'sid,,v.承认; 给予,雅思
conceive,kən'siv,,v.想出(主意)；怀孕,雅思
concentrate,'kɑnsn'tret,,v.集中，全神贯注于；浓缩 n.浓缩物,雅思
conception,kən'sɛpʃən,,n.概念的形成，概念，想法；怀孕,雅思
concern,kən'sɝn,,"""n.所关切的事；企业；关心v影响,涉及,关心 n.""",雅思
concerted,kən'sɝtɪd,,a.商定的，一致的,雅思
contemplate,'kɑntəmplet,,v.仔细考虑；注视；打算；预计,雅思
contemporary,kən'tɛmpərɛri,,a.同时代的，当代的 n.同龄人，同时代的人,雅思
