word,phonetic,pos,definition,source
a,ə; e,,n.字母A；第一流的；学业成绩达最高标准的评价符号 abbr.[物]安（ampere）,高中
abandon,ə'bændən,,n.放任；狂热 v.遗弃；放弃,高中
ability,ə'bɪləti,,n.能力，能耐；才能,高中
able,'ebl,,a.能；[经管] 有能力的；能干的 n.(Able)人名；(伊朗)阿布勒；(英)埃布尔,高中
abnormal,æbˈnɔːrml,,a.反常的，不规则的；变态的,高中
aboard,ə'bɔrd,,ad.在飞机上；[船] 在船上；在火车上 prep.在…上,高中
abolish,ə'bɑlɪʃ,,v.废除，废止；取消，革除,高中
abortion,ə'bɔrʃən,,n.流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折,高中
about,ə'baʊt,,prep.关于；大约 a.在附近的；四处走动的；在起作用的 ad.大约；周围；到处 n.大致；粗枝大叶；不拘小节的人,高中
above,ə'bʌv,,prep.超过；在……上面；在……之上 ad.在上面；在上文 a.上文的 n.上文,高中
abroad,ə'brɔd,,ad.在国外；到海外 a.往国外的 n.海外；异国,高中
abrupt,ə'brʌpt,,a.生硬的；突然的；唐突的；陡峭的,高中
absence,'æbsns,,n.没有；缺乏；缺席；不注意,高中
absent,ˈæbsənt,,a.缺席的；缺少的；心不在焉的；茫然的 v.使缺席,高中
absolute,'æbsəlut,,a.绝对的；完全的；专制的 n.绝对；绝对事物,高中
absorb,æbˈsɔrb; æbˈzɔrb; əbˈsɔrb,,v.吸收；吸引；承受；理解；使…全神贯注,高中
abstract,'æbstrækt,,n.摘要；抽象；抽象的概念 a.抽象的；深奥的 v.摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉,高中
absurd,"əbˈsɚd, -ˈzɚd",,a.荒谬的；可笑的 n.荒诞；荒诞作品,高中
abundant,ə'bʌndənt,,a.丰富的；充裕的；盛产,高中
abuse,ə'bjus,,n.滥用；虐待；辱骂；弊端；恶习，陋习 v.滥用；虐待；辱骂,高中
academic,",ækə'dɛmɪk",,a.学术的；理论的；学院的 n.大学生，大学教师；学者,高中
academy,ə'kædəmi,,n.学院；研究院；学会；专科院校,高中
accelerate,əkˈsɛləˌret,,v.使……加快；使……增速,高中
accent,'æksɛnt,,n.口音；重音；强调；特点；重音符号 v.强调；重读；带…口音讲话,高中
accept,ækˈsɛpt; əkˈsɛpt,,v.接受；承认；承担；承兑；容纳,高中
access,'æksɛs,,v.使用；存取；接近 n.进入；使用权；通路,高中
accessible,ək'sɛsəbl,,a.易接近的；可进入的；可理解的,高中
anchor,'æŋkɚ,,n.锚；抛锚停泊；靠山；新闻节目主播 v.抛锚；使固定；主持节目 a.末棒的；最后一棒的,高中
accident,'æksədənt,,n.事故；意外；[法] 意外事件；机遇,高中
accommodation,"ə,kɑmə'deʃən",,n.住处，膳宿；调节；和解；预订铺位,高中
accompany,ə'kʌmpəni,,v.陪伴，伴随；伴奏,高中
accomplish,ə'kɑmplɪʃ,,v.完成；实现；达到,高中
account,ə'kaʊnt,,n.账户；解释；账目，账单；理由；描述 v.解释；导致；报账,高中
accountant,ə'kaʊntənt,,n.会计师；会计人员,高中
accumulate,ə'kjumjəlet,,v.累积；积聚,高中
accuracy,'ækjərəsi,,n.[数] 精确度，准确性,高中
accuse,ə'kjuz,,v.控告，指控；谴责；归咎于,高中
accustomed,ə'kʌstəmd,,a.习惯的；通常的；独有的 v.使习惯于（accustom的过去分词）,高中
ache,ek,,v.疼痛；渴望 n.疼痛,高中
achieve,ə'tʃiv,,v.取得；获得；实现；成功,高中
achievement,ə'tʃivmənt,,n.成就；完成；达到；成绩,高中
acid,'æsɪd,,n.酸；<俚>迷幻药 a.酸的；讽刺的；刻薄的,高中
acknowledge,ək'nɑlɪdʒ,,v.承认；答谢；报偿；告知已收到,高中
acquaintance,ə'kwentəns,,n.熟人；相识；了解；知道,高中
acquire,ə'kwaɪr,,v.获得；取得；学到；捕获,高中
acquisition,",ækwɪ'zɪʃən",,n.获得物，获得；收购,高中
acre,'ekɚ,,n.土地，地产；英亩,高中
across,ə'krɔs,,prep.穿过；横穿 ad.横过；在对面,高中
act,ækt,,v.扮演；装作，举动像 n.行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势,高中
action,'ækʃən,,n.行动；活动；功能；战斗；情节,高中
active,'æktɪv,,a.积极的；活跃的；主动的；有效的；现役的 n.主动语态；积极分子,高中
activity,æk'tɪviti,,n.活动；行动；活跃,高中
actor,'æktɚ,,n.男演员；行动者；作用物,高中
actress,'æktrɪs,,n.女演员,高中
actual,'æktʃuəl,,a.真实的，实际的；现行的，目前的,高中
